om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
1,1965,01,23,1965-01-23,17:05:00,3,MO,29,1,0.75,0,0,0.0,0.0,38.58,-91.18,0.0,0.0,0,0,0,0,0,71,0,0,0
2,1965,01,25,1965-01-25,19:55:00,3,MO,29,2,0.75,0,0,0.0,0.0,37.7,-93.9,0.0,0.0,0,0,0,0,0,39,0,0,0
3,1965,01,30,1965-01-30,12:25:00,3,GA,13,1,1.5,0,0,0.0,0.0,31.2,-81.4,0.0,0.0,0,0,0,0,0,127,0,0,0
4,1965,02,09,1965-02-09,17:25:00,3,MS,28,1,0.75,0,0,0.0,0.0,33.5,-90.08,0.0,0.0,0,0,0,0,0,15,0,0,0
5,1965,02,11,1965-02-11,08:00:00,3,TX,48,1,0.75,0,0,0.0,0.0,29.98,-96.68,0.0,0.0,0,0,0,0,0,149,0,0,0
6,1965,02,11,1965-02-11,17:45:00,3,MS,28,2,2.0,0,0,0.0,0.0,32.38,-89.68,0.0,0.0,0,0,0,0,0,123,0,0,0
7,1965,02,28,1965-02-28,18:30:00,3,OK,40,1,0.75,0,0,0.0,0.0,34.0,-98.0,0.0,0.0,0,0,0,0,0,67,0,0,0
8,1965,03,01,1965-03-01,16:15:00,3,TX,48,2,1.5,0,0,0.0,0.0,29.38,-94.9,0.0,0.0,0,0,0,0,0,167,0,0,0
9,1965,03,16,1965-03-16,10:01:00,3,OK,40,2,0.75,0,0,0.0,0.0,35.0,-99.08,0.0,0.0,0,0,0,0,0,75,0,0,0
10,1965,03,16,1965-03-16,15:35:00,3,OK,40,3,1.5,0,0,0.0,0.0,35.5,-98.0,0.0,0.0,0,0,0,0,0,17,0,0,0
11,1965,03,16,1965-03-16,16:45:00,3,OK,40,4,1.0,0,0,0.0,0.0,34.2,-97.4,0.0,0.0,0,0,0,0,0,19,0,0,0
12,1965,03,16,1965-03-16,16:45:00,3,OK,40,5,0.75,0,0,0.0,0.0,35.88,-97.28,0.0,0.0,0,0,0,0,0,83,0,0,0
13,1965,03,16,1965-03-16,17:00:00,3,OK,40,6,2.0,0,0,0.0,0.0,36.7,-98.08,0.0,0.0,0,0,0,0,0,53,0,0,0
14,1965,03,16,1965-03-16,17:20:00,3,OK,40,7,1.7,0,0,0.0,0.0,34.5,-97.08,0.0,0.0,0,0,0,0,0,99,0,0,0
