om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
1,1992,01,08,1992-01-08,02:10:00,3,LA,22,1,1.0,0,0,3.0,0.0,32.48,-93.75,0.0,0.0,0,0,0,0,0,17,0,0,0
2,1992,01,08,1992-01-08,02:15:00,3,LA,22,2,0.75,0,0,0.0,0.0,32.28,-93.82,0.0,0.0,0,0,0,0,0,31,0,0,0
3,1992,01,08,1992-01-08,02:20:00,3,LA,22,3,0.9,0,0,0.0,0.0,32.33,-93.83,0.0,0.0,0,0,0,0,0,17,0,0,0
4,1992,01,08,1992-01-08,02:25:00,3,LA,22,4,0.9,0,0,0.0,0.0,32.45,-93.58,0.0,0.0,0,0,0,0,0,15,0,0,0
5,1992,01,08,1992-01-08,03:10:00,3,LA,22,5,0.9,0,0,0.0,0.0,32.42,-93.47,0.0,0.0,0,0,0,0,0,15,0,0,0
6,1992,01,14,1992-01-14,11:19:00,3,NJ,34,1,0.75,0,0,0.0,0.0,40.75,-74.23,0.0,0.0,0,0,0,0,0,13,0,0,0
7,1992,02,05,1992-02-05,03:35:00,3,FL,12,1,0.75,0,0,0.0,0.0,27.92,-82.75,0.0,0.0,0,0,0,0,0,103,0,0,0
8,1992,02,05,1992-02-05,03:55:00,3,FL,12,2,0.88,0,0,0.0,0.0,27.98,-82.47,0.0,0.0,0,0,0,0,0,57,0,0,0
9,1992,02,05,1992-02-05,14:33:00,3,FL,12,3,0.75,0,0,0.0,0.0,28.67,-81.5,0.0,0.0,0,0,0,0,0,95,0,0,0
10,1992,02,05,1992-02-05,15:23:00,3,FL,12,4,0.88,0,0,0.0,0.0,27.83,-82.72,0.0,0.0,0,0,0,0,0,103,0,0,0
11,1992,02,05,1992-02-05,15:55:00,3,FL,12,5,0.88,0,0,0.0,0.0,29.43,-81.3,0.0,0.0,0,0,0,0,0,35,0,0,0
12,1992,02,05,1992-02-05,16:00:00,3,FL,12,6,0.75,0,0,0.0,0.0,28.75,-81.32,0.0,0.0,0,0,0,0,0,117,0,0,0
13,1992,02,05,1992-02-05,16:19:00,3,FL,12,7,0.88,0,0,0.0,0.0,28.7,-81.35,0.0,0.0,0,0,0,0,0,117,0,0,0
14,1992,02,05,1992-02-05,16:20:00,3,FL,12,8,0.88,0,0,0.0,0.0,27.17,-82.28,0.0,0.0,0,0,0,0,0,115,0,0,0
15,1992,02,05,1992-02-05,17:30:00,3,FL,12,9,0.75,0,0,0.0,0.0,27.98,-82.47,0.0,0.0,0,0,0,0,0,57,0,0,0
16,1992,02,05,1992-02-05,17:53:00,3,FL,12,10,0.75,0,0,0.0,0.0,28.58,-81.27,0.0,0.0,0,0,0,0,0,95,0,0,0
17,1992,02,05,1992-02-05,18:10:00,3,FL,12,11,0.75,0,0,0.0,0.0,28.55,-81.37,0.0,0.0,0,0,0,0,0,95,0,0,0
18,1992,02,11,1992-02-11,16:45:00,3,TX,48,1,1.75,0,0,0.0,0.0,31.0,-98.22,0.0,0.0,0,0,0,0,0,53,0,0,0
19,1992,02,11,1992-02-11,17:13:00,3,OK,40,1,0.75,0,0,0.0,0.0,34.05,-97.58,0.0,0.0,0,0,0,0,0,67,0,0,0
20,1992,02,11,1992-02-11,17:25:00,3,OK,40,2,0.75,0,0,0.0,0.0,34.23,-97.48,0.0,0.0,0,0,0,0,0,19,0,0,0
21,1992,02,11,1992-02-11,17:25:00,3,TX,48,2,1.5,0,0,0.0,0.0,30.83,-97.95,0.0,0.0,0,0,0,0,0,53,0,0,0
