om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
590,2001,01,16,2001-01-16,17:03:00,3,AZ,4,1,0.75,0,0,0.0,0.0,33.42,-111.82,0.0,0.0,0,0,0,0,0,13,0,0,0
6139,2001,01,19,2001-01-19,06:40:00,3,MS,28,1,0.75,0,0,0.0,0.0,30.87,-88.8,0.0,0.0,0,0,0,0,0,39,0,0,0
1235,2001,01,19,2001-01-19,12:10:00,3,GA,13,1,1.75,0,0,0.0,0.0,32.87,-83.65,0.0,0.0,0,0,0,0,0,21,0,0,0
6912,2001,01,19,2001-01-19,14:50:00,3,NC,37,1,1.0,0,0,0.0,0.0,35.23,-80.85,0.0,0.0,0,0,0,0,0,119,0,0,0
10314,2001,01,29,2001-01-29,02:45:00,3,TX,48,1,0.75,0,0,0.0,0.0,33.05,-94.75,0.0,0.0,0,0,0,0,0,343,0,0,0
10318,2001,02,08,2001-02-08,15:35:00,3,TX,48,5,0.75,0,0,0.0,0.0,34.38,-103.03,0.0,0.0,0,0,0,0,0,369,0,0,0
10317,2001,02,08,2001-02-08,19:05:00,3,TX,48,4,1.75,0,0,0.02,0.0,34.53,-101.77,0.0,0.0,0,0,0,0,0,437,0,0,0
10316,2001,02,08,2001-02-08,19:40:00,3,TX,48,3,0.75,0,0,0.0,0.0,33.58,-101.85,0.0,0.0,0,0,0,0,0,303,0,0,0
10368,2001,02,08,2001-02-08,20:13:00,3,TX,48,55,0.75,0,0,0.0,0.0,32.0,-102.08,0.0,0.0,0,0,0,0,0,329,0,0,0
10366,2001,02,08,2001-02-08,21:09:00,3,TX,48,53,0.75,0,0,0.0,0.0,32.25,-101.47,0.0,0.0,0,0,0,0,0,227,0,0,0
10367,2001,02,08,2001-02-08,21:24:00,3,TX,48,54,0.88,0,0,0.0,0.0,32.72,-100.9,0.0,0.0,0,0,0,0,0,415,0,0,0
