om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
1,1987,01,24,1987-01-24,19:15:00,3,TX,48,1,0.87,0,0,0.0,0.0,30.95,-95.88,0.0,0.0,0,0,0,0,0,313,0,0,0
2,1987,01,24,1987-01-24,20:00:00,3,TX,48,2,0.75,0,0,0.0,0.0,30.93,-95.38,0.0,0.0,0,0,0,0,0,455,0,0,0
3,1987,01,24,1987-01-24,20:50:00,3,LA,22,1,1.0,0,0,0.0,0.0,32.48,-93.75,0.0,0.0,0,0,0,0,0,17,0,0,0
4,1987,01,24,1987-01-24,20:50:00,3,LA,22,2,1.0,0,0,0.0,0.0,32.52,-93.72,0.0,0.0,0,0,0,0,0,15,0,0,0
5,1987,01,24,1987-01-24,20:52:00,3,LA,22,3,1.0,0,0,0.0,0.0,32.82,-93.42,0.0,0.0,0,0,0,0,0,119,0,0,0
6,1987,01,24,1987-01-24,21:05:00,3,LA,22,4,1.0,0,0,0.0,0.0,31.9,-93.12,0.0,0.0,0,0,0,0,0,69,0,0,0
7,1987,01,24,1987-01-24,21:05:00,3,LA,22,5,1.0,0,0,0.0,0.0,32.08,-92.68,0.0,0.0,0,0,0,0,0,127,0,0,0
8,1987,01,24,1987-01-24,21:12:00,3,TX,48,3,1.0,0,0,0.0,0.0,31.85,-94.25,0.0,0.0,0,0,0,0,0,419,0,0,0
9,1987,01,24,1987-01-24,21:22:00,3,LA,22,6,1.0,0,0,0.0,0.0,31.97,-93.78,0.0,0.0,0,0,0,0,0,31,0,0,0
10,1987,01,24,1987-01-24,21:31:00,3,LA,22,7,1.0,0,0,0.0,0.0,32.87,-93.07,0.0,0.0,0,0,0,0,0,27,0,0,0
11,1987,01,24,1987-01-24,21:47:00,3,LA,22,8,0.8,0,0,0.0,0.0,32.25,-93.17,0.0,0.0,0,0,0,0,0,13,0,0,0
12,1987,01,24,1987-01-24,21:50:00,3,LA,22,9,1.0,0,0,0.0,0.0,32.05,-93.32,0.0,0.0,0,0,0,0,0,81,0,0,0
13,1987,01,24,1987-01-24,21:52:00,3,LA,22,10,1.0,0,0,0.0,0.0,31.57,-93.78,0.0,0.0,0,0,0,0,0,85,0,0,0
14,1987,01,24,1987-01-24,21:55:00,3,LA,22,11,1.0,0,0,0.0,0.0,32.03,-93.62,0.0,0.0,0,0,0,0,0,31,0,0,0
15,1987,01,24,1987-01-24,22:38:00,3,LA,22,12,0.8,0,0,0.0,0.0,31.7,-93.02,0.0,0.0,0,0,0,0,0,69,0,0,0
16,1987,01,24,1987-01-24,22:58:00,3,LA,22,13,1.0,0,0,0.0,0.0,31.8,-92.75,0.0,0.0,0,0,0,0,0,127,0,0,0
17,1987,02,13,1987-02-13,23:20:00,3,AR,5,1,1.75,0,0,0.0,0.0,36.1,-90.67,0.0,0.0,0,0,0,0,0,55,0,0,0
18,1987,02,14,1987-02-14,02:00:00,3,OK,40,1,1.0,0,0,0.0,0.0,34.4,-97.75,0.0,0.0,0,0,0,0,0,137,0,0,0
19,1987,02,14,1987-02-14,17:10:00,3,OK,40,2,1.75,0,0,0.0,0.0,34.62,-98.75,0.0,0.0,0,0,0,0,0,31,0,0,0
20,1987,02,14,1987-02-14,17:40:00,3,OK,40,3,1.75,0,0,0.0,0.0,34.63,-98.62,0.0,0.0,0,0,0,0,0,31,0,0,0
21,1987,02,14,1987-02-14,18:32:00,3,OK,40,4,1.75,0,0,0.0,0.0,34.18,-98.23,0.0,0.0,0,0,0,0,0,33,0,0,0
22,1987,02,14,1987-02-14,18:33:00,3,TX,48,4,1.0,0,0,0.0,0.0,32.23,-98.2,0.0,0.0,0,0,0,0,0,143,0,0,0
23,1987,02,14,1987-02-14,18:40:00,3,OK,40,5,0.88,0,0,0.0,0.0,34.87,-98.37,0.0,0.0,0,0,0,0,0,15,0,0,0
24,1987,02,14,1987-02-14,18:45:00,3,OK,40,6,0.88,0,0,0.0,0.0,34.75,-98.17,0.0,0.0,0,0,0,0,0,31,0,0,0
25,1987,02,14,1987-02-14,19:00:00,3,OK,40,7,0.88,0,0,0.0,0.0,34.23,-98.12,0.0,0.0,0,0,0,0,0,67,0,0,0
26,1987,02,14,1987-02-14,19:00:00,3,OK,40,8,0.75,0,0,0.0,0.0,35.82,-98.32,0.0,0.0,0,0,0,0,0,11,0,0,0
27,1987,02,14,1987-02-14,19:05:00,3,TX,48,5,1.75,0,0,0.0,0.0,32.78,-97.83,0.0,0.0,0,0,0,0,0,367,0,0,0
28,1987,02,14,1987-02-14,19:09:00,3,TX,48,6,0.75,0,0,0.0,0.0,32.8,-98.1,0.0,0.0,0,0,0,0,0,363,0,0,0
29,1987,02,14,1987-02-14,19:20:00,3,OK,40,9,1.0,0,0,0.0,0.0,34.23,-98.12,0.0,0.0,0,0,0,0,0,67,0,0,0
30,1987,02,14,1987-02-14,19:20:00,3,OK,40,10,0.75,0,0,0.0,0.0,35.62,-97.53,0.0,0.0,0,0,0,0,0,109,0,0,0
31,1987,02,14,1987-02-14,19:26:00,3,OK,40,11,0.75,0,0,0.0,0.0,34.33,-97.97,0.0,0.0,0,0,0,0,0,137,0,0,0
32,1987,02,14,1987-02-14,19:30:00,3,TX,48,7,1.0,0,0,0.0,0.0,31.82,-98.62,0.0,0.0,0,0,0,0,0,93,0,0,0
33,1987,02,14,1987-02-14,19:58:00,3,OK,40,12,1.75,0,0,0.0,0.0,35.1,-97.95,0.0,0.0,0,0,0,0,0,51,0,0,0
