om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
1,1975,01,08,1975-01-08,07:00:00,3,AR,5,1,1.0,0,0,0.0,0.0,34.92,-92.15,0.0,0.0,0,0,0,0,0,119,0,0,0
2,1975,01,08,1975-01-08,07:15:00,3,AR,5,2,1.75,0,0,0.0,0.0,34.97,-91.5,0.0,0.0,0,0,0,0,0,117,0,0,0
3,1975,01,08,1975-01-08,08:20:00,3,AR,5,3,1.25,0,0,0.0,0.0,35.08,-92.45,0.0,0.0,0,0,0,0,0,45,0,0,0
4,1975,01,08,1975-01-08,09:27:00,3,AR,5,4,0.75,0,0,0.0,0.0,34.6,-92.02,0.0,0.0,0,0,0,0,0,85,0,0,0
5,1975,01,08,1975-01-08,12:45:00,3,AL,1,1,1.0,0,0,0.0,0.0,34.33,-87.93,0.0,0.0,0,0,0,0,0,59,0,0,0
6,1975,01,09,1975-01-09,21:20:00,3,AR,5,5,1.75,0,0,0.0,0.0,35.53,-93.93,0.0,0.0,0,0,0,0,0,47,0,0,0
7,1975,01,12,1975-01-12,10:30:00,3,GA,13,1,1.25,0,0,0.0,0.0,32.52,-84.93,0.0,0.0,0,0,0,0,0,215,0,0,0
8,1975,02,04,1975-02-04,17:00:00,3,TX,48,1,0.75,0,0,0.0,0.0,33.17,-99.75,0.0,0.0,0,0,0,0,0,207,0,0,0
9,1975,02,04,1975-02-04,23:30:00,3,TX,48,2,1.75,0,0,0.0,0.0,33.13,-95.6,0.0,0.0,0,0,0,0,0,223,0,0,0
10,1975,02,15,1975-02-15,17:10:00,3,LA,22,1,1.75,0,0,0.0,0.0,29.68,-90.1,0.0,0.0,0,0,0,0,0,51,0,0,0
11,1975,02,18,1975-02-18,15:30:00,3,GA,13,2,1.0,0,0,0.0,0.0,33.52,-82.08,0.0,0.0,0,0,0,0,0,73,0,0,0
12,1975,02,18,1975-02-18,17:10:00,3,AL,1,2,1.0,0,0,0.0,0.0,31.47,-86.1,0.0,0.0,0,0,0,0,0,31,0,0,0
13,1975,02,18,1975-02-18,22:35:00,3,GA,13,3,1.75,0,0,0.0,0.0,34.12,-83.57,0.0,0.0,0,0,0,0,0,157,0,0,0
14,1975,02,21,1975-02-21,19:00:00,3,LA,22,2,1.75,0,0,0.0,0.0,29.92,-90.17,0.0,0.0,0,0,0,0,0,51,0,0,0
15,1975,02,22,1975-02-22,00:35:00,3,OK,40,1,0.75,0,0,0.0,0.0,34.63,-99.33,0.0,0.0,0,0,0,0,0,65,0,0,0
16,1975,02,22,1975-02-22,00:55:00,3,AR,5,6,0.75,0,0,0.0,0.0,35.95,-94.42,0.0,0.0,0,0,0,0,0,143,0,0,0
17,1975,02,22,1975-02-22,01:29:00,3,TX,48,3,1.75,0,0,0.0,0.0,34.1,-98.57,0.0,0.0,0,0,0,0,0,485,0,0,0
18,1975,02,22,1975-02-22,01:35:00,3,AR,5,7,0.75,0,0,0.0,0.0,36.07,-94.17,0.0,0.0,0,0,0,0,0,143,0,0,0
19,1975,02,22,1975-02-22,03:18:00,3,OK,40,2,1.75,0,0,0.0,0.0,35.0,-97.6,0.0,0.0,0,0,0,0,0,87,0,0,0
20,1975,02,22,1975-02-22,14:25:00,3,AR,5,8,1.0,0,0,0.0,0.0,33.43,-94.05,0.0,0.0,0,0,0,0,0,0,0,0,0
21,1975,02,22,1975-02-22,14:40:00,3,AR,5,9,1.0,0,0,0.0,0.0,33.67,-93.6,0.0,0.0,0,0,0,0,0,57,0,0,0
22,1975,02,22,1975-02-22,15:05:00,3,TX,48,4,1.0,0,0,0.0,0.0,32.67,-94.17,0.0,0.0,0,0,0,0,0,203,0,0,0
23,1975,02,22,1975-02-22,15:10:00,3,LA,22,3,0.75,0,0,0.0,0.0,32.7,-92.65,0.0,0.0,0,0,0,0,0,61,0,0,0
24,1975,02,22,1975-02-22,15:25:00,3,AR,5,10,1.75,0,0,0.0,0.0,35.28,-93.13,0.0,0.0,0,0,0,0,0,115,0,0,0
25,1975,02,22,1975-02-22,15:30:00,3,AR,5,11,1.75,0,0,0.0,0.0,34.47,-93.07,0.0,0.0,0,0,0,0,0,51,0,0,0
26,1975,02,22,1975-02-22,15:37:00,3,AR,5,12,1.0,0,0,0.0,0.0,33.92,-93.15,0.0,0.0,0,0,0,0,0,19,0,0,0
27,1975,02,22,1975-02-22,16:18:00,3,AR,5,13,2.0,0,0,0.0,0.0,34.67,-92.3,0.0,0.0,0,0,0,0,0,119,0,0,0
28,1975,02,22,1975-02-22,16:58:00,3,AR,5,14,1.75,0,0,0.0,0.0,34.67,-92.47,0.0,0.0,0,0,0,0,0,119,0,0,0
29,1975,02,22,1975-02-22,17:04:00,3,AR,5,15,1.75,0,0,0.0,0.0,33.58,-92.83,0.0,0.0,0,0,0,0,0,103,0,0,0
30,1975,02,22,1975-02-22,20:10:00,3,LA,22,4,2.0,0,0,0.0,0.0,32.52,-93.72,0.0,0.0,0,0,0,0,0,17,0,0,0
31,1975,03,01,1975-03-01,15:53:00,3,AL,1,3,0.75,0,0,0.0,0.0,33.28,-86.82,0.0,0.0,0,0,0,0,0,117,0,0,0
