om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
1,1984,02,10,1984-02-10,01:30:00,3,AR,5,1,1.75,0,0,0.0,0.0,33.52,-92.9,0.0,0.0,0,0,0,0,0,103,0,0,0
2,1984,02,10,1984-02-10,01:55:00,3,AR,5,2,1.75,0,0,0.0,0.0,33.57,-92.77,0.0,0.0,0,0,0,0,0,103,0,0,0
3,1984,02,10,1984-02-10,03:15:00,3,LA,22,1,1.0,0,0,0.0,0.0,32.93,-93.3,0.0,0.0,0,0,0,0,0,119,0,0,0
4,1984,02,10,1984-02-10,03:20:00,3,AR,5,3,1.0,0,0,0.0,0.0,33.03,-93.07,0.0,0.0,0,0,0,0,0,27,0,0,0
5,1984,02,10,1984-02-10,06:25:00,3,LA,22,2,1.0,0,0,0.0,0.0,32.68,-91.2,0.0,0.0,0,0,0,0,0,35,0,0,0
6,1984,02,10,1984-02-10,11:50:00,3,TN,47,1,2.0,0,0,0.0,0.0,36.03,-89.38,0.0,0.0,0,0,0,0,0,45,0,0,0
7,1984,02,11,1984-02-11,12:30:00,3,TX,48,1,1.75,0,0,0.0,0.0,32.98,-97.85,0.0,0.0,0,0,0,0,0,367,0,0,0
8,1984,02,11,1984-02-11,13:15:00,3,OK,40,1,1.0,0,0,0.0,0.0,34.95,-96.52,0.0,0.0,0,0,0,0,0,133,0,0,0
9,1984,02,11,1984-02-11,13:25:00,3,TX,48,2,1.75,0,0,0.0,0.0,32.97,-97.68,0.0,0.0,0,0,0,0,0,367,0,0,0
10,1984,02,11,1984-02-11,13:30:00,3,OK,40,2,1.75,0,0,0.0,0.0,34.77,-95.13,0.0,0.0,0,0,0,0,0,61,0,0,0
11,1984,02,11,1984-02-11,13:33:00,3,OK,40,3,1.75,0,0,0.0,0.0,34.77,-96.77,0.0,0.0,0,0,0,0,0,123,0,0,0
12,1984,02,11,1984-02-11,13:55:00,3,OK,40,4,0.75,0,0,0.0,0.0,35.25,-95.13,0.0,0.0,0,0,0,0,0,61,0,0,0
13,1984,02,11,1984-02-11,14:14:00,3,OK,40,5,1.0,0,0,0.0,0.0,34.95,-96.52,0.0,0.0,0,0,0,0,0,133,0,0,0
14,1984,02,11,1984-02-11,14:25:00,3,TX,48,3,1.75,0,0,0.0,0.0,32.35,-98.33,0.0,0.0,0,0,0,0,0,143,0,0,0
15,1984,02,11,1984-02-11,14:25:00,3,OK,40,6,0.75,0,0,0.0,0.0,35.23,-96.25,0.0,0.0,0,0,0,0,0,63,0,0,0
16,1984,02,11,1984-02-11,14:26:00,3,TX,48,4,1.75,0,0,0.0,0.0,33.08,-97.58,0.0,0.0,0,0,0,0,0,497,0,0,0
17,1984,02,11,1984-02-11,14:30:00,3,TX,48,5,0.75,0,0,0.0,0.0,32.12,-98.55,0.0,0.0,0,0,0,0,0,93,0,0,0
18,1984,02,11,1984-02-11,14:40:00,3,TX,48,6,0.75,0,0,0.0,0.0,31.35,-94.73,0.0,0.0,0,0,0,0,0,5,0,0,0
19,1984,02,11,1984-02-11,14:45:00,3,OK,40,7,0.75,0,0,0.0,0.0,35.23,-96.25,0.0,0.0,0,0,0,0,0,63,0,0,0
20,1984,02,11,1984-02-11,14:55:00,3,TX,48,7,0.75,0,0,0.0,0.0,33.0,-97.48,0.0,0.0,0,0,0,0,0,497,0,0,0
21,1984,02,11,1984-02-11,15:10:00,3,TX,48,8,0.75,0,0,0.0,0.0,33.08,-97.58,0.0,0.0,0,0,0,0,0,497,0,0,0
22,1984,02,11,1984-02-11,15:15:00,3,TX,48,9,0.75,0,0,0.0,0.0,32.23,-98.3,0.0,0.0,0,0,0,0,0,143,0,0,0
23,1984,02,11,1984-02-11,15:30:00,3,TX,48,10,0.75,0,0,0.0,0.0,33.22,-97.15,0.0,0.0,0,0,0,0,0,121,0,0,0
24,1984,02,11,1984-02-11,15:55:00,3,TX,48,11,1.75,0,0,0.0,0.0,32.38,-98.17,0.0,0.0,0,0,0,0,0,143,0,0,0
25,1984,02,11,1984-02-11,16:25:00,3,AR,5,4,1.0,0,0,0.0,0.0,36.4,-93.73,0.0,0.0,0,0,0,0,0,15,0,0,0
26,1984,02,11,1984-02-11,16:30:00,3,TX,48,12,1.0,0,0,0.0,0.0,32.85,-97.2,0.0,0.0,0,0,0,0,0,439,0,0,0
27,1984,02,11,1984-02-11,17:20:00,3,KS,20,1,0.75,0,0,0.0,0.0,37.67,-95.48,0.0,0.0,0,0,0,0,0,133,0,0,0
28,1984,02,11,1984-02-11,17:30:00,3,TX,48,13,1.75,0,0,0.0,0.0,33.6,-94.67,0.0,0.0,0,0,0,0,0,37,0,0,0
29,1984,02,11,1984-02-11,17:30:00,3,TX,48,14,1.25,0,0,0.0,0.0,32.3,-95.62,0.0,0.0,0,0,0,0,0,213,0,0,0
30,1984,02,11,1984-02-11,17:30:00,3,TX,48,15,0.75,0,0,0.0,0.0,33.2,-94.68,0.0,0.0,0,0,0,0,0,343,0,0,0
31,1984,02,11,1984-02-11,17:30:00,3,TX,48,16,0.75,0,0,0.0,0.0,33.07,-94.37,0.0,0.0,0,0,0,0,0,67,0,0,0
32,1984,02,11,1984-02-11,17:30:00,3,TX,48,17,1.75,0,0,0.0,0.0,33.47,-94.45,0.0,0.0,0,0,0,0,0,37,0,0,0
33,1984,02,11,1984-02-11,17:33:00,3,AR,5,5,1.0,0,0,0.0,0.0,34.52,-93.4,0.0,0.0,0,0,0,0,0,51,0,0,0
34,1984,02,11,1984-02-11,17:40:00,3,OK,40,8,1.0,0,0,0.0,0.0,33.7,-94.65,0.0,0.0,0,0,0,0,0,89,0,0,0
35,1984,02,11,1984-02-11,17:40:00,3,TX,48,18,1.75,0,0,0.0,0.0,33.1,-94.75,0.0,0.0,0,0,0,0,0,343,0,0,0
36,1984,02,11,1984-02-11,17:40:00,3,TX,48,19,1.75,0,0,0.0,0.0,33.07,-94.37,0.0,0.0,0,0,0,0,0,67,0,0,0
37,1984,02,11,1984-02-11,17:45:00,3,KS,20,2,0.75,0,0,0.0,0.0,39.05,-94.88,0.0,0.0,0,0,0,0,0,209,0,0,0
38,1984,02,11,1984-02-11,17:45:00,3,AR,5,6,1.0,0,0,0.0,0.0,33.72,-94.4,0.0,0.0,0,0,0,0,0,81,0,0,0
39,1984,02,11,1984-02-11,18:00:00,3,KS,20,3,0.75,0,0,0.0,0.0,39.07,-94.82,0.0,0.0,0,0,0,0,0,209,0,0,0
40,1984,02,11,1984-02-11,18:20:00,3,KS,20,4,0.75,0,0,0.0,0.0,39.12,-94.8,0.0,0.0,0,0,0,0,0,209,0,0,0
41,1984,02,11,1984-02-11,19:10:00,3,TX,48,20,1.75,0,0,0.0,0.0,32.83,-97.25,0.0,0.0,0,0,0,0,0,439,0,0,0
42,1984,02,11,1984-02-11,19:30:00,3,TX,48,21,1.75,0,0,0.0,0.0,32.6,-97.85,0.0,0.0,0,0,0,0,0,367,0,0,0
43,1984,02,11,1984-02-11,19:30:00,3,TX,48,22,1.75,0,0,0.0,0.0,32.85,-97.2,0.0,0.0,0,0,0,0,0,439,0,0,0
44,1984,02,11,1984-02-11,19:40:00,3,TX,48,23,1.75,0,0,0.0,0.0,32.45,-97.8,0.0,0.0,0,0,0,0,0,221,0,0,0
45,1984,02,11,1984-02-11,19:45:00,3,TX,48,24,1.75,0,0,0.0,0.0,32.95,-96.9,0.0,0.0,0,0,0,0,0,113,0,0,0
46,1984,02,11,1984-02-11,20:00:00,3,TX,48,25,1.75,0,0,0.0,0.0,32.85,-96.92,0.0,0.0,0,0,0,0,0,113,0,0,0
47,1984,02,11,1984-02-11,20:00:00,3,TX,48,26,0.75,0,0,0.0,0.0,33.1,-96.62,0.0,0.0,0,0,0,0,0,85,0,0,0
48,1984,02,11,1984-02-11,20:00:00,3,TX,48,27,1.0,0,0,0.0,0.0,32.75,-97.7,0.0,0.0,0,0,0,0,0,367,0,0,0
49,1984,02,11,1984-02-11,20:05:00,3,TX,48,28,0.75,0,0,0.0,0.0,32.68,-97.45,0.0,0.0,0,0,0,0,0,439,0,0,0
50,1984,02,11,1984-02-11,21:15:00,3,TX,48,29,1.0,0,0,0.0,0.0,31.78,-95.12,0.0,0.0,0,0,0,0,0,73,0,0,0
51,1984,02,11,1984-02-11,21:15:00,3,TX,48,30,1.0,0,0,0.0,0.0,32.08,-94.88,0.0,0.0,0,0,0,0,0,401,0,0,0
52,1984,02,12,1984-02-12,00:45:00,3,LA,22,3,1.0,0,0,0.0,0.0,31.33,-92.55,0.0,0.0,0,0,0,0,0,79,0,0,0
53,1984,02,12,1984-02-12,04:30:00,3,TX,48,31,1.0,0,0,0.0,0.0,29.48,-97.48,0.0,0.0,0,0,0,0,0,177,0,0,0
54,1984,02,12,1984-02-12,11:00:00,3,LA,22,4,2.75,0,0,0.0,0.0,30.27,-91.9,0.0,0.0,0,0,0,0,0,99,0,0,0
55,1984,02,13,1984-02-13,16:30:00,3,GA,13,1,1.75,0,0,0.0,0.0,32.52,-84.87,0.0,0.0,0,0,0,0,0,215,0,0,0
56,1984,02,13,1984-02-13,17:55:00,3,AL,1,1,1.0,0,0,0.0,0.0,31.23,-85.37,0.0,0.0,0,0,0,0,0,69,0,0,0
57,1984,02,13,1984-02-13,18:10:00,3,AL,1,2,1.75,0,0,0.0,0.0,31.33,-85.72,0.0,0.0,0,0,0,0,0,45,0,0,0
58,1984,02,13,1984-02-13,19:15:00,3,GA,13,2,1.75,0,0,0.0,0.0,31.38,-84.95,0.0,0.0,0,0,0,0,0,99,0,0,0
59,1984,02,13,1984-02-13,19:15:00,3,GA,13,3,1.75,0,0,0.0,0.0,31.3,-84.72,0.0,0.0,0,0,0,0,0,99,0,0,0
60,1984,02,13,1984-02-13,19:40:00,3,GA,13,4,1.75,0,0,0.0,0.0,31.3,-84.72,0.0,0.0,0,0,0,0,0,99,0,0,0
61,1984,02,13,1984-02-13,23:29:00,3,GA,13,5,2.75,0,0,0.0,0.0,31.58,-84.17,0.0,0.0,0,0,0,0,0,95,0,0,0
62,1984,02,13,1984-02-13,23:30:00,3,GA,13,6,1.75,0,0,0.0,0.0,31.73,-84.17,0.0,0.0,0,0,0,0,0,177,0,0,0
63,1984,02,14,1984-02-14,00:30:00,3,GA,13,7,1.75,0,0,0.0,0.0,31.95,-83.4,0.0,0.0,0,0,0,0,0,315,0,0,0
64,1984,02,14,1984-02-14,01:00:00,3,GA,13,8,1.75,0,0,0.0,0.0,32.18,-83.23,0.0,0.0,0,0,0,0,0,91,0,0,0
65,1984,02,14,1984-02-14,02:00:00,3,GA,13,9,2.75,0,0,0.0,0.0,32.43,-82.22,0.0,0.0,0,0,0,0,0,107,0,0,0
66,1984,02,15,1984-02-15,16:35:00,3,TX,48,32,1.75,0,0,0.0,0.0,31.35,-94.73,0.0,0.0,0,0,0,0,0,5,0,0,0
67,1984,02,15,1984-02-15,16:35:00,3,TX,48,33,1.75,0,0,0.0,0.0,31.48,-94.73,0.0,0.0,0,0,0,0,0,347,0,0,0
68,1984,02,15,1984-02-15,18:56:00,3,AR,5,7,1.75,0,0,0.0,0.0,34.18,-91.93,0.0,0.0,0,0,0,0,0,69,0,0,0
