om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
2,2010,01,19,2010-01-19,17:45:00,3,CA,6,0,0.75,0,0,0.1,0.0,38.36,-121.97,38.36,-121.97,0,0,0,0,0,95,0,0,0
1,2010,01,19,2010-01-19,17:45:00,3,CA,6,0,0.75,0,0,0.0,0.0,38.36,-121.97,38.36,-121.97,0,0,0,0,0,95,0,0,0
3,2010,01,20,2010-01-20,08:55:00,3,MO,29,0,0.75,0,0,0.0,0.0,39.8,-91.53,39.8,-91.53,0,0,0,0,0,127,0,0,0
4,2010,01,20,2010-01-20,11:21:00,3,MS,28,0,1.0,0,0,0.025,0.0,31.5488,-89.5172,31.6018,-89.4287,0,0,0,0,0,31,0,0,0
5,2010,01,20,2010-01-20,15:20:00,3,LA,22,0,0.75,0,0,0.0,0.0,30.8295,-92.0834,30.8295,-92.0834,0,0,0,0,0,97,0,0,0
7,2010,01,20,2010-01-20,15:25:00,3,LA,22,0,1.0,0,0,0.0,0.0,30.8462,-92.0048,30.8462,-92.0048,0,0,0,0,0,97,0,0,0
6,2010,01,20,2010-01-20,15:25:00,3,LA,22,0,0.75,0,0,0.0,0.0,30.8178,-92.0089,30.8178,-92.0089,0,0,0,0,0,97,0,0,0
8,2010,01,20,2010-01-20,15:40:00,3,LA,22,0,1.75,0,0,0.0,0.0,30.64,-90.51,30.64,-90.51,0,0,0,0,0,105,0,0,0
9,2010,01,20,2010-01-20,16:08:00,3,MS,28,0,1.0,0,0,0.0,0.0,32.2908,-90.5114,32.2908,-90.5114,0,0,0,0,0,49,0,0,0
10,2010,01,20,2010-01-20,16:10:00,3,CA,6,0,1.0,0,0,0.0,0.0,37.0234,-121.8,37.0234,-121.8,0,0,0,0,0,87,0,0,0
11,2010,01,20,2010-01-20,16:17:00,3,TX,48,0,2.0,0,0,0.0,0.0,32.28,-94.97,32.28,-94.97,0,0,0,0,0,401,0,0,0
12,2010,01,20,2010-01-20,16:18:00,3,TX,48,0,1.0,0,0,0.0,0.0,32.27,-94.93,32.27,-94.93,0,0,0,0,0,401,0,0,0
13,2010,01,20,2010-01-20,16:20:00,3,LA,22,0,1.75,0,0,0.0,0.0,30.63,-90.39,30.63,-90.39,0,0,0,0,0,105,0,0,0
14,2010,01,20,2010-01-20,16:30:00,3,CA,6,0,1.0,0,0,0.0,0.0,36.5876,-121.83,36.5876,-121.83,0,0,0,0,0,53,0,0,0
15,2010,01,20,2010-01-20,16:45:00,3,TX,48,0,1.75,0,0,0.01,0.0,32.75,-96.47,32.75,-96.47,0,0,0,0,0,257,0,0,0
16,2010,01,20,2010-01-20,16:55:00,3,TX,48,0,1.0,0,0,0.0,0.0,32.49,-94.58,32.49,-94.58,0,0,0,0,0,203,0,0,0
17,2010,01,20,2010-01-20,16:59:00,3,TX,48,0,1.0,0,0,0.0,0.0,32.9103,-96.1339,32.9103,-96.1339,0,0,0,0,0,231,0,0,0
18,2010,01,20,2010-01-20,17:00:00,3,TX,48,0,1.25,0,0,0.0,0.0,32.6185,-95.9801,32.6185,-95.9801,0,0,0,0,0,467,0,0,0
19,2010,01,20,2010-01-20,17:08:00,3,TX,48,0,1.0,0,0,0.0,0.0,32.6302,-95.9498,32.6302,-95.9498,0,0,0,0,0,467,0,0,0
20,2010,01,20,2010-01-20,17:43:00,3,TX,48,0,1.0,0,0,0.0,0.0,32.6747,-95.7102,32.6747,-95.7102,0,0,0,0,0,467,0,0,0
22,2010,01,20,2010-01-20,17:50:00,3,TX,48,0,1.0,0,0,0.0,0.0,32.05,-95.97,32.05,-95.97,0,0,0,0,0,213,0,0,0
21,2010,01,20,2010-01-20,17:50:00,3,LA,22,0,0.88,0,0,0.0,0.0,32.68,-93.96,32.68,-93.96,0,0,0,0,0,17,0,0,0
23,2010,01,20,2010-01-20,17:53:00,3,MS,28,0,1.0,0,0,0.0,0.0,32.5037,-90.3452,32.5552,-90.2386,0,0,0,0,0,89,0,0,0
24,2010,01,20,2010-01-20,17:55:00,3,LA,22,0,1.0,0,0,0.0,0.0,32.47,-93.8,32.47,-93.8,0,0,0,0,0,17,0,0,0
26,2010,01,20,2010-01-20,17:58:00,3,LA,22,0,1.75,0,0,0.0,0.0,32.47,-93.8,32.47,-93.8,0,0,0,0,0,17,0,0,0
25,2010,01,20,2010-01-20,17:58:00,3,LA,22,0,1.25,0,0,0.0,0.0,32.59,-93.89,32.59,-93.89,0,0,0,0,0,17,0,0,0
27,2010,01,20,2010-01-20,18:05:00,3,TX,48,0,1.0,0,0,0.0,0.0,33.0579,-95.7368,33.0579,-95.7368,0,0,0,0,0,223,0,0,0
28,2010,01,20,2010-01-20,18:07:00,3,LA,22,0,1.0,0,0,0.0,0.0,32.59,-93.89,32.59,-93.89,0,0,0,0,0,17,0,0,0
29,2010,01,20,2010-01-20,18:10:00,3,LA,22,0,0.88,0,0,0.0,0.0,32.7,-93.73,32.7,-93.73,0,0,0,0,0,15,0,0,0
31,2010,01,20,2010-01-20,18:15:00,3,TX,48,0,1.75,0,0,0.005,0.0,33.72,-95.8,33.72,-95.8,0,0,0,0,0,277,0,0,0
