om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
1,2008,01,07,2008-01-07,05:59:00,3,IA,19,0,0.88,0,0,0.0,0.0,42.24,-91.19,42.24,-91.19,0,0,0,0,0,105,0,0,0
2,2008,01,07,2008-01-07,06:10:00,3,IA,19,0,0.75,0,0,0.0,0.0,42.3,-91.01,42.3,-91.01,0,0,0,0,0,61,0,0,0
3,2008,01,07,2008-01-07,06:35:00,3,IL,17,0,0.75,0,0,0.0,0.0,42.49,-90.54,42.49,-90.54,0,0,0,0,0,85,0,0,0
4,2008,01,07,2008-01-07,06:39:00,3,WI,55,0,0.75,0,0,0.0,0.0,42.52,-90.53,42.52,-90.53,0,0,0,0,0,43,0,0,0
5,2008,01,07,2008-01-07,06:45:00,3,WI,55,0,0.75,0,0,0.0,0.0,42.53,-90.43,42.53,-90.43,0,0,0,0,0,43,0,0,0
6,2008,01,07,2008-01-07,10:30:00,3,WI,55,0,0.75,0,0,0.0,0.0,43.0591,-89.5561,43.0591,-89.5561,0,0,0,0,0,25,0,0,0
7,2008,01,07,2008-01-07,11:25:00,3,WI,55,0,0.88,0,0,0.0,0.0,44.26,-88.26,44.26,-88.26,0,0,0,0,0,87,0,0,0
8,2008,01,07,2008-01-07,14:32:00,3,MO,29,0,1.75,0,0,0.0,0.0,38.23,-93.56,38.23,-93.56,0,0,0,0,0,83,0,0,0
9,2008,01,07,2008-01-07,14:36:00,3,MO,29,0,0.75,0,0,0.0,0.0,38.28,-93.54,38.28,-93.54,0,0,0,0,0,83,0,0,0
10,2008,01,07,2008-01-07,14:45:00,3,MO,29,0,1.0,0,0,0.0,0.0,38.24,-93.47,38.24,-93.47,0,0,0,0,0,15,0,0,0
11,2008,01,07,2008-01-07,14:48:00,3,MO,29,0,0.88,0,0,0.0,0.0,38.7,-92.97,38.7,-92.97,0,0,0,0,0,53,0,0,0
12,2008,01,07,2008-01-07,14:55:00,3,MO,29,0,0.75,0,0,0.0,0.0,39.8,-91.53,39.8,-91.53,0,0,0,0,0,127,0,0,0
13,2008,01,07,2008-01-07,14:56:00,3,MO,29,0,0.75,0,0,0.0,0.0,38.79,-92.8,38.79,-92.8,0,0,0,0,0,53,0,0,0
14,2008,01,07,2008-01-07,15:07:00,3,IL,17,0,1.75,0,0,0.0,0.0,39.8692,-91.3383,39.8692,-91.3383,0,0,0,0,0,1,0,0,0
15,2008,01,07,2008-01-07,15:10:00,3,MO,29,0,0.88,0,0,0.0,0.0,38.65,-92.78,38.65,-92.78,0,0,0,0,0,135,0,0,0
16,2008,01,07,2008-01-07,15:15:00,3,IL,17,0,0.88,0,0,0.0,0.0,39.8267,-91.2526,39.8267,-91.2526,0,0,0,0,0,1,0,0,0
17,2008,01,07,2008-01-07,15:15:00,3,IL,17,0,1.25,0,0,0.0,0.0,39.9162,-91.2346,39.9162,-91.2346,0,0,0,0,0,1,0,0,0
18,2008,01,07,2008-01-07,15:24:00,3,IL,17,0,0.75,0,0,0.0,0.0,42.42,-89.02,42.42,-89.02,0,0,0,0,0,201,0,0,0
19,2008,01,07,2008-01-07,15:27:00,3,IL,17,0,0.75,0,0,0.0,0.0,42.32,-89.05,42.32,-89.05,0,0,0,0,0,201,0,0,0
20,2008,01,07,2008-01-07,15:28:00,3,IL,17,0,1.0,0,0,0.0,0.0,39.87,-91.1,39.87,-91.1,0,0,0,0,0,1,0,0,0
21,2008,01,07,2008-01-07,15:29:00,3,MO,29,0,0.88,0,0,0.0,0.0,39.7135,-91.4458,39.7135,-91.4458,0,0,0,0,0,127,0,0,0
22,2008,01,07,2008-01-07,15:34:00,3,MO,29,0,1.0,0,0,0.0,0.0,38.95,-92.33,38.95,-92.33,0,0,0,0,0,19,0,0,0
23,2008,01,07,2008-01-07,15:40:00,3,IL,17,0,1.0,0,0,0.0,0.0,40.0209,-90.8234,40.0209,-90.8234,0,0,0,0,0,9,0,0,0
24,2008,01,07,2008-01-07,15:50:00,3,MO,29,0,0.88,0,0,0.0,0.0,38.95,-92.0131,38.95,-92.0131,0,0,0,0,0,27,0,0,0
25,2008,01,07,2008-01-07,16:00:00,3,WI,55,0,0.75,0,0,0.0,0.0,42.52,-88.48,42.52,-88.48,0,0,0,0,0,127,0,0,0
26,2008,01,07,2008-01-07,16:05:00,3,MO,29,0,1.75,0,0,0.0,0.0,38.77,-92.27,38.77,-92.27,0,0,0,0,0,19,0,0,0
27,2008,01,07,2008-01-07,16:08:00,3,WI,55,0,0.75,0,0,0.0,0.0,42.67,-88.27,42.67,-88.27,0,0,0,0,0,101,0,0,0
28,2008,01,07,2008-01-07,16:10:00,3,MO,29,0,0.75,0,0,0.0,0.0,39.25,-91.65,39.25,-91.65,0,0,0,0,0,7,0,0,0
29,2008,01,07,2008-01-07,16:20:00,3,MO,29,0,0.88,0,0,0.0,0.0,38.8611,-91.9643,38.854,-91.947,0,0,0,0,0,27,0,0,0
