om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
1,1994,01,03,1994-01-03,18:45:00,3,GA,13,1,1.75,0,0,3.0,0.0,32.9,-84.12,0.0,0.0,0,0,0,0,0,207,0,0,0
2,1994,01,25,1994-01-25,18:10:00,3,TX,48,1,1.0,0,0,2.0,0.0,32.25,-94.47,0.0,0.0,0,0,0,0,0,365,0,0,0
3,1994,01,25,1994-01-25,22:52:00,3,AR,5,1,1.75,0,0,0.0,0.0,34.55,-93.63,0.0,0.0,0,0,0,0,0,97,0,0,0
4,1994,01,26,1994-01-26,00:15:00,3,AR,5,2,1.0,0,0,0.0,0.0,33.28,-93.78,0.0,0.0,0,0,0,0,0,91,0,0,0
5,1994,01,26,1994-01-26,01:30:00,3,OK,40,1,0.75,0,0,0.0,0.0,35.83,-99.92,0.0,0.0,0,0,0,0,0,129,0,0,0
6,1994,01,26,1994-01-26,01:35:00,3,TX,48,2,0.75,0,0,0.0,0.0,34.47,-101.3,0.0,0.0,0,0,0,0,0,45,0,0,0
7,1994,01,26,1994-01-26,02:30:00,3,AR,5,3,1.75,0,0,4.0,0.0,35.48,-94.23,0.0,0.0,0,0,0,0,0,33,0,0,0
8,1994,01,26,1994-01-26,02:54:00,3,TX,48,3,1.0,0,0,0.0,0.0,34.93,-100.22,0.0,0.0,0,0,0,0,0,87,0,0,0
9,1994,01,26,1994-01-26,03:30:00,3,OK,40,2,0.75,0,0,0.0,0.0,35.17,-99.68,0.0,0.0,0,0,0,0,0,9,0,0,0
10,1994,01,26,1994-01-26,03:30:00,3,OK,40,3,1.0,0,0,0.0,0.0,35.05,-99.68,0.0,0.0,0,0,0,0,0,55,0,0,0
11,1994,01,26,1994-01-26,03:46:00,3,KS,20,1,0.75,0,0,0.0,0.0,37.0,-99.67,0.0,0.0,0,0,0,0,0,25,0,0,0
12,1994,01,26,1994-01-26,03:55:00,3,KS,20,2,0.75,0,0,0.0,0.0,37.18,-99.52,0.0,0.0,0,0,0,0,0,33,0,0,0
