om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
1,1961,02,17,1961-02-17,16:12:00,3,KS,20,1,2.0,0,0,0.0,0.0,37.7,-97.4,0.0,0.0,0,0,0,0,0,173,0,0,0
2,1961,02,17,1961-02-17,16:30:00,3,OK,40,1,3.0,0,0,0.0,0.0,35.08,-97.4,0.0,0.0,0,0,0,0,0,87,0,0,0
3,1961,02,17,1961-02-17,16:45:00,3,KS,20,2,1.0,0,0,0.0,0.0,37.2,-96.9,0.0,0.0,0,0,0,0,0,35,0,0,0
4,1961,02,17,1961-02-17,17:00:00,3,OK,40,2,0.75,0,0,0.0,0.0,35.38,-97.58,0.0,0.0,0,0,0,0,0,109,0,0,0
5,1961,02,17,1961-02-17,17:00:00,3,OK,40,3,2.0,0,0,0.0,0.0,35.78,-97.9,0.0,0.0,0,0,0,0,0,73,0,0,0
6,1961,02,17,1961-02-17,20:00:00,3,OK,40,4,1.5,0,0,0.0,0.0,34.08,-96.78,0.0,0.0,0,0,0,0,0,95,0,0,0
7,1961,02,24,1961-02-24,05:55:00,3,LA,22,1,1.75,0,0,0.0,0.0,30.58,-90.9,0.0,0.0,0,0,0,0,0,63,0,0,0
8,1961,03,04,1961-03-04,14:30:00,3,MO,29,1,0.75,0,0,0.0,0.0,38.0,-91.78,0.0,0.0,0,0,0,0,0,161,0,0,0
9,1961,03,04,1961-03-04,15:00:00,3,MO,29,2,1.0,0,0,0.0,0.0,38.78,-90.5,0.0,0.0,0,0,0,0,0,189,0,0,0
10,1961,03,04,1961-03-04,16:00:00,3,MO,29,3,2.0,0,0,0.0,0.0,38.2,-90.68,0.0,0.0,0,0,0,0,0,99,0,0,0
11,1961,03,04,1961-03-04,16:20:00,3,IL,17,1,1.5,0,0,0.0,0.0,39.2,-90.28,0.0,0.0,0,0,0,0,0,83,0,0,0
