om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
8443,2002,01,23,2002-01-23,14:08:00,3,OK,40,1,0.88,0,0,0.0,0.0,34.47,-96.22,0.0,0.0,0,0,0,0,0,29,0,0,0
8444,2002,01,23,2002-01-23,14:45:00,3,OK,40,2,0.75,0,0,0.0,0.0,35.23,-96.48,0.0,0.0,0,0,0,0,0,133,0,0,0
8445,2002,01,23,2002-01-23,15:00:00,3,OK,40,3,0.75,0,0,0.0,0.0,35.33,-96.13,0.0,0.0,0,0,0,0,0,107,0,0,0
8446,2002,01,23,2002-01-23,15:10:00,3,OK,40,4,0.75,0,0,0.0,0.0,35.07,-95.5,0.0,0.0,0,0,0,0,0,121,0,0,0
8447,2002,01,23,2002-01-23,15:25:00,3,OK,40,5,0.88,0,0,0.0,0.0,35.12,-95.37,0.0,0.0,0,0,0,0,0,121,0,0,0
237,2002,01,23,2002-01-23,15:47:00,3,AR,5,1,1.0,0,0,0.0,0.0,35.13,-93.93,0.0,0.0,0,0,0,0,0,83,0,0,0
5549,2002,01,23,2002-01-23,15:58:00,3,MO,29,1,0.75,0,0,0.0,0.0,36.68,-93.87,0.0,0.0,0,0,0,0,0,9,0,0,0
8448,2002,01,23,2002-01-23,16:20:00,3,OK,40,6,0.75,0,0,0.0,0.0,35.47,-94.8,0.0,0.0,0,0,0,0,0,135,0,0,0
238,2002,01,23,2002-01-23,16:25:00,3,AR,5,2,1.0,0,0,0.0,0.0,35.28,-93.6,0.0,0.0,0,0,0,0,0,83,0,0,0
239,2002,01,23,2002-01-23,16:30:00,3,AR,5,3,0.75,0,0,0.0,0.0,35.38,-93.37,0.0,0.0,0,0,0,0,0,71,0,0,0
240,2002,01,23,2002-01-23,17:41:00,3,AR,5,4,0.88,0,0,0.0,0.0,35.93,-93.68,0.0,0.0,0,0,0,0,0,87,0,0,0
241,2002,01,23,2002-01-23,18:00:00,3,AR,5,5,0.75,0,0,0.0,0.0,35.98,-93.4,0.0,0.0,0,0,0,0,0,101,0,0,0
242,2002,01,23,2002-01-23,18:50:00,3,AR,5,6,0.75,0,0,0.0,0.0,36.27,-92.6,0.0,0.0,0,0,0,0,0,89,0,0,0
5550,2002,01,23,2002-01-23,19:45:00,3,MO,29,2,1.75,0,0,0.0,0.0,36.75,-90.4,0.0,0.0,0,0,0,0,0,23,0,0,0
243,2002,01,23,2002-01-23,20:10:00,3,AR,5,7,0.75,0,0,0.0,0.0,35.12,-93.52,0.0,0.0,0,0,0,0,0,149,0,0,0
5551,2002,01,23,2002-01-23,20:22:00,3,MO,29,3,0.88,0,0,0.0,0.0,36.7,-91.4,0.0,0.0,0,0,0,0,0,149,0,0,0
244,2002,01,23,2002-01-23,20:30:00,3,AR,5,8,0.75,0,0,0.0,0.0,35.83,-92.45,0.0,0.0,0,0,0,0,0,129,0,0,0
245,2002,01,23,2002-01-23,20:35:00,3,AR,5,9,0.75,0,0,0.0,0.0,35.7,-92.43,0.0,0.0,0,0,0,0,0,141,0,0,0
246,2002,01,23,2002-01-23,20:45:00,3,AR,5,10,0.75,0,0,0.0,0.0,35.87,-92.32,0.0,0.0,0,0,0,0,0,137,0,0,0
247,2002,01,23,2002-01-23,21:40:00,3,AR,5,11,0.75,0,0,0.0,0.0,35.47,-92.22,0.0,0.0,0,0,0,0,0,23,0,0,0
5552,2002,01,23,2002-01-23,22:07:00,3,MO,29,4,1.0,0,0,0.0,0.0,37.1,-89.92,0.0,0.0,0,0,0,0,0,207,0,0,0
5553,2002,01,23,2002-01-23,22:30:00,3,MO,29,5,1.0,0,0,0.0,0.0,37.18,-89.67,0.0,0.0,0,0,0,0,0,201,0,0,0
248,2002,01,23,2002-01-23,23:40:00,3,AR,5,12,0.75,0,0,0.0,0.0,34.97,-92.02,0.0,0.0,0,0,0,0,0,85,0,0,0
4090,2002,01,23,2002-01-23,23:51:00,3,KY,21,1,0.75,0,0,0.0,0.0,37.25,-88.37,0.0,0.0,0,0,0,0,0,139,0,0,0
4091,2002,01,24,2002-01-24,01:15:00,3,KY,21,2,0.75,0,0,0.0,0.0,37.2,-87.18,0.0,0.0,0,0,0,0,0,177,0,0,0
10182,2002,01,24,2002-01-24,05:20:00,3,TX,48,2,1.0,0,0,0.0,0.0,31.67,-98.52,0.0,0.0,0,0,0,0,0,333,0,0,0
10181,2002,01,24,2002-01-24,05:20:00,3,TX,48,1,1.0,0,0,0.0,0.0,31.67,-98.42,0.0,0.0,0,0,0,0,0,193,0,0,0
10184,2002,01,24,2002-01-24,05:22:00,3,TX,48,4,1.0,0,0,0.0,0.0,31.68,-98.32,0.0,0.0,0,0,0,0,0,193,0,0,0
10183,2002,01,24,2002-01-24,05:22:00,3,TX,48,3,0.75,0,0,0.0,0.0,31.7,-98.12,0.0,0.0,0,0,0,0,0,193,0,0,0
10185,2002,01,24,2002-01-24,06:02:00,3,TX,48,5,1.0,0,0,0.0,0.0,31.98,-97.87,0.0,0.0,0,0,0,0,0,35,0,0,0
10186,2002,01,24,2002-01-24,06:08:00,3,TX,48,6,0.75,0,0,0.0,0.0,31.92,-97.65,0.0,0.0,0,0,0,0,0,35,0,0,0
1,2002,01,24,2002-01-24,17:27:00,3,AL,1,1,0.75,0,0,0.0,0.0,32.08,-88.22,0.0,0.0,0,0,0,0,0,23,0,0,0
10187,2002,02,19,2002-02-19,12:30:00,3,TX,48,7,0.75,0,0,0.001,0.0,31.0,-96.12,0.0,0.0,0,0,0,0,0,313,0,0,0
2395,2002,02,19,2002-02-19,15:13:00,3,KS,20,1,1.0,0,0,0.0,0.0,39.03,-95.67,0.0,0.0,0,0,0,0,0,177,0,0,0
2396,2002,02,19,2002-02-19,15:15:00,3,KS,20,2,1.0,0,0,0.0,0.0,38.95,-95.67,0.0,0.0,0,0,0,0,0,177,0,0,0
2397,2002,02,19,2002-02-19,15:28:00,3,KS,20,3,0.75,0,0,0.0,0.0,39.0,-95.58,0.0,0.0,0,0,0,0,0,177,0,0,0
2398,2002,02,19,2002-02-19,15:42:00,3,KS,20,4,0.75,0,0,0.0,0.0,38.97,-95.45,0.0,0.0,0,0,0,0,0,45,0,0,0
2399,2002,02,19,2002-02-19,15:52:00,3,KS,20,5,1.0,0,0,0.0,0.0,39.0,-95.23,0.0,0.0,0,0,0,0,0,45,0,0,0
2400,2002,02,19,2002-02-19,16:15:00,3,KS,20,6,0.75,0,0,0.0,0.0,38.83,-94.93,0.0,0.0,0,0,0,0,0,91,0,0,0
2401,2002,02,19,2002-02-19,16:45:00,3,KS,20,7,0.75,0,0,0.0,0.0,38.77,-95.0,0.0,0.0,0,0,0,0,0,91,0,0,0
2402,2002,02,19,2002-02-19,16:56:00,3,KS,20,8,0.75,0,0,0.0,0.0,38.98,-94.67,0.0,0.0,0,0,0,0,0,91,0,0,0
