om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
496787,2014,02,20,2014-02-20,17:10:00,3,IL,17,0,1.0,0,0,0.0,0.0,37.9,-88.92,37.9,-88.8833,0,0,0,0,0,55,0,0,0
496871,2014,02,20,2014-02-20,17:35:00,3,IL,17,0,1.0,0,0,0.1,0.0,38.0855,-88.53,38.0855,-88.53,0,0,0,0,0,65,0,0,0
505218,2014,02,20,2014-02-20,17:52:00,3,TN,47,0,0.88,0,0,0.0,0.0,35.43,-88.67,35.43,-88.67,0,0,0,0,0,23,0,0,0
496788,2014,02,20,2014-02-20,17:55:00,3,IL,17,0,1.0,0,0,0.0,0.0,38.18,-88.35,38.18,-88.35,0,0,0,0,0,193,0,0,0
493102,2014,02,20,2014-02-20,18:23:00,3,MS,28,0,1.0,0,0,0.0,0.0,31.55,-90.38,31.55,-90.38,0,0,0,0,0,85,0,0,0
502553,2014,02,20,2014-02-20,18:30:00,3,MS,28,0,1.0,0,0,0.0,0.0,31.8,-88.7,31.8,-88.7,0,0,0,0,0,153,0,0,0
497310,2014,02,20,2014-02-20,19:00:00,3,TN,47,0,1.0,0,0,0.0,0.0,36.4,-87.03,36.4,-87.03,0,0,0,0,0,21,0,0,0
500533,2014,02,20,2014-02-20,19:02:00,3,IN,18,0,0.88,0,0,0.0,0.0,39.9988,-86.6198,39.9988,-86.6198,0,0,0,0,0,11,0,0,0
497327,2014,02,20,2014-02-20,19:04:00,3,TN,47,0,1.0,0,0,0.0,0.0,36.3393,-87.0235,36.3393,-87.0235,0,0,0,0,0,21,0,0,0
499428,2014,02,20,2014-02-20,19:06:00,3,TX,48,0,1.0,0,0,0.0,0.0,30.1,-93.9,30.1,-93.9,0,0,0,0,0,361,0,0,0
499429,2014,02,20,2014-02-20,19:10:00,3,TX,48,0,0.88,0,0,0.0,0.0,30.02,-93.85,30.02,-93.85,0,0,0,0,0,361,0,0,0
500534,2014,02,20,2014-02-20,19:24:00,3,IN,18,0,1.0,0,0,0.0,0.0,39.9794,-86.3973,39.9794,-86.3973,0,0,0,0,0,11,0,0,0
505093,2014,02,20,2014-02-20,19:40:00,3,MS,28,0,1.0,0,0,0.0,0.0,34.2773,-88.7838,34.2773,-88.7838,0,0,0,0,0,81,0,0,0
500536,2014,02,20,2014-02-20,19:41:00,3,IN,18,0,0.75,0,0,0.0,0.0,40.0602,-86.0903,40.0602,-86.0903,0,0,0,0,0,57,0,0,0
500535,2014,02,20,2014-02-20,19:45:00,3,IN,18,0,0.75,0,0,0.0,0.0,40.06,-86.03,40.06,-86.03,0,0,0,0,0,57,0,0,0
489418,2014,02,20,2014-02-20,19:57:00,3,IN,18,0,1.25,0,0,0.0,0.0,38.19,-86.71,38.19,-86.71,0,0,0,0,0,123,0,0,0
489419,2014,02,20,2014-02-20,20:01:00,3,IN,18,0,1.25,0,0,0.0,0.0,38.15,-86.74,38.15,-86.74,0,0,0,0,0,123,0,0,0
497935,2014,02,20,2014-02-20,20:24:00,3,TN,47,0,1.0,0,0,0.0,0.0,35.98,-86.53,35.98,-86.53,0,0,0,0,0,149,0,0,0
500538,2014,02,20,2014-02-20,20:25:00,3,IN,18,0,1.25,0,0,0.0,0.0,39.52,-85.78,39.52,-85.78,0,0,0,0,0,145,0,0,0
497958,2014,02,20,2014-02-20,22:12:00,3,TN,47,0,0.75,0,0,0.0,0.0,36.55,-84.97,36.55,-84.97,0,0,0,0,0,49,0,0,0
493129,2014,02,20,2014-02-20,22:40:00,3,MS,28,0,0.75,0,0,0.0,0.0,31.87,-88.85,31.87,-88.85,0,0,0,0,0,23,0,0,0
501874,2014,02,21,2014-02-21,02:58:00,3,GA,13,0,1.0,0,0,0.0,0.0,33.39,-84.28,33.39,-84.28,0,0,0,0,0,151,0,0,0
491839,2014,02,21,2014-02-21,11:10:00,3,FL,12,0,1.0,0,0,0.0,0.0,29.74,-81.84,29.74,-81.84,0,0,0,0,0,107,0,0,0
491837,2014,02,21,2014-02-21,12:20:00,3,FL,12,0,1.0,0,0,0.0,0.0,29.92,-81.41,29.92,-81.41,0,0,0,0,0,109,0,0,0
507723,2014,02,21,2014-02-21,13:17:00,3,NC,37,0,1.5,0,0,0.0,0.0,35.47,-77.43,35.47,-77.43,0,0,0,0,0,147,0,0,0
491840,2014,02,21,2014-02-21,13:30:00,3,FL,12,0,1.0,0,0,0.0,0.0,29.2905,-81.3272,29.2905,-81.3272,0,0,0,0,0,35,0,0,0
493677,2014,02,23,2014-02-23,05:15:00,3,FL,12,0,1.5,0,0,0.0,0.0,29.72,-84.99,29.72,-84.99,0,0,0,0,0,37,0,0,0
501879,2014,02,23,2014-02-23,05:37:00,3,LA,22,0,1.25,0,0,0.0,0.0,30.3,-90.97,30.3,-90.97,0,0,0,0,0,5,0,0,0
501880,2014,02,23,2014-02-23,06:15:00,3,LA,22,0,1.0,0,0,0.0,0.0,29.8121,-89.98,29.8121,-89.98,0,0,0,0,0,75,0,0,0
491843,2014,02,23,2014-02-23,11:05:00,3,FL,12,0,0.75,0,0,0.0,0.0,29.66,-82.38,29.66,-82.38,0,0,0,0,0,1,0,0,0
491848,2014,02,23,2014-02-23,12:35:00,3,FL,12,0,0.88,0,0,0.0,0.0,29.62,-81.81,29.62,-81.81,0,0,0,0,0,107,0,0,0
