om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
1,2002,01,02,2002-01-02,14:40:00,3,FL,12,1,1,0,0,0.05,0.0,25.47,-80.63,25.47,-80.47,10.0,50,1,1,1,86,0,0,0,0
3,2002,01,06,2002-01-06,15:02:00,3,MD,24,1,0,0,0,0.02,0.0,38.15,-75.95,38.17,-75.93,1.0,100,1,1,1,39,0,0,0,0
2,2002,01,23,2002-01-23,22:27:00,3,KY,21,1,2,0,0,1.0,0.0,37.53,-87.27,37.53,-87.27,1.8,500,1,1,1,149,0,0,0,0
10,2002,02,07,2002-02-07,11:45:00,3,ID,19,1,0,0,0,0.0,0.0,43.87,-116.5,43.87,-116.5,0.1,20,1,1,1,45,0,0,0,0
4,2002,02,19,2002-02-19,21:30:00,3,MS,28,1,1,0,0,0.15,0.0,32.85,-90.42,32.85,-90.42,0.8,250,1,1,1,163,0,0,0,0
465,2002,03,15,2002-03-15,19:03:00,3,MS,28,2,1,0,0,3.25,0.0,31.73,-89.17,31.72,-89.15,1.0,300,1,1,1,67,0,0,0,0
466,2002,03,16,2002-03-16,05:10:00,3,MS,28,3,1,0,0,1.4,0.0,32.18,-90.32,32.22,-90.28,2.0,300,1,1,1,49,0,0,0,0
470,2002,03,19,2002-03-19,13:31:00,3,TX,48,4,1,0,0,0.002,0.0,31.4,-100.35,31.37,-100.33,3.0,50,1,1,1,451,0,0,0,0
471,2002,03,19,2002-03-19,14:00:00,3,TX,48,5,1,0,0,0.01,0.0,31.43,-100.3,31.48,-100.25,4.0,50,1,1,1,451,0,0,0,0
472,2002,03,19,2002-03-19,14:13:00,3,TX,48,6,0,0,0,0.0,0.0,31.68,-99.95,31.68,-99.95,0.2,20,1,1,1,399,0,0,0,0
479,2002,03,19,2002-03-19,15:20:00,3,TX,48,7,0,0,0,0.0,0.0,29.8,-101.17,29.8,-101.17,0.2,30,1,1,1,465,0,0,0,0
480,2002,03,19,2002-03-19,15:45:00,3,TX,48,8,0,0,0,0.0,0.0,29.53,-101.05,29.53,-101.05,0.2,30,1,1,1,465,0,0,0,0
18,2002,03,19,2002-03-19,16:04:00,3,TX,48,1,0,0,0,0.0,0.0,29.13,-100.47,29.13,-100.47,0.2,100,1,1,1,271,0,0,0,0
481,2002,03,19,2002-03-19,16:10:00,3,TX,48,9,0,0,0,0.0,0.0,29.6,-100.9,29.6,-100.9,0.2,30,1,1,1,465,0,0,0,0
19,2002,03,19,2002-03-19,18:50:00,3,TX,48,2,0,0,0,0.0,0.0,29.35,-99.5,29.37,-99.47,2.0,50,1,1,1,463,0,0,0,0
20,2002,03,19,2002-03-19,19:10:00,3,TX,48,3,1,0,0,0.0,0.0,29.27,-98.87,29.27,-98.87,0.3,50,1,1,1,325,0,0,0,0
482,2002,03,19,2002-03-19,19:15:00,3,TX,48,10,0,0,0,0.5,0.0,29.32,-98.8,29.32,-98.8,0.5,20,1,1,1,29,0,0,0,0
483,2002,03,19,2002-03-19,19:17:00,3,TX,48,11,0,0,0,0.5,0.0,29.32,-98.8,29.32,-98.8,0.5,20,1,1,1,29,0,0,0,0
484,2002,03,19,2002-03-19,19:17:00,3,TX,48,12,1,0,0,0.5,0.0,29.32,-98.8,29.32,-98.8,0.5,20,1,1,1,29,0,0,0,0
485,2002,03,19,2002-03-19,19:19:00,3,TX,48,13,1,0,0,0.5,0.0,29.32,-98.8,29.32,-98.78,1.0,50,1,1,1,29,0,0,0,0
486,2002,03,19,2002-03-19,19:20:00,3,TX,48,14,2,30,0,2.0,0.0,29.25,-98.68,29.27,-98.7,1.5,50,1,1,1,29,0,0,0,0
487,2002,03,19,2002-03-19,19:25:00,3,TX,48,15,1,0,0,1.0,0.0,29.23,-98.58,29.22,-98.58,0.5,60,1,1,1,29,0,0,0,0
13,2002,03,20,2002-03-20,12:15:00,3,LA,22,1,0,0,0,0.04,0.0,30.0,-90.72,30.0,-90.72,0.2,20,1,1,1,93,0,0,0,0
15,2002,03,24,2002-03-24,18:55:00,3,HI,15,1,0,0,0,0.06,0.0,22.12,-159.3,22.12,-159.3,1.0,30,1,1,1,7,0,0,0,0
11,2002,03,29,2002-03-29,17:08:00,3,AR,5,1,0,0,0,0.0,0.0,35.68,-90.53,35.68,-90.53,0.2,10,1,1,1,111,0,0,0,0
14,2002,03,29,2002-03-29,17:45:00,3,KY,21,2,0,0,0,0.001,0.0,37.48,-83.35,37.48,-83.35,0.1,20,1,1,1,25,0,0,0,0
16,2002,03,29,2002-03-29,22:05:00,3,TX,48,16,0,0,0,0.0,0.0,32.22,-99.8,32.22,-99.8,0.2,20,1,1,1,441,0,0,0,0
17,2002,03,29,2002-03-29,23:20:00,3,AL,1,1,1,0,0,1.4,0.0,34.25,-86.45,34.25,-86.28,8.7,500,1,1,1,95,0,0,0,0
488,2002,03,30,2002-03-30,12:51:00,3,TX,48,26,0,0,0,0.001,0.0,31.25,-96.73,31.27,-96.73,0.7,75,1,1,1,145,0,0,0,0
473,2002,03,30,2002-03-30,13:06:00,3,TX,48,20,1,0,0,0.03,0.0,31.92,-100.2,31.95,-100.17,3.0,85,1,1,1,399,0,0,0,0
489,2002,03,30,2002-03-30,13:21:00,3,TX,48,27,2,0,0,0.25,0.0,31.4,-96.58,31.45,-96.47,7.0,440,1,1,1,293,0,0,0,0
