om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
2,2004,01,16,2004-01-16,17:10:00,3,TX,48,1,0,0,0,0.01,0.0,31.98,-99.63,31.98,-99.63,0.5,75,1,1,1,83,0,0,0,0
1,2004,01,25,2004-01-25,06:47:00,3,LA,22,1,2,3,0,1.0,0.0,30.15,-92.1,30.15,-92.08,1.0,10,1,1,1,55,0,0,0,0
725,2004,01,25,2004-01-25,17:45:00,3,HI,15,1,0,0,0,0.0,0.0,21.42,-158.03,21.42,-158.03,1.0,25,1,1,1,3,0,0,0,0
9,2004,02,02,2004-02-02,17:00:00,3,CA,6,1,0,0,0,0.0,0.0,35.1,-120.63,35.1,-120.63,0.5,5,1,1,1,79,0,0,0,0
730,2004,02,05,2004-02-05,10:26:00,3,MS,28,1,2,0,0,0.26,0.0,31.98,-90.1,32.08,-89.97,10.0,300,1,1,1,127,121,0,0,0
731,2004,02,05,2004-02-05,13:20:00,3,MS,28,2,1,0,0,0.03,0.0,32.23,-89.13,32.28,-89.02,8.0,200,1,1,1,101,0,0,0,0
732,2004,02,05,2004-02-05,16:15:00,3,MS,28,3,1,0,0,0.08,0.0,32.52,-88.87,32.53,-88.85,1.5,100,1,1,1,75,0,0,0,0
6,2004,02,06,2004-02-06,15:40:00,3,GA,13,1,0,0,0,0.01,0.0,32.08,-82.12,32.08,-82.12,0.3,100,1,1,1,267,0,0,0,0
723,2004,02,07,2004-02-07,20:40:00,3,HI,15,2,0,0,0,0.0,0.0,21.38,-158.92,21.38,-158.92,1.0,15,1,1,1,3,0,0,0,0
4,2004,02,24,2004-02-24,12:45:00,3,FL,12,1,0,0,0,0.01,0.0,28.05,-81.82,28.05,-81.82,0.3,30,1,1,1,105,0,0,0,0
5,2004,02,24,2004-02-24,21:10:00,3,TX,48,2,0,0,0,0.03,0.0,30.6,-96.33,30.6,-96.33,0.2,50,1,1,1,41,0,0,0,0
724,2004,02,28,2004-02-28,02:30:00,3,HI,15,3,0,0,0,0.0,0.0,19.18,-155.47,19.42,-155.23,5.0,25,1,1,1,1,0,0,0,0
754,2004,03,04,2004-03-04,09:25:00,3,TX,48,3,0,0,0,0.02,0.0,31.53,-101.43,31.55,-101.42,0.5,75,1,1,1,383,0,0,0,0
757,2004,03,04,2004-03-04,09:30:00,3,TX,48,4,0,0,0,0.04,0.0,31.7,-101.42,31.7,-101.42,0.7,50,1,1,1,173,0,0,0,0
756,2004,03,04,2004-03-04,10:28:00,3,TX,48,5,0,0,0,0.12,0.0,32.27,-100.85,32.28,-100.8,0.5,75,1,1,1,335,0,0,0,0
755,2004,03,04,2004-03-04,10:38:00,3,TX,48,6,0,1,0,0.28,0.0,32.42,-100.72,32.42,-100.7,1.0,75,1,1,1,335,0,0,0,0
776,2004,03,04,2004-03-04,10:41:00,3,TX,48,7,1,0,0,0.2,0.0,31.6,-100.63,31.6,-100.63,0.3,50,1,1,1,451,0,0,0,0
775,2004,03,04,2004-03-04,11:03:00,3,TX,48,8,1,0,0,0.1,0.0,32.4,-100.33,32.43,-100.3,0.5,50,1,1,1,353,0,0,0,0
777,2004,03,04,2004-03-04,11:26:00,3,TX,48,9,0,0,0,0.01,0.0,32.1,-99.9,32.1,-99.9,0.1,25,1,1,1,441,0,0,0,0
778,2004,03,04,2004-03-04,11:31:00,3,TX,48,10,2,2,0,0.8,0.0,32.12,-99.92,32.23,-99.78,10.0,440,1,1,1,441,0,0,0,0
779,2004,03,04,2004-03-04,11:51:00,3,TX,48,11,1,0,0,0.3,0.0,32.32,-99.67,32.4,-99.58,12.0,100,1,1,1,441,59,0,0,0
774,2004,03,04,2004-03-04,12:01:00,3,TX,48,12,2,0,0,0.1,0.0,33.08,-99.62,33.08,-99.62,1.0,440,1,1,1,207,0,0,0,0
780,2004,03,04,2004-03-04,12:10:00,3,TX,48,13,0,0,0,0.2,0.0,32.43,-99.45,32.55,-99.37,30.0,75,1,1,1,59,417,0,0,0
781,2004,03,04,2004-03-04,12:30:00,3,TX,48,14,0,0,0,0.05,0.0,32.65,-99.17,32.65,-99.17,0.1,25,1,1,1,417,0,0,0,0
782,2004,03,04,2004-03-04,12:36:00,3,TX,48,15,0,0,0,0.05,0.0,32.08,-98.98,32.08,-98.98,1.0,440,1,1,1,49,0,0,0,0
766,2004,03,04,2004-03-04,12:45:00,3,TX,48,16,0,0,0,0.0,0.0,32.75,-98.92,32.75,-98.92,0.1,50,1,1,1,429,0,0,0,0
765,2004,03,04,2004-03-04,13:00:00,3,TX,48,17,1,0,0,0.5,0.0,33.0,-98.75,33.17,-98.38,24.0,100,1,1,1,503,237,0,0,0
767,2004,03,04,2004-03-04,13:50:00,3,TX,48,18,1,0,0,0.01,0.0,32.8,-97.92,32.8,-97.92,0.1,50,1,1,1,367,0,0,0,0
764,2004,03,04,2004-03-04,14:16:00,3,TX,48,19,1,0,0,0.03,0.0,32.98,-97.68,32.98,-97.68,0.2,100,1,1,1,367,0,0,0,0
763,2004,03,04,2004-03-04,14:25:00,3,TX,48,20,0,0,0,0.01,0.0,33.08,-97.58,33.08,-97.58,0.2,100,1,1,1,497,0,0,0,0
769,2004,03,04,2004-03-04,14:40:00,3,TX,48,21,0,0,0,0.0,0.0,33.27,-97.37,33.27,-97.37,0.1,50,1,1,1,121,0,0,0,0
770,2004,03,04,2004-03-04,15:10:00,3,TX,48,22,1,0,0,0.15,0.0,32.13,-96.88,32.2,-96.78,7.0,100,1,1,1,139,0,0,0,0
771,2004,03,04,2004-03-04,15:25:00,3,TX,48,23,1,0,0,0.25,0.0,32.25,-96.7,32.33,-96.63,7.0,100,1,1,1,139,0,0,0,0
