om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
1,1955,01,05,1955-01-05,05:00:00,3,OK,40,1,0,0,0,0.0,0.0,35.07,-97.93,0.0,0.0,0.1,10,1,1,1,51,0,0,0,0
2,1955,01,08,1955-01-08,21:30:00,3,FL,12,1,1,0,0,2.0,0.0,28.62,-81.42,0.0,0.0,0.1,50,1,1,1,95,0,0,0,1
3,1955,01,18,1955-01-18,13:01:00,3,CA,6,1,1,0,0,3.0,0.0,34.05,-118.3,0.0,0.0,3.0,23,1,1,1,37,0,0,0,1
4,1955,02,01,1955-02-01,18:00:00,3,TN,47,1,2,0,0,5.0,0.0,35.57,-86.43,35.6,-86.27,9.4,1000,1,1,1,3,0,0,0,0
5,1955,02,01,1955-02-01,23:00:00,3,TN,47,2,1,0,0,4.0,0.0,35.43,-85.72,0.0,0.0,2.0,300,1,1,1,61,0,0,0,0
6,1955,02,19,1955-02-19,19:10:00,3,AR,5,1,1,0,0,3.0,0.0,33.8,-93.37,0.0,0.0,1.0,227,1,1,1,99,0,0,0,0
7,1955,02,28,1955-02-28,21:30:00,3,OK,40,2,2,0,0,4.0,0.0,35.0,-95.85,0.0,0.0,2.0,10,1,1,1,121,0,0,0,0
8,1955,03,01,1955-03-01,00:01:00,3,OH,39,1,1,1,0,5.0,0.0,40.03,-84.22,0.0,0.0,0.5,100,1,1,1,109,0,0,0,0
9,1955,03,01,1955-03-01,01:30:00,3,IN,18,1,2,0,0,4.0,0.0,38.83,-86.48,0.0,0.0,1.5,300,1,1,1,93,0,0,0,0
10,1955,03,01,1955-03-01,01:52:00,3,OH,39,2,3,6,1,5.0,0.0,41.27,-80.67,0.0,0.0,2.5,40,1,1,1,99,0,0,0,0
11,1955,03,03,1955-03-03,16:15:00,3,IN,18,2,1,3,0,4.0,0.0,41.62,-86.78,41.6,-86.67,5.6,100,1,1,1,91,0,0,0,0
12,1955,03,04,1955-03-04,18:45:00,3,KY,21,1,3,2,0,5.0,0.0,37.72,-84.45,37.67,-84.3,8.9,10,1,1,1,151,0,0,0,0
13,1955,03,04,1955-03-04,21:30:00,3,IL,17,1,1,0,0,0.0,0.0,37.47,-89.23,0.0,0.0,0.5,50,1,1,1,181,0,0,0,0
14,1955,03,04,1955-03-04,22:54:00,3,TN,47,3,2,4,0,5.0,0.0,36.62,-86.6,36.63,-86.52,3.8,1000,1,1,1,147,165,0,0,0
15,1955,03,05,1955-03-05,15:00:00,3,TN,47,4,1,3,0,4.0,0.0,36.25,-85.95,0.0,0.0,0.5,100,1,1,1,159,0,0,0,0
16,1955,03,05,1955-03-05,19:00:00,3,TN,47,5,2,0,0,4.0,0.0,36.0,-86.17,0.0,0.0,0.1,10,1,1,1,189,41,0,0,0
17,1955,03,05,1955-03-05,19:00:00,3,TN,47,6,2,6,0,5.0,0.0,36.47,-82.87,36.5,-82.8,4.3,300,1,1,1,73,0,0,0,0
18,1955,03,11,1955-03-11,02:00:00,3,IN,18,3,2,0,0,4.0,0.0,40.3,-85.03,0.0,0.0,0.1,10,1,1,1,135,0,0,0,0
19,1955,03,11,1955-03-11,02:00:00,3,IN,18,4,2,2,0,5.0,0.0,40.2,-84.8,40.2,-84.5,15.6,500,1,1,1,135,0,0,0,0
20,1955,03,11,1955-03-11,03:00:00,3,IN,18,5,2,3,0,5.0,0.0,39.67,-85.67,39.67,-85.0,34.8,880,1,1,1,145,139,41,161,0
21,1955,03,11,1955-03-11,04:25:00,3,OH,39,3,2,0,0,5.0,0.0,40.88,-80.83,0.0,0.0,1.0,100,1,1,1,29,0,0,0,0
22,1955,03,11,1955-03-11,04:31:00,3,OH,39,4,2,1,0,5.0,0.0,40.28,-81.62,40.28,-81.53,3.3,200,1,1,1,157,0,0,0,0
23,1955,03,13,1955-03-13,21:00:00,3,SC,45,1,2,10,2,5.0,0.0,33.85,-81.67,33.88,-81.5,9.9,133,1,1,1,81,0,0,0,0
24,1955,03,14,1955-03-14,17:10:00,3,MO,29,1,3,1,0,5.0,0.0,39.65,-94.25,39.67,-94.02,9.8,250,1,1,1,49,25,0,0,0
25,1955,03,14,1955-03-14,17:40:00,3,MO,29,2,2,0,0,4.0,0.0,39.3,-94.22,39.33,-94.17,3.3,250,1,1,1,47,177,0,0,0
26,1955,03,14,1955-03-14,18:00:00,3,MO,29,3,1,0,0,1.0,0.0,39.35,-94.23,0.0,0.0,0.3,100,1,1,1,47,0,0,0,0
27,1955,03,15,1955-03-15,21:30:00,3,KY,21,2,2,9,0,5.0,0.0,37.25,-87.08,0.0,0.0,0.1,10,1,1,1,177,0,0,0,0
28,1955,03,16,1955-03-16,14:30:00,3,NC,37,1,2,1,1,4.0,0.0,35.6,-77.97,35.65,-77.87,6.6,500,1,1,1,191,0,0,0,0
30,1955,03,19,1955-03-19,21:20:00,3,HI,15,2,0,0,0,1.0,0.0,19.75,-155.08,19.75,-155.08,0.1,10,1,1,1,1,0,0,0,1
31,1955,03,20,1955-03-20,08:30:00,3,TX,48,1,1,1,0,4.0,0.0,33.73,-97.68,33.92,-97.48,17.2,800,1,1,1,337,0,0,0,0
32,1955,03,20,1955-03-20,12:30:00,3,AR,5,2,2,0,0,4.0,0.0,35.28,-93.73,35.37,-93.53,12.6,60,1,1,1,83,0,0,0,0
33,1955,03,20,1955-03-20,15:00:00,3,TX,48,2,2,0,0,3.0,0.0,32.08,-96.72,0.0,0.0,0.3,50,1,1,1,349,0,0,0,0
34,1955,03,20,1955-03-20,15:30:00,3,AR,5,3,2,1,0,5.0,0.0,35.72,-90.85,36.43,-89.55,89.4,250,2,0,1,0,0,0,0,0
34,1955,03,20,1955-03-20,15:30:00,3,AR,5,3,2,1,0,4.0,0.0,35.72,-90.85,36.0,-90.3,38.0,250,2,1,2,31,93,0,0,0
35,1955,03,20,1955-03-20,16:15:00,3,TX,48,3,1,1,0,0.0,0.0,31.12,-97.73,31.12,-97.67,4.1,20,1,1,1,27,0,0,0,0
34,1955,03,20,1955-03-20,16:30:00,3,MO,29,4,2,0,0,5.0,0.0,36.0,-90.3,36.43,-89.55,51.4,250,2,1,2,69,155,143,0,0
36,1955,03,20,1955-03-20,17:20:00,3,MO,29,5,3,17,0,5.0,0.0,36.75,-89.37,36.8,-89.33,3.6,250,1,1,1,133,0,0,0,0
37,1955,03,20,1955-03-20,17:43:00,3,TX,48,4,1,0,0,4.0,0.0,29.37,-97.65,29.42,-97.57,6.2,400,1,1,1,177,0,0,0,0
38,1955,03,20,1955-03-20,19:20:00,3,TN,47,7,1,2,0,3.0,0.0,35.12,-87.1,0.0,0.0,0.1,10,1,1,1,99,0,0,0,0
39,1955,03,20,1955-03-20,21:30:00,3,TX,48,5,1,0,0,4.0,0.0,32.48,-94.07,32.53,-94.03,4.3,300,1,1,1,203,0,0,0,0
40,1955,03,21,1955-03-21,11:44:00,3,MS,28,1,2,0,0,5.0,0.0,34.27,-88.72,0.0,0.0,0.3,33,1,1,1,81,0,0,0,0
41,1955,03,21,1955-03-21,12:30:00,3,AL,1,1,2,1,0,4.0,0.0,34.7,-88.1,34.73,-88.02,5.4,200,1,1,1,33,0,0,0,0
42,1955,03,21,1955-03-21,14:00:00,3,TN,47,8,1,0,0,3.0,0.0,35.17,-87.32,0.0,0.0,0.1,10,1,1,1,99,0,0,0,0
43,1955,03,21,1955-03-21,15:00:00,3,TX,48,6,2,0,0,3.0,0.0,31.17,-97.33,31.17,-97.28,3.6,17,1,1,1,27,0,0,0,0
44,1955,03,22,1955-03-22,03:30:00,3,IN,18,6,1,0,0,4.0,0.0,39.77,-86.17,39.8,-86.12,3.3,10,1,1,1,97,0,0,0,0
45,1955,03,22,1955-03-22,08:00:00,3,OH,39,5,1,3,0,0.0,0.0,40.95,-80.68,41.02,-80.62,5.1,400,1,1,1,99,0,0,0,0
46,1955,03,22,1955-03-22,14:30:00,3,PA,42,1,3,0,1,5.0,0.0,39.97,-75.62,40.05,-75.47,9.6,600,1,1,1,29,0,0,0,0
47,1955,03,22,1955-03-22,16:00:00,3,VT,50,1,2,0,0,4.0,0.0,43.0,-73.2,0.0,0.0,0.1,30,1,1,1,3,0,0,0,0
48,1955,03,25,1955-03-25,16:30:00,3,TN,47,9,1,0,0,4.0,0.0,35.95,-83.18,0.0,0.0,2.0,300,1,1,1,59,0,0,0,0
49,1955,03,25,1955-03-25,17:30:00,3,TN,47,10,2,0,0,3.0,0.0,36.02,-84.42,36.2,-84.23,16.3,1760,1,1,1,89,63,0,0,0
50,1955,03,31,1955-03-31,15:00:00,3,TX,48,7,2,0,0,5.0,0.0,33.63,-97.17,33.65,-97.17,1.1,10,1,1,1,97,0,0,0,0
51,1955,04,02,1955-04-02,15:30:00,3,GA,13,1,1,0,0,4.0,0.0,32.3,-83.08,32.28,-83.0,5.2,50,1,1,1,91,175,0,0,0
52,1955,04,02,1955-04-02,16:00:00,3,GA,13,2,1,0,0,4.0,0.0,31.73,-82.38,31.77,-82.3,5.7,100,1,1,1,1,0,0,0,0
53,1955,04,02,1955-04-02,16:00:00,3,GA,13,3,2,0,0,4.0,0.0,31.53,-83.52,31.55,-83.47,3.8,880,1,1,1,277,0,0,0,0
54,1955,04,02,1955-04-02,16:20:00,3,GA,13,4,1,1,0,5.0,0.0,31.63,-82.88,0.0,0.0,4.0,300,1,1,1,69,0,0,0,0
55,1955,04,02,1955-04-02,18:00:00,3,FL,12,2,1,0,0,2.0,0.0,26.05,-80.17,0.0,0.0,0.1,10,1,1,1,11,0,0,0,0
56,1955,04,02,1955-04-02,20:25:00,3,GA,13,5,1,0,0,4.0,0.0,32.03,-81.08,32.08,-81.03,5.1,200,1,1,1,51,0,0,0,0
57,1955,04,03,1955-04-03,19:00:00,3,IA,19,1,1,0,0,3.0,0.0,40.75,-95.03,0.0,0.0,0.5,440,1,1,1,145,0,0,0,0
58,1955,04,04,1955-04-04,15:05:00,3,LA,22,1,1,0,0,4.0,0.0,30.83,-93.03,0.0,0.0,1.0,500,1,1,1,11,0,0,0,0
59,1955,04,04,1955-04-04,16:10:00,3,IA,19,2,2,0,0,4.0,0.0,41.77,-93.98,41.93,-93.92,11.6,440,1,1,1,49,15,0,0,0
60,1955,04,04,1955-04-04,20:00:00,3,AR,5,4,2,0,0,4.0,0.0,36.33,-93.6,36.35,-93.42,10.2,50,1,1,1,15,0,0,0,0
61,1955,04,05,1955-04-05,06:20:00,3,TX,48,8,2,6,0,5.0,0.0,32.93,-99.8,33.03,-99.07,43.7,67,1,1,1,253,207,447,0,0
62,1955,04,05,1955-04-05,08:30:00,3,TX,48,9,2,0,0,3.0,0.0,33.82,-98.18,0.0,0.0,0.1,10,1,1,1,77,0,0,0,0
63,1955,04,06,1955-04-06,02:30:00,3,TX,48,11,3,27,1,6.0,0.0,33.63,-96.6,33.58,-96.08,30.2,67,1,1,1,181,147,0,0,0
64,1955,04,06,1955-04-06,02:45:00,3,TX,48,12,3,0,0,5.0,0.0,33.43,-98.4,33.47,-98.03,21.7,10,1,1,1,237,77,0,0,0
65,1955,04,06,1955-04-06,04:00:00,3,TX,48,13,1,2,0,3.0,0.0,33.17,-94.35,0.0,0.0,0.1,100,1,1,1,67,0,0,0,0
66,1955,04,06,1955-04-06,04:20:00,3,TX,48,14,3,0,0,5.0,0.0,33.57,-97.22,33.63,-96.97,15.1,10,1,1,1,97,0,0,0,0
67,1955,04,06,1955-04-06,04:30:00,3,TX,48,15,2,1,0,4.0,0.0,33.37,-97.18,33.45,-96.53,37.9,10,1,1,1,121,181,0,0,0
68,1955,04,06,1955-04-06,05:50:00,3,TX,48,10,2,0,0,0.0,0.0,33.57,-96.9,33.62,-96.83,5.2,10,1,1,1,181,0,0,0,0
69,1955,04,06,1955-04-06,07:00:00,3,TX,48,16,2,0,0,0.0,0.0,33.33,-95.37,33.35,-95.2,9.8,10,1,1,1,223,159,0,0,0
70,1955,04,06,1955-04-06,12:30:00,3,SC,45,2,1,0,0,3.0,0.0,34.7,-80.9,0.0,0.0,1.5,100,1,1,1,23,0,0,0,0
71,1955,04,06,1955-04-06,15:30:00,3,CA,6,2,0,0,0,0.0,0.0,34.0,-117.25,0.0,0.0,1.0,50,1,1,1,65,0,0,0,1
72,1955,04,10,1955-04-10,21:15:00,3,FL,12,3,2,0,0,4.0,0.0,30.5,-87.25,0.0,0.0,0.1,167,1,1,1,33,0,0,0,0
73,1955,04,11,1955-04-11,21:30:00,3,OK,40,3,0,0,0,3.0,0.0,34.37,-97.92,0.0,0.0,2.0,10,1,1,1,137,0,0,0,0
74,1955,04,11,1955-04-11,21:30:00,3,OK,40,4,0,0,0,3.0,0.0,34.0,-97.87,0.0,0.0,15.0,10,1,1,1,137,0,0,0,0
75,1955,04,12,1955-04-12,02:00:00,3,OK,40,5,0,0,0,0.0,0.0,36.35,-96.8,36.82,-96.22,45.6,10,1,1,1,117,113,0,0,0
76,1955,04,12,1955-04-12,02:30:00,3,OK,40,6,2,0,0,0.0,0.0,34.23,-95.62,34.3,-95.55,6.1,10,1,1,1,127,0,0,0,0
77,1955,04,12,1955-04-12,11:30:00,3,TX,48,17,3,7,0,5.0,0.0,32.05,-95.52,32.08,-95.43,5.6,300,1,1,1,1,0,0,0,0
78,1955,04,12,1955-04-12,11:55:00,3,TX,48,18,1,0,0,0.0,0.0,31.4,-95.48,31.4,-95.47,2.3,10,1,1,1,225,0,0,0,0
79,1955,04,12,1955-04-12,12:15:00,3,TX,48,19,2,0,0,3.0,0.0,31.77,-95.12,0.0,0.0,0.1,50,1,1,1,73,0,0,0,0
80,1955,04,12,1955-04-12,13:00:00,3,CO,8,1,1,0,0,4.0,0.0,40.15,-102.97,0.0,0.0,0.1,10,1,1,1,121,0,0,0,1
81,1955,04,12,1955-04-12,14:00:00,3,KS,20,1,1,0,0,3.0,0.0,38.08,-99.92,38.03,-99.98,4.9,10,1,1,1,83,0,0,0,0
82,1955,04,12,1955-04-12,18:00:00,3,MS,28,2,2,0,0,3.0,0.0,31.92,-89.98,32.07,-89.02,57.6,10,1,1,1,127,129,61,0,0
83,1955,04,12,1955-04-12,18:30:00,3,MS,28,3,2,0,0,5.0,0.0,31.53,-89.42,32.98,-88.83,112.8,10,1,1,1,85,29,127,121,0
84,1955,04,12,1955-04-12,19:30:00,3,TX,48,20,0,0,0,0.0,0.0,32.48,-100.1,0.0,0.0,0.1,10,1,1,1,441,0,0,0,1
83,1955,04,12,1955-04-12,20:00:00,3,MS,28,3,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,-9,99,159,0,0,0
85,1955,04,13,1955-04-13,18:50:00,3,GA,13,6,0,0,0,3.0,0.0,31.6,-81.88,0.0,0.0,0.1,200,1,1,1,305,0,0,0,0
86,1955,04,14,1955-04-14,04:15:00,3,GA,13,7,0,0,0,3.0,0.0,31.98,-83.47,0.0,0.0,0.5,100,1,1,1,315,0,0,0,0
87,1955,04,18,1955-04-18,01:00:00,3,WI,55,1,1,0,0,4.0,0.0,43.08,-91.13,43.25,-91.0,13.1,10,1,1,1,23,0,0,0,0
88,1955,04,18,1955-04-18,14:00:00,3,CA,6,3,0,0,0,0.0,0.0,37.3,-120.25,0.0,0.0,0.1,10,1,1,1,47,0,0,0,1
