om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
1,1967,01,24,1967-01-24,11:50:00,3,MO,29,1,2,0,0,5.0,0.0,39.6,-94.93,39.68,-94.88,6.1,100,1,1,1,21,0,0,0,0
2,1967,01,24,1967-01-24,12:35:00,3,MO,29,2,2,0,0,4.0,0.0,39.45,-94.23,0.0,0.0,2.5,50,1,1,1,49,0,0,0,0
3,1967,01,24,1967-01-24,12:40:00,3,MO,29,3,3,18,2,6.0,0.0,39.1,-94.25,39.25,-94.05,14.5,200,1,1,1,95,177,0,0,0
4,1967,01,24,1967-01-24,12:50:00,3,MO,29,4,0,0,0,4.0,0.0,39.55,-94.05,0.0,0.0,2.0,100,1,1,1,25,0,0,0,0
5,1967,01,24,1967-01-24,14:00:00,3,MO,29,5,0,0,0,1.0,0.0,39.88,-93.48,0.0,0.0,0.1,10,1,1,1,117,0,0,0,0
6,1967,01,24,1967-01-24,14:20:00,3,MO,29,6,1,0,0,4.0,0.0,40.27,-93.02,40.37,-92.95,7.3,50,1,1,1,211,0,0,0,0
7,1967,01,24,1967-01-24,14:45:00,3,MO,29,8,4,2,0,6.0,0.0,40.4,-92.53,40.68,-92.23,25.7,440,2,0,1,0,0,0,0,0
7,1967,01,24,1967-01-24,14:45:00,3,MO,29,8,4,2,0,6.0,0.0,40.4,-92.53,40.58,-92.27,18.9,440,2,1,2,197,199,0,0,0
8,1967,01,24,1967-01-24,14:45:00,3,MO,29,7,1,0,0,3.0,0.0,40.48,-92.77,0.0,0.0,2.5,50,1,1,1,171,0,0,0,0
7,1967,01,24,1967-01-24,15:00:00,3,IA,19,1,4,0,0,4.0,0.0,40.58,-92.27,40.68,-92.23,6.8,150,2,1,2,51,0,0,0,0
9,1967,01,24,1967-01-24,15:15:00,3,IA,19,2,3,0,0,5.0,0.0,40.87,-92.08,0.0,0.0,25.0,400,1,1,1,177,0,0,0,0
10,1967,01,24,1967-01-24,15:45:00,3,IA,19,3,1,0,0,3.0,0.0,41.3,-91.7,0.0,0.0,1.0,200,1,1,1,183,0,0,0,0
11,1967,01,24,1967-01-24,15:50:00,3,IA,19,4,0,0,0,5.0,0.0,41.15,-91.43,0.0,0.0,0.1,150,1,1,1,87,0,0,0,0
