om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
1,1962,01,05,1962-01-05,16:10:00,3,FL,12,1,2,30,1,6.0,0.0,30.77,-86.6,0.0,0.0,2.5,100,1,1,1,91,0,0,0,0
2,1962,01,05,1962-01-05,16:10:00,3,FL,12,2,2,0,0,0.0,0.0,30.77,-86.6,0.0,0.0,2.5,100,1,1,1,91,0,0,0,0
3,1962,01,05,1962-01-05,16:30:00,3,AL,1,1,2,0,0,3.0,0.0,31.3,-86.5,0.0,0.0,0.1,10,1,1,1,39,0,0,0,0
4,1962,01,05,1962-01-05,17:00:00,3,FL,12,3,2,0,0,3.0,0.0,30.37,-86.5,0.0,0.0,0.1,77,1,1,1,91,0,0,0,0
5,1962,01,05,1962-01-05,17:30:00,3,AL,1,2,2,0,0,4.0,0.0,31.75,-86.0,0.0,0.0,2.0,10,1,1,1,109,0,0,0,0
6,1962,01,05,1962-01-05,22:00:00,3,GA,13,1,1,0,0,3.0,0.0,31.43,-85.0,0.0,0.0,1.0,800,1,1,1,99,0,0,0,0
7,1962,01,05,1962-01-05,22:30:00,3,AL,1,3,1,0,0,4.0,0.0,31.3,-85.42,31.35,-85.37,5.1,10,1,1,1,69,67,0,0,0
8,1962,01,06,1962-01-06,05:00:00,3,GA,13,2,1,0,0,3.0,0.0,32.68,-83.4,0.0,0.0,2.0,300,1,1,1,289,0,0,0,0
9,1962,01,06,1962-01-06,06:20:00,3,GA,13,3,2,0,0,4.0,0.0,31.6,-82.4,31.65,-82.33,5.4,300,1,1,1,5,1,0,0,0
10,1962,01,06,1962-01-06,07:15:00,3,SC,45,1,1,1,0,3.0,0.0,33.85,-82.25,0.0,0.0,1.0,100,1,1,1,65,0,0,0,0
11,1962,01,06,1962-01-06,14:30:00,3,VA,51,1,2,0,0,3.0,0.0,36.58,-78.73,0.0,0.0,0.1,10,1,1,1,83,0,0,0,0
12,1962,01,27,1962-01-27,01:30:00,3,PA,42,1,1,0,0,5.0,0.0,41.07,-76.22,0.0,0.0,0.1,200,1,1,1,79,0,0,0,0
13,1962,02,08,1962-02-08,22:00:00,3,MO,29,1,2,0,0,4.0,0.0,36.72,-89.32,0.0,0.0,0.1,30,1,1,1,133,0,0,0,0
14,1962,02,08,1962-02-08,23:15:00,3,MO,29,2,1,0,0,3.0,0.0,36.27,-89.82,0.0,0.0,0.2,17,1,1,1,155,0,0,0,0
15,1962,02,09,1962-02-09,17:00:00,3,SC,45,2,1,0,0,4.0,0.0,34.13,-80.2,0.0,0.0,1.5,80,1,1,1,61,0,0,0,0
16,1962,02,14,1962-02-14,22:00:00,3,AR,5,1,1,0,0,4.0,0.0,35.2,-92.2,0.0,0.0,0.1,10,1,1,1,45,0,0,0,0
17,1962,02,15,1962-02-15,01:30:00,3,TX,48,1,1,0,0,4.0,0.0,30.22,-96.95,0.0,0.0,2.0,10,1,1,1,287,0,0,0,0
18,1962,02,15,1962-02-15,13:50:00,3,LA,22,1,0,0,0,3.0,0.0,32.5,-92.7,0.0,0.0,0.5,33,1,1,1,61,0,0,0,0
19,1962,02,15,1962-02-15,16:00:00,3,MS,28,1,1,0,0,3.0,0.0,33.78,-88.95,0.0,0.0,0.1,10,1,1,1,43,0,0,0,0
20,1962,02,15,1962-02-15,16:00:00,3,LA,22,2,0,0,0,1.0,0.0,32.5,-92.77,0.0,0.0,0.2,33,1,1,1,61,0,0,0,0
21,1962,02,19,1962-02-19,05:30:00,3,CA,6,1,0,0,0,2.0,0.0,33.7,-117.8,0.0,0.0,2.0,10,1,1,1,59,0,0,0,0
22,1962,02,19,1962-02-19,18:00:00,3,CA,6,2,1,0,0,3.0,0.0,36.23,-118.52,0.0,0.0,0.6,250,1,1,1,37,0,0,0,0
23,1962,02,22,1962-02-22,00:01:00,3,GA,13,4,2,0,0,4.0,0.0,32.6,-84.12,0.0,0.0,0.8,33,1,1,1,269,0,0,0,0
24,1962,02,22,1962-02-22,16:30:00,3,MS,28,2,1,0,0,4.0,0.0,33.77,-88.95,0.0,0.0,0.1,10,1,1,1,43,0,0,0,0
25,1962,02,22,1962-02-22,16:30:00,3,MS,28,3,2,0,0,4.0,0.0,33.78,-88.92,0.0,0.0,0.1,10,1,1,1,43,0,0,0,0
26,1962,02,22,1962-02-22,16:45:00,3,SC,45,3,2,1,0,4.0,0.0,34.18,-79.4,34.2,-79.25,8.7,100,1,1,1,67,0,0,0,0
27,1962,02,22,1962-02-22,17:30:00,3,SC,45,4,1,0,0,3.0,0.0,33.67,-79.65,0.0,0.0,1.5,60,1,1,1,89,0,0,0,0
28,1962,02,23,1962-02-23,05:15:00,3,TX,48,2,2,0,0,4.0,0.0,30.25,-96.78,0.0,0.0,2.0,50,1,1,1,287,0,0,0,0
29,1962,02,23,1962-02-23,06:30:00,3,TX,48,3,1,0,0,3.0,0.0,32.48,-94.07,0.0,0.0,1.0,33,1,1,1,203,0,0,0,0
30,1962,02,23,1962-02-23,08:00:00,3,TX,48,4,1,0,0,3.0,0.0,31.3,-94.6,0.0,0.0,1.0,50,1,1,1,5,0,0,0,0
31,1962,02,23,1962-02-23,10:15:00,3,LA,22,3,1,1,0,2.0,0.0,32.25,-92.7,0.0,0.0,2.0,50,1,1,1,49,0,0,0,0
32,1962,02,23,1962-02-23,11:25:00,3,LA,22,4,0,0,0,2.0,0.0,32.5,-92.38,0.0,0.0,0.5,33,1,1,1,73,0,0,0,0
33,1962,02,23,1962-02-23,13:08:00,3,MS,28,4,1,2,0,3.0,0.0,32.35,-90.88,0.0,0.0,0.1,10,1,1,1,149,0,0,0,0
34,1962,02,23,1962-02-23,15:00:00,3,TN,47,1,1,0,0,5.0,0.0,35.38,-88.63,35.48,-88.42,14.0,300,1,1,1,23,77,0,0,0
35,1962,02,23,1962-02-23,15:17:00,3,MS,28,5,2,0,0,4.0,0.0,34.88,-88.9,34.95,-88.85,5.6,100,1,1,1,139,0,0,0,0
36,1962,02,23,1962-02-23,16:00:00,3,MS,28,6,1,4,0,3.0,0.0,34.32,-89.95,0.0,0.0,0.1,10,1,1,1,107,0,0,0,0
