om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
1,1975,01,07,1975-01-07,15:32:00,3,LA,22,1,1,1,0,4.0,0.0,29.75,-92.4,0.0,0.0,0.5,10,1,1,1,113,0,0,0,0
2,1975,01,07,1975-01-07,19:30:00,3,LA,22,2,0,0,0,3.0,0.0,30.3,-91.98,0.0,0.0,0.1,10,1,1,1,55,0,0,0,0
3,1975,01,08,1975-01-08,12:44:00,3,FL,12,1,0,0,0,0.0,0.0,30.07,-84.57,0.0,0.0,0.1,10,1,1,1,129,0,0,0,0
4,1975,01,09,1975-01-09,22:30:00,3,OK,40,1,1,0,0,5.0,0.0,34.75,-96.0,34.92,-95.92,12.4,300,1,1,1,121,0,0,0,0
5,1975,01,09,1975-01-09,22:40:00,3,LA,22,3,2,6,0,4.0,0.0,32.45,-91.3,32.68,-91.17,18.0,50,1,1,1,65,35,0,0,0
6,1975,01,10,1975-01-10,00:55:00,3,AR,5,1,1,5,0,4.0,0.0,36.18,-94.13,0.0,0.0,0.5,100,1,1,1,143,0,0,0,0
7,1975,01,10,1975-01-10,01:30:00,3,TX,48,1,2,0,0,4.0,0.0,33.03,-94.73,0.0,0.0,0.3,213,1,1,1,343,0,0,0,0
8,1975,01,10,1975-01-10,02:00:00,3,TX,48,2,2,0,0,5.0,0.0,33.47,-94.27,0.0,0.0,4.0,107,1,1,1,37,0,0,0,0
9,1975,01,10,1975-01-10,03:55:00,3,TX,48,3,1,0,0,4.0,0.0,29.37,-94.97,0.0,0.0,0.1,10,1,1,1,167,0,0,0,0
11,1975,01,10,1975-01-10,04:30:00,3,TX,48,5,1,0,0,4.0,0.0,30.37,-94.32,0.0,0.0,0.1,10,1,1,1,199,0,0,0,0
10,1975,01,10,1975-01-10,04:30:00,3,TX,48,4,1,0,0,4.0,0.0,30.92,-94.0,0.0,0.0,0.1,10,1,1,1,241,0,0,0,0
12,1975,01,10,1975-01-10,05:25:00,3,LA,22,4,1,0,0,4.0,0.0,30.18,-93.58,0.0,0.0,0.5,27,1,1,1,19,0,0,0,0
13,1975,01,10,1975-01-10,06:10:00,3,AR,5,2,1,0,0,4.0,0.0,34.38,-91.55,0.0,0.0,0.5,50,1,1,1,1,0,0,0,0
14,1975,01,10,1975-01-10,06:30:00,3,LA,22,5,1,0,0,3.0,0.0,31.48,-92.3,0.0,0.0,0.1,10,1,1,1,43,0,0,0,0
15,1975,01,10,1975-01-10,07:15:00,3,LA,22,6,1,0,0,0.0,0.0,30.22,-92.65,30.27,-92.57,7.6,33,1,1,1,53,1,0,0,0
16,1975,01,10,1975-01-10,07:15:00,3,LA,22,7,1,1,0,4.0,0.0,32.87,-91.38,0.0,0.0,0.5,27,1,1,1,123,0,0,0,0
17,1975,01,10,1975-01-10,07:35:00,3,LA,22,8,1,8,1,4.0,0.0,30.17,-92.58,30.22,-92.37,13.5,37,1,1,1,1,0,0,0,0
18,1975,01,10,1975-01-10,08:00:00,3,LA,22,9,1,5,0,4.0,0.0,30.52,-92.18,0.0,0.0,1.0,33,1,1,1,97,0,0,0,0
19,1975,01,10,1975-01-10,08:14:00,3,MS,28,1,4,210,9,7.0,0.0,31.18,-90.53,31.87,-89.97,56.5,200,1,1,1,113,85,77,127,0
20,1975,01,10,1975-01-10,08:48:00,3,MS,28,2,1,0,0,5.0,0.0,31.48,-91.4,31.63,-91.3,11.9,150,1,1,1,1,0,0,0,0
21,1975,01,10,1975-01-10,09:55:00,3,MS,28,3,2,1,0,5.0,0.0,32.32,-90.35,32.52,-90.27,15.0,50,1,1,1,49,89,0,0,0
22,1975,01,10,1975-01-10,10:10:00,3,MS,28,4,2,0,0,4.0,0.0,32.22,-90.03,32.25,-89.97,4.5,77,1,1,1,121,0,0,0,0
23,1975,01,10,1975-01-10,11:15:00,3,IL,17,1,2,0,0,5.0,0.0,37.82,-88.53,0.0,0.0,2.0,587,1,1,1,165,0,0,0,0
24,1975,01,10,1975-01-10,11:32:00,3,IL,17,2,1,0,0,3.0,0.0,37.7,-88.13,0.0,0.0,0.1,10,1,1,1,59,0,0,0,0
25,1975,01,10,1975-01-10,12:25:00,3,IN,18,1,1,0,0,4.0,0.0,38.0,-87.57,0.0,0.0,0.5,50,1,1,1,163,0,0,0,0
26,1975,01,10,1975-01-10,14:00:00,3,MS,28,5,1,0,0,2.0,0.0,30.18,-88.95,0.0,0.0,0.5,27,1,1,1,47,0,0,0,0
27,1975,01,10,1975-01-10,14:25:00,3,MS,28,6,1,0,0,2.0,0.0,30.37,-88.58,0.0,0.0,2.5,33,1,1,1,59,0,0,0,0
28,1975,01,10,1975-01-10,14:30:00,3,AL,1,1,1,0,0,4.0,0.0,33.28,-87.28,0.0,0.0,0.1,10,1,1,1,125,0,0,0,0
29,1975,01,10,1975-01-10,14:30:00,3,MS,28,7,2,0,0,5.0,0.0,30.5,-88.5,0.0,0.0,0.1,70,1,1,1,59,0,0,0,0
30,1975,01,10,1975-01-10,14:45:00,3,AL,1,2,1,0,0,4.0,0.0,31.1,-88.23,0.0,0.0,0.1,10,1,1,1,97,0,0,0,0
31,1975,01,10,1975-01-10,14:45:00,3,AL,1,3,1,0,0,3.0,0.0,32.47,-87.6,0.0,0.0,0.1,10,1,1,1,91,0,0,0,0
32,1975,01,10,1975-01-10,14:45:00,3,AL,1,4,2,4,0,5.0,0.0,33.63,-87.05,0.0,0.0,2.0,100,1,1,1,73,0,0,0,0
33,1975,01,10,1975-01-10,15:45:00,3,AL,1,5,1,0,0,5.0,0.0,33.42,-86.82,0.0,0.0,0.1,10,1,1,1,73,0,0,0,0
34,1975,01,10,1975-01-10,16:00:00,3,AL,1,6,1,14,0,5.0,0.0,33.28,-86.82,0.0,0.0,0.2,50,1,1,1,117,0,0,0,0
35,1975,01,10,1975-01-10,16:14:00,3,AL,1,7,3,60,1,6.0,0.0,33.55,-86.32,33.77,-86.12,18.8,150,1,1,1,115,0,0,0,0
36,1975,01,10,1975-01-10,16:15:00,3,AL,1,8,1,0,0,3.0,0.0,30.63,-87.78,0.0,0.0,0.1,10,1,1,1,3,0,0,0,0
37,1975,01,10,1975-01-10,16:45:00,3,AL,1,9,1,0,0,4.0,0.0,32.47,-86.48,0.0,0.0,0.1,10,1,1,1,1,0,0,0,0
38,1975,01,10,1975-01-10,16:50:00,3,AL,1,10,2,0,0,6.0,0.0,32.3,-86.4,0.0,0.0,2.0,100,1,1,1,101,0,0,0,0
39,1975,01,10,1975-01-10,17:55:00,3,FL,12,2,1,7,0,5.0,0.0,30.4,-86.75,0.0,0.0,1.0,50,1,1,1,91,0,0,0,0
40,1975,01,10,1975-01-10,18:00:00,3,AL,1,11,2,9,0,5.0,0.0,32.3,-85.68,0.0,0.0,1.0,100,1,1,1,87,0,0,0,0
41,1975,01,10,1975-01-10,18:30:00,3,AL,1,12,2,0,0,6.0,0.0,32.6,-85.23,0.0,0.0,0.1,10,1,1,1,81,0,0,0,0
42,1975,01,10,1975-01-10,18:30:00,3,AL,1,13,1,1,0,5.0,0.0,33.53,-85.3,0.0,0.0,0.1,50,1,1,1,29,0,0,0,0
43,1975,01,10,1975-01-10,19:30:00,3,FL,12,3,0,0,0,4.0,0.0,30.75,-85.93,0.0,0.0,0.1,10,1,1,1,59,0,0,0,0
44,1975,01,10,1975-01-10,20:30:00,3,NC,37,1,2,0,0,4.0,0.0,35.15,-82.83,35.2,-82.8,4.3,20,1,1,1,175,0,0,0,0
45,1975,01,12,1975-01-12,10:15:00,3,FL,12,4,1,12,0,4.0,0.0,30.5,-85.67,31.0,-85.0,53.0,50,1,1,1,133,63,0,0,0
46,1975,01,12,1975-01-12,10:20:00,3,FL,12,5,2,33,1,6.0,0.0,30.17,-85.7,31.68,-83.5,168.5,100,2,0,1,0,0,0,0,0
