om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
1,1977,01,03,1977-01-03,00:15:00,3,CA,6,1,1,0,0,4.0,0.0,34.43,-119.82,0.0,0.0,0.1,10,1,1,1,83,0,0,0,1
2,1977,01,06,1977-01-06,20:30:00,3,FL,12,1,0,0,0,2.0,0.0,30.53,-86.5,0.0,0.0,0.1,10,1,1,1,91,0,0,0,0
3,1977,01,09,1977-01-09,08:20:00,3,MS,28,1,1,0,0,3.0,0.0,32.65,-90.03,0.0,0.0,0.1,10,1,1,1,89,0,0,0,0
4,1977,01,09,1977-01-09,11:00:00,3,MS,28,2,2,0,0,4.0,0.0,31.92,-89.67,0.0,0.0,1.0,200,1,1,1,129,0,0,0,0
5,1977,01,10,1977-01-10,05:50:00,3,FL,12,2,1,0,0,5.0,0.0,28.3,-81.4,0.0,0.0,0.2,23,1,1,1,97,0,0,0,0
6,1977,02,23,1977-02-23,04:20:00,3,OK,40,1,2,4,0,5.0,0.0,33.88,-94.65,33.9,-94.6,3.3,77,1,1,1,89,0,0,0,0
7,1977,02,23,1977-02-23,04:25:00,3,AR,5,1,1,1,0,5.0,0.0,35.12,-93.93,0.0,0.0,2.0,150,1,1,1,83,0,0,0,0
8,1977,02,23,1977-02-23,08:26:00,3,MO,29,1,1,0,0,5.0,0.0,38.6,-90.43,0.0,0.0,2.0,100,1,1,1,189,0,0,0,0
9,1977,02,23,1977-02-23,14:10:00,3,IA,19,1,1,1,0,5.0,0.0,43.15,-93.2,0.0,0.0,0.1,13,1,1,1,33,0,0,0,0
10,1977,02,23,1977-02-23,14:15:00,3,MS,28,3,1,0,0,4.0,0.0,32.18,-90.27,0.0,0.0,0.5,200,1,1,1,49,0,0,0,0
11,1977,02,23,1977-02-23,15:15:00,3,MS,28,4,3,0,0,5.0,0.0,33.13,-89.45,33.25,-89.33,10.5,100,1,1,1,7,0,0,0,0
12,1977,02,23,1977-02-23,15:20:00,3,MS,28,5,3,1,0,5.0,0.0,32.85,-89.48,32.93,-89.32,11.4,177,1,1,1,79,0,0,0,0
13,1977,02,23,1977-02-23,16:00:00,3,MS,28,6,4,5,2,5.0,0.0,33.02,-89.23,33.18,-89.07,15.0,350,1,1,1,159,0,0,0,0
14,1977,02,23,1977-02-23,16:10:00,3,MS,28,7,2,0,0,4.0,0.0,31.15,-88.7,31.17,-88.47,13.9,50,1,1,1,41,0,0,0,0
15,1977,02,23,1977-02-23,19:00:00,3,AL,1,1,2,1,0,3.0,0.0,32.83,-87.88,0.0,0.0,0.2,30,1,1,1,63,0,0,0,0
16,1977,02,23,1977-02-23,23:45:00,3,FL,12,3,1,0,0,4.0,0.0,30.38,-86.52,0.0,0.0,0.3,10,1,1,1,91,0,0,0,0
17,1977,02,24,1977-02-24,00:30:00,3,GA,13,1,1,0,0,5.0,0.0,32.32,-84.52,0.0,0.0,0.5,50,1,1,1,197,0,0,0,1
18,1977,02,24,1977-02-24,05:00:00,3,SC,45,1,1,0,0,4.0,0.0,33.55,-81.73,0.0,0.0,0.1,67,1,1,1,27,0,0,0,0
19,1977,02,24,1977-02-24,05:20:00,3,SC,45,2,1,0,0,3.0,0.0,33.65,-80.42,0.0,0.0,0.1,60,1,1,1,3,0,0,0,0
20,1977,02,24,1977-02-24,08:04:00,3,FL,12,4,0,0,0,4.0,0.0,28.27,-81.4,0.0,0.0,0.3,10,1,1,1,97,0,0,0,0
21,1977,02,24,1977-02-24,08:15:00,3,FL,12,5,0,0,0,3.0,0.0,28.57,-81.28,0.0,0.0,0.1,10,1,1,1,95,0,0,0,0
22,1977,02,27,1977-02-27,18:15:00,3,NC,37,1,1,0,0,4.0,0.0,35.2,-77.3,35.27,-77.12,11.4,17,1,1,1,49,0,0,0,0
23,1977,03,02,1977-03-02,13:24:00,3,OK,40,2,1,0,0,1.0,0.0,35.98,-99.82,0.0,0.0,1.0,100,1,1,1,45,0,0,0,0
24,1977,03,02,1977-03-02,14:00:00,3,OK,40,3,2,0,0,5.0,0.0,35.53,-99.2,35.58,-99.08,7.4,440,1,1,1,39,0,0,0,0
25,1977,03,02,1977-03-02,14:45:00,3,OK,40,4,1,0,0,3.0,0.0,35.9,-98.78,35.92,-98.72,3.8,300,1,1,1,43,0,0,0,0
26,1977,03,02,1977-03-02,16:30:00,3,OK,40,5,2,0,0,4.0,0.0,34.95,-97.72,35.0,-97.67,4.9,100,1,1,1,51,0,0,0,0
27,1977,03,02,1977-03-02,16:30:00,3,OK,40,6,1,0,0,4.0,0.0,35.12,-97.67,35.15,-97.63,5.7,100,1,1,1,51,87,0,0,0
28,1977,03,02,1977-03-02,17:05:00,3,OK,40,7,3,1,0,5.0,0.0,34.48,-97.77,34.5,-97.7,4.3,200,1,1,1,137,0,0,0,0
29,1977,03,02,1977-03-02,18:30:00,3,OK,40,8,2,0,0,4.0,0.0,34.1,-97.55,34.18,-97.43,8.8,100,1,1,1,19,0,0,0,0
30,1977,03,02,1977-03-02,18:40:00,3,OK,40,9,2,5,0,4.0,0.0,34.32,-97.22,0.0,0.0,1.0,33,1,1,1,19,0,0,0,0
31,1977,03,03,1977-03-03,04:30:00,3,TX,48,1,1,0,0,4.0,0.0,32.2,-95.9,0.0,0.0,0.1,10,1,1,1,213,0,0,0,0
32,1977,03,03,1977-03-03,12:30:00,3,LA,22,1,0,0,0,4.0,0.0,32.43,-92.73,0.0,0.0,0.1,10,1,1,1,61,0,0,0,0
33,1977,03,03,1977-03-03,12:30:00,3,LA,22,2,1,0,0,5.0,0.0,32.53,-92.63,32.7,-92.08,34.1,100,1,1,1,61,111,0,0,0
34,1977,03,03,1977-03-03,13:00:00,3,LA,22,3,1,0,0,4.0,0.0,32.77,-92.4,32.95,-91.9,31.6,10,1,1,1,111,67,0,0,0
35,1977,03,03,1977-03-03,14:00:00,3,LA,22,4,1,0,0,5.0,0.0,32.95,-91.9,32.95,-91.25,38.0,10,1,1,1,67,123,35,0,0
36,1977,03,03,1977-03-03,14:11:00,3,LA,22,5,1,0,0,4.0,0.0,32.13,-92.05,32.2,-91.97,6.8,77,1,1,1,21,0,0,0,0
37,1977,03,03,1977-03-03,18:00:00,3,MS,28,8,2,0,0,4.0,0.0,32.75,-89.77,32.78,-89.72,4.1,440,1,1,1,89,0,0,0,0
38,1977,03,04,1977-03-04,02:00:00,3,MS,28,9,1,0,0,4.0,0.0,31.3,-88.75,31.43,-88.48,18.2,440,1,1,1,41,0,0,0,0
39,1977,03,04,1977-03-04,10:00:00,3,IN,18,1,0,0,0,2.0,0.0,40.12,-86.18,0.0,0.0,0.1,10,1,1,1,57,0,0,0,0
40,1977,03,04,1977-03-04,11:20:00,3,SC,45,3,1,0,0,4.0,0.0,34.72,-80.58,0.0,0.0,1.1,20,1,1,1,57,0,0,0,0
41,1977,03,04,1977-03-04,12:30:00,3,NC,37,2,1,0,0,4.0,0.0,35.37,-79.65,0.0,0.0,2.0,20,1,1,1,125,0,0,0,0
42,1977,03,04,1977-03-04,12:45:00,3,NC,37,3,0,0,0,4.0,0.0,34.68,-79.2,0.0,0.0,0.5,20,1,1,1,155,0,0,0,0
43,1977,03,04,1977-03-04,13:15:00,3,NC,37,4,1,4,0,5.0,0.0,34.48,-79.17,34.65,-79.17,11.5,30,1,1,1,155,0,0,0,0
44,1977,03,04,1977-03-04,14:15:00,3,NC,37,5,1,0,0,4.0,0.0,35.47,-78.17,0.0,0.0,0.5,20,1,1,1,101,0,0,0,0
45,1977,03,04,1977-03-04,14:35:00,3,NC,37,6,1,2,0,4.0,0.0,35.48,-78.08,0.0,0.0,0.2,10,1,1,1,191,0,0,0,0
46,1977,03,04,1977-03-04,14:45:00,3,NC,37,7,1,0,0,4.0,0.0,35.18,-78.07,0.0,0.0,0.2,10,1,1,1,191,0,0,0,0
47,1977,03,04,1977-03-04,15:45:00,3,NC,37,8,3,0,0,5.0,0.0,35.48,-77.55,35.53,-77.48,4.9,60,1,1,1,79,0,0,0,0
48,1977,03,10,1977-03-10,20:50:00,3,OK,40,10,1,0,0,5.0,0.0,35.13,-97.42,35.17,-97.35,4.7,77,1,1,1,27,0,0,0,0
49,1977,03,11,1977-03-11,02:30:00,3,KS,20,1,1,0,0,5.0,0.0,37.92,-95.4,0.0,0.0,0.5,77,1,1,1,1,0,0,0,0
50,1977,03,11,1977-03-11,11:35:00,3,TX,48,2,2,0,0,3.0,0.0,32.4,-94.22,32.45,-93.97,14.9,73,1,1,1,203,0,0,0,0
51,1977,03,11,1977-03-11,13:09:00,3,AR,5,2,0,0,0,4.0,0.0,34.5,-93.25,0.0,0.0,2.0,27,1,1,1,51,0,0,0,0
52,1977,03,11,1977-03-11,13:40:00,3,MO,29,2,1,2,0,4.0,0.0,36.58,-92.62,36.67,-92.53,7.3,40,1,1,1,153,0,0,0,0
53,1977,03,11,1977-03-11,14:30:00,3,AR,5,3,0,0,0,0.0,0.0,35.15,-92.57,0.0,0.0,0.5,20,1,1,1,29,0,0,0,0
54,1977,03,11,1977-03-11,16:25:00,3,LA,22,6,1,0,0,3.0,0.0,32.45,-91.97,0.0,0.0,0.1,10,1,1,1,73,0,0,0,0
55,1977,03,11,1977-03-11,16:30:00,3,AR,5,4,0,0,0,0.0,0.0,34.72,-91.5,0.0,0.0,0.5,20,1,1,1,117,0,0,0,0
56,1977,03,11,1977-03-11,16:55:00,3,LA,22,7,1,0,0,5.0,0.0,32.68,-91.87,32.75,-91.8,6.2,150,1,1,1,67,0,0,0,0
57,1977,03,13,1977-03-13,18:20:00,3,DE,10,1,1,0,0,4.0,0.0,39.12,-75.68,0.0,0.0,1.0,30,1,1,1,1,0,0,0,0
58,1977,03,16,1977-03-16,20:30:00,3,CA,6,2,1,4,0,6.0,0.0,33.85,-118.0,33.88,-117.82,10.9,10,1,1,1,59,0,0,0,0
