om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
1,1987,01,04,1987-01-04,09:10:00,3,FL,12,1,0,0,0,5.0,0.0,26.33,-81.77,0.0,0.0,2.5,30,1,1,1,71,0,0,0,0
2,1987,01,04,1987-01-04,10:49:00,3,FL,12,2,0,1,0,3.0,0.0,26.68,-80.8,0.0,0.0,1.0,30,1,1,1,99,0,0,0,0
3,1987,01,04,1987-01-04,12:45:00,3,FL,12,3,0,0,0,5.0,0.0,26.23,-80.12,0.0,0.0,1.0,30,1,1,1,11,0,0,0,0
4,1987,01,22,1987-01-22,04:35:00,3,FL,12,4,0,0,0,4.0,0.0,28.25,-82.72,0.0,0.0,1.0,30,1,1,1,101,0,0,0,0
5,1987,01,22,1987-01-22,05:10:00,3,FL,12,5,0,0,0,4.0,0.0,28.37,-82.7,0.0,0.0,1.0,30,1,1,1,101,0,0,0,0
6,1987,01,24,1987-01-24,20:19:00,3,TX,48,1,0,0,0,0.0,0.0,31.6,-94.9,0.0,0.0,0.2,10,1,1,1,347,0,0,0,0
7,1987,02,14,1987-02-14,18:00:00,3,OK,40,1,2,1,0,6.0,0.0,34.73,-98.5,34.77,-98.45,3.5,200,1,1,1,31,0,0,0,0
8,1987,02,14,1987-02-14,18:05:00,3,OK,40,2,1,0,0,0.0,0.0,34.87,-98.4,34.92,-98.42,3.8,100,1,1,1,15,0,0,0,0
9,1987,02,14,1987-02-14,22:25:00,3,OK,40,3,1,0,0,5.0,0.0,34.05,-96.35,0.0,0.0,0.2,50,1,1,1,13,0,0,0,0
10,1987,02,15,1987-02-15,11:20:00,3,LA,22,1,2,4,0,5.0,0.0,29.97,-91.2,30.0,-91.17,3.0,173,1,1,1,7,0,0,0,0
11,1987,02,15,1987-02-15,11:30:00,3,LA,22,2,1,0,0,4.0,0.0,30.03,-90.62,0.0,0.0,0.3,50,1,1,1,95,0,0,0,0
12,1987,02,15,1987-02-15,12:00:00,3,LA,22,3,2,3,0,5.0,0.0,30.87,-90.5,30.9,-90.47,3.5,150,1,1,1,105,0,0,0,0
13,1987,02,15,1987-02-15,12:10:00,3,MS,28,1,0,0,0,4.0,0.0,31.25,-90.47,0.0,0.0,0.6,30,1,1,1,113,0,0,0,0
14,1987,02,15,1987-02-15,12:30:00,3,MS,28,2,2,2,0,5.0,0.0,31.07,-90.15,31.07,-90.1,3.0,73,1,1,1,147,0,0,0,0
15,1987,02,15,1987-02-15,12:50:00,3,MS,28,3,1,0,0,4.0,0.0,31.2,-90.0,0.0,0.0,0.8,50,1,1,1,91,0,0,0,0
16,1987,02,15,1987-02-15,13:15:00,3,MS,28,4,1,0,0,4.0,0.0,32.17,-89.85,32.27,-89.75,12.0,80,1,1,1,121,0,0,0,0
17,1987,02,15,1987-02-15,13:25:00,3,MS,28,5,2,2,0,5.0,0.0,30.48,-89.7,30.52,-89.68,3.0,100,1,1,1,109,0,0,0,0
18,1987,02,15,1987-02-15,13:30:00,3,LA,22,4,1,0,0,4.0,0.0,29.87,-89.85,0.0,0.0,1.0,30,1,1,1,87,0,0,0,0
19,1987,02,15,1987-02-15,14:30:00,3,MS,28,6,1,0,0,4.0,0.0,30.78,-89.13,0.0,0.0,1.2,40,1,1,1,131,0,0,0,0
20,1987,02,15,1987-02-15,16:33:00,3,MS,28,7,1,0,0,5.0,0.0,33.52,-88.43,33.63,-88.37,10.0,100,1,1,1,87,0,0,0,0
21,1987,02,18,1987-02-18,04:50:00,3,TX,48,2,1,0,0,5.0,0.0,29.92,-94.25,0.0,0.0,0.2,23,1,1,1,245,0,0,0,0
22,1987,02,28,1987-02-28,04:05:00,3,LA,22,5,1,0,0,5.0,0.0,32.28,-92.63,32.28,-92.53,5.0,100,1,1,1,49,0,0,0,0
23,1987,02,28,1987-02-28,05:15:00,3,LA,22,6,2,2,0,5.0,0.0,32.85,-91.38,32.85,-91.48,7.0,150,1,1,1,123,0,0,0,0
24,1987,02,28,1987-02-28,08:45:00,3,MS,28,8,0,0,0,3.0,0.0,32.1,-90.05,0.0,0.0,0.5,40,1,1,1,121,0,0,0,0
25,1987,02,28,1987-02-28,09:05:00,3,MS,28,9,4,350,6,7.0,0.0,31.5,-89.25,31.85,-88.85,35.0,1230,1,1,1,67,153,23,0,0
26,1987,03,07,1987-03-07,07:00:00,3,FL,12,6,0,0,0,3.0,0.0,27.27,-80.32,0.0,0.0,1.0,30,1,1,1,111,0,0,0,0
27,1987,03,07,1987-03-07,14:00:00,3,FL,12,7,0,0,0,3.0,0.0,29.5,-81.15,0.0,0.0,1.0,30,1,1,1,35,0,0,0,0
28,1987,03,14,1987-03-14,16:55:00,3,NE,31,1,1,0,0,3.0,0.0,40.15,-98.53,0.0,0.0,1.0,40,1,1,1,181,0,0,0,0
29,1987,03,14,1987-03-14,17:15:00,3,NE,31,2,1,0,0,4.0,0.0,40.2,-98.07,0.0,0.0,0.2,20,1,1,1,129,0,0,0,0
30,1987,03,14,1987-03-14,20:05:00,3,CA,6,1,0,0,0,5.0,0.0,39.92,-122.4,0.0,0.0,0.2,70,1,1,1,103,0,0,0,0
31,1987,03,16,1987-03-16,13:40:00,3,TX,48,3,0,0,0,0.0,0.0,32.77,-96.78,0.0,0.0,0.2,10,1,1,1,113,0,0,0,0
32,1987,03,16,1987-03-16,21:15:00,3,TX,48,4,1,0,0,5.0,0.0,32.5,-95.55,32.65,-95.48,6.0,100,1,1,1,423,499,0,0,0
33,1987,03,17,1987-03-17,01:45:00,3,TX,48,5,0,0,0,5.0,0.0,33.52,-95.32,0.0,0.0,0.2,10,1,1,1,277,0,0,0,0
34,1987,03,17,1987-03-17,05:20:00,3,TX,48,6,1,3,1,4.0,0.0,31.63,-95.37,0.0,0.0,0.2,10,1,1,1,1,0,0,0,0
35,1987,03,17,1987-03-17,07:00:00,3,TX,48,7,0,0,0,0.0,0.0,31.53,-94.12,31.62,-94.0,8.0,50,1,1,1,405,0,0,0,0
