om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
1,1980,01,11,1980-01-11,12:45:00,3,OH,39,1,0,0,0,5.0,0.0,41.57,-83.63,0.0,0.0,0.3,40,1,1,1,173,0,0,0,0
2,1980,01,14,1980-01-14,15:30:00,3,CA,6,1,1,1,0,5.0,0.0,37.48,-121.88,0.0,0.0,0.3,67,1,1,1,99,0,0,0,0
3,1980,01,23,1980-01-23,01:30:00,3,FL,12,1,0,0,0,3.0,0.0,29.83,-85.3,0.0,0.0,0.3,17,1,1,1,45,0,0,0,0
4,1980,01,23,1980-01-23,04:30:00,3,FL,12,2,0,0,0,4.0,0.0,30.03,-82.67,0.0,0.0,0.1,10,1,1,1,23,0,0,0,0
5,1980,01,28,1980-01-28,15:15:00,3,CA,6,2,0,0,0,3.0,0.0,33.88,-118.3,0.0,0.0,0.4,10,1,1,1,37,0,0,0,0
6,1980,02,07,1980-02-07,18:00:00,3,TX,48,1,1,0,0,5.0,0.0,34.4,-102.85,34.5,-102.32,31.1,10,1,1,1,369,69,0,0,0
7,1980,02,15,1980-02-15,17:00:00,3,CA,6,3,0,0,0,4.0,0.0,36.55,-119.38,0.0,0.0,1.0,10,1,1,1,107,0,0,0,0
8,1980,02,17,1980-02-17,05:00:00,3,FL,12,3,0,0,0,4.0,0.0,26.08,-81.75,0.0,0.0,1.0,10,1,1,1,21,0,0,0,0
9,1980,02,19,1980-02-19,16:05:00,3,CA,6,4,1,2,0,6.0,0.0,36.77,-119.72,0.0,0.0,1.7,10,1,1,1,19,0,0,0,0
10,1980,02,20,1980-02-20,20:00:00,3,CA,6,5,1,0,0,4.0,0.0,32.78,-117.2,0.0,0.0,0.1,10,1,1,1,73,0,0,0,0
11,1980,02,23,1980-02-23,17:00:00,3,NC,37,1,0,0,0,2.0,0.0,36.4,-76.93,0.0,0.0,0.1,10,1,1,1,91,0,0,0,0
12,1980,02,23,1980-02-23,17:00:00,3,NC,37,2,0,0,0,0.0,0.0,35.62,-77.6,0.0,0.0,0.1,10,1,1,1,147,0,0,0,0
13,1980,02,24,1980-02-24,14:00:00,3,FL,12,4,1,0,0,4.0,0.0,29.65,-81.6,0.0,0.0,1.0,10,1,1,1,107,0,0,0,0
14,1980,02,25,1980-02-25,03:30:00,3,FL,12,5,0,0,0,4.0,0.0,30.05,-83.17,0.0,0.0,0.5,10,1,1,1,67,0,0,0,0
15,1980,02,25,1980-02-25,16:15:00,3,NC,37,3,0,0,0,2.0,0.0,35.02,-78.57,0.0,0.0,0.1,10,1,1,1,43,0,0,0,0
16,1980,02,29,1980-02-29,20:15:00,3,TX,48,2,1,0,0,0.0,0.0,30.52,-97.53,30.43,-97.38,11.0,43,1,1,1,491,453,0,0,0
