om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
615899,2018,01,12,2018-01-12,21:02:00,3,VA,51,0,1,0,0,30000,0,37.4463,-78.0012,37.4518,-77.9982,0.4100,150,1,1,1,7,0,0,0,0
615900,2018,01,21,2018-01-21,18:29:00,3,TX,48,0,0,0,0,90000,0,32.1196,-96.3186,32.1307,-96.3053,1.0900,60,1,1,1,349,0,0,0,0
615901,2018,01,21,2018-01-21,18:56:00,3,AR,05,0,1,0,0,50000,0,35.0823,-94.2695,35.1407,-94.2124,5.2000,350,1,1,1,131,0,0,0,0
615902,2018,01,21,2018-01-21,19:40:00,3,AR,05,0,1,0,0,10000,0,35.3909,-93.9501,35.4397,-93.9022,4.3000,400,1,1,1,47,0,0,0,0
615903,2018,01,21,2018-01-21,20:04:00,3,MO,29,0,1,0,0,100000,0,37.0474,-93.8293,37.0659,-93.8213,1.2500,75,1,1,1,109,0,0,0,0
615904,2018,01,21,2018-01-21,20:19:00,3,TX,48,0,0,0,0,5000,0,33.0015,-95.3288,33.0092,-95.3160,0.2500,50,1,1,1,223,0,0,0,0
615905,2018,01,21,2018-01-21,21:26:00,3,TX,48,0,2,0,0,2500000,0,33.4474,-94.6484,33.5266,-94.5710,7.0600,560,1,1,1,37,0,0,0,0
615906,2018,01,21,2018-01-21,21:43:00,3,TX,48,0,0,0,0,50000,0,33.5655,-94.5114,33.5700,-94.5037,0.5400,50,1,1,1,37,0,0,0,0
615907,2018,01,21,2018-01-21,21:48:00,3,AR,05,0,1,0,0,40000,0,33.6222,-94.4294,33.6864,-94.3512,6.3200,295,1,1,1,81,0,0,0,0
615908,2018,01,22,2018-01-22,00:49:00,3,AR,05,0,1,0,0,100000,0,35.1771,-92.3648,35.2038,-92.3299,2.7000,150,1,1,1,45,0,0,0,0
615909,2018,01,22,2018-01-22,01:12:00,3,MO,29,0,0,0,0,0,0,38.5094,-90.8232,38.5102,-90.8206,0.1800,25,1,1,1,71,0,0,0,0
615910,2018,01,22,2018-01-22,02:10:00,3,TX,48,0,0,0,0,20000,0,30.7600,-93.8900,30.7671,-93.8920,0.5000,10,1,1,1,241,0,0,0,0
615911,2018,01,22,2018-01-22,02:23:00,3,LA,22,0,0,0,0,15000,0,31.1894,-93.3413,31.1895,-93.3407,0.0400,10,1,1,1,115,0,0,0,0
615912,2018,01,22,2018-01-22,09:16:00,3,MS,28,0,1,2,0,45000,0,31.7400,-89.4800,31.7900,-89.3700,7.3400,250,1,1,1,31,67,0,0,0
615913,2018,01,25,2018-01-25,18:40:00,3,CA,06,0,0,0,0,100,0,40.8081,-124.1631,40.8081,-124.1631,0.0400,30,1,1,1,23,0,0,0,0
615914,2018,02,07,2018-02-07,03:48:00,3,LA,22,0,1,0,0,25000,0,30.9600,-93.0201,30.9641,-92.9365,4.9600,350,1,1,1,115,0,0,0,0
615915,2018,02,07,2018-02-07,04:15:00,3,MS,28,0,1,0,0,200000,0,32.3963,-88.9137,32.4138,-88.7795,7.9200,300,1,1,1,75,0,0,0,0
615916,2018,02,07,2018-02-07,05:11:00,3,AL,01,0,0,0,0,0,0,32.4284,-88.2756,32.4257,-88.2419,1.9700,150,1,1,1,119,0,0,0,0
615917,2018,02,07,2018-02-07,05:44:00,3,AL,01,0,1,0,0,0,0,32.4636,-87.7895,32.4851,-87.5952,11.4300,1100,1,1,1,91,65,0,0,0
615918,2018,02,07,2018-02-07,05:51:00,3,AL,01,0,0,0,0,0,0,32.9484,-86.9247,32.9512,-86.9137,0.6700,50,1,1,1,7,0,0,0,0
