om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
1,1971,01,03,1971-01-03,15:30:00,3,AR,5,1,2,10,0,4.0,0.0,34.07,-93.33,34.17,-93.2,10.3,200,1,1,1,19,0,0,0,0
2,1971,01,04,1971-01-04,12:15:00,3,GA,13,1,0,0,0,3.0,0.0,34.27,-85.15,0.0,0.0,0.5,10,1,1,1,115,0,0,0,0
3,1971,01,05,1971-01-05,02:30:00,3,NC,37,1,2,0,0,5.0,0.0,35.25,-78.92,0.0,0.0,1.5,150,1,1,1,85,0,0,0,0
4,1971,01,05,1971-01-05,12:03:00,3,GA,13,2,2,1,0,4.0,0.0,31.52,-82.83,31.5,-82.88,3.3,77,1,1,1,69,0,0,0,0
5,1971,01,15,1971-01-15,11:05:00,3,FL,12,1,0,0,0,2.0,0.0,30.78,-85.57,0.0,0.0,0.3,17,1,1,1,133,0,0,0,0
6,1971,01,15,1971-01-15,11:30:00,3,GA,13,3,2,1,1,4.0,0.0,32.05,-84.03,0.0,0.0,2.0,100,1,1,1,261,0,0,0,0
7,1971,01,15,1971-01-15,12:00:00,3,GA,13,4,2,0,0,4.0,0.0,32.38,-83.37,0.0,0.0,0.5,10,1,1,1,23,0,0,0,0
8,1971,01,15,1971-01-15,12:20:00,3,GA,13,5,1,1,0,4.0,0.0,32.22,-82.42,0.0,0.0,0.1,10,1,1,1,279,0,0,0,0
9,1971,01,15,1971-01-15,12:30:00,3,GA,13,6,1,0,0,4.0,0.0,31.7,-83.25,0.0,0.0,0.8,30,1,1,1,17,0,0,0,0
10,1971,01,15,1971-01-15,12:40:00,3,GA,13,7,1,0,0,4.0,0.0,30.88,-84.22,0.0,0.0,0.5,50,1,1,1,131,0,0,0,0
11,1971,01,15,1971-01-15,12:40:00,3,GA,13,8,2,0,0,4.0,0.0,32.23,-82.12,0.0,0.0,0.1,10,1,1,1,267,0,0,0,0
12,1971,01,15,1971-01-15,12:40:00,3,GA,13,9,2,0,0,4.0,0.0,31.93,-81.93,0.0,0.0,1.0,100,1,1,1,267,0,0,0,0
13,1971,01,15,1971-01-15,13:00:00,3,GA,13,10,2,0,0,4.0,0.0,31.63,-82.58,0.0,0.0,0.1,10,1,1,1,5,0,0,0,0
14,1971,01,15,1971-01-15,13:15:00,3,GA,13,11,2,4,0,4.0,0.0,31.8,-81.6,0.0,0.0,0.5,100,1,1,1,179,0,0,0,0
15,1971,01,25,1971-01-25,15:00:00,3,AL,1,1,0,0,0,4.0,0.0,33.97,-86.62,0.0,0.0,2.0,10,1,1,1,9,0,0,0,0
16,1971,01,25,1971-01-25,16:15:00,3,AL,1,2,1,0,0,4.0,0.0,33.63,-85.6,0.0,0.0,1.0,10,1,1,1,29,0,0,0,0
17,1971,01,28,1971-01-28,03:55:00,3,HI,15,1,1,0,0,5.0,0.0,21.5,-158.03,21.5,-158.03,1.7,33,1,1,1,3,0,0,0,1
