om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
1,1988,01,18,1988-01-18,13:30:00,3,CA,6,1,0,0,0,4.0,0.0,33.6,-117.63,0.0,0.0,1.5,13,1,1,1,59,0,0,0,0
2,1988,01,18,1988-01-18,14:00:00,3,CA,6,2,0,0,0,2.0,0.0,33.42,-117.62,0.0,0.0,0.2,10,1,1,1,59,0,0,0,0
3,1988,01,19,1988-01-19,06:20:00,3,AR,5,1,2,13,0,6.0,0.0,33.13,-91.95,33.3,-91.82,15.0,600,1,1,1,3,0,0,0,0
4,1988,01,19,1988-01-19,10:00:00,3,MS,28,1,1,0,0,4.0,0.0,33.67,-90.83,33.82,-90.73,11.0,33,1,1,1,11,0,0,0,0
5,1988,01,19,1988-01-19,10:12:00,3,MS,28,2,2,1,0,6.0,0.0,34.85,-90.12,34.95,-89.98,9.5,70,1,1,1,33,0,0,0,0
6,1988,01,19,1988-01-19,11:10:00,3,MS,28,3,1,0,0,5.0,0.0,32.97,-89.83,0.0,0.0,1.5,40,1,1,1,7,0,0,0,0
7,1988,01,19,1988-01-19,11:20:00,3,MS,28,4,4,1,0,6.0,0.0,33.15,-89.58,33.27,-89.33,13.0,700,1,1,1,7,0,0,0,0
8,1988,01,19,1988-01-19,11:30:00,3,TN,47,2,2,6,1,5.0,0.0,35.65,-89.22,35.68,-89.17,3.0,60,1,1,1,75,0,0,0,0
9,1988,01,19,1988-01-19,11:52:00,3,TN,47,1,3,24,3,6.0,0.0,35.07,-89.45,35.97,-88.05,22.0,200,1,1,1,47,0,0,0,0
10,1988,01,19,1988-01-19,11:58:00,3,TN,47,3,2,0,1,5.0,0.0,35.82,-88.9,35.85,-88.82,4.0,60,1,1,1,53,0,0,0,0
11,1988,01,19,1988-01-19,12:20:00,3,MS,28,5,3,0,0,6.0,0.0,33.78,-88.87,33.72,-88.77,10.0,100,1,1,1,25,17,0,0,0
12,1988,01,19,1988-01-19,13:05:00,3,TN,47,4,1,0,0,4.0,0.0,36.07,-88.5,0.0,0.0,1.5,30,1,1,1,17,0,0,0,0
13,1988,01,19,1988-01-19,15:20:00,3,MS,28,6,1,10,0,4.0,0.0,32.55,-88.5,0.0,0.0,1.0,30,1,1,1,75,0,0,0,0
14,1988,01,19,1988-01-19,17:25:00,3,AL,1,1,3,35,0,7.0,0.0,34.12,-86.9,34.25,-86.77,10.0,440,1,1,1,43,0,0,0,0
15,1988,01,19,1988-01-19,18:15:00,3,AL,1,2,1,0,0,5.0,0.0,33.02,-86.92,33.1,-86.87,6.0,440,1,1,1,7,117,0,0,0
16,1988,01,19,1988-01-19,21:20:00,3,AL,1,3,1,0,0,5.0,0.0,33.18,-85.8,33.25,-85.73,5.0,100,1,1,1,27,0,0,0,0
17,1988,01,21,1988-01-21,10:15:00,3,FL,12,1,1,3,0,5.0,0.0,29.17,-81.18,29.3,-81.05,10.0,60,1,1,1,127,0,0,0,0
18,1988,02,01,1988-02-01,08:45:00,3,LA,22,1,0,0,0,2.0,0.0,30.0,-91.82,0.0,0.0,0.2,10,1,1,1,45,0,0,0,0
19,1988,02,02,1988-02-02,18:00:00,3,AL,1,4,1,0,0,4.0,0.0,32.05,-87.8,0.0,0.0,2.0,50,1,1,1,91,0,0,0,0
20,1988,02,28,1988-02-28,10:00:00,3,NV,32,1,0,0,0,0.0,0.0,41.4,-119.35,0.0,0.0,0.2,10,1,1,1,31,0,0,0,0
21,1988,02,28,1988-02-28,10:00:00,3,NV,32,2,0,0,0,0.0,0.0,41.4,-119.35,0.0,0.0,0.2,10,1,1,1,31,0,0,0,0
22,1988,03,01,1988-03-01,20:40:00,3,CA,6,3,0,0,0,0.0,0.0,36.55,-119.28,0.0,0.0,0.2,10,1,1,1,107,0,0,0,0
23,1988,03,02,1988-03-02,20:21:00,3,LA,22,2,1,0,0,7.0,0.0,30.22,-92.02,0.0,0.0,0.8,73,1,1,1,55,0,0,0,0
24,1988,03,02,1988-03-02,22:00:00,3,LA,22,3,1,2,0,5.0,0.0,30.7,-91.05,0.0,0.0,0.5,50,1,1,1,33,0,0,0,0
25,1988,03,03,1988-03-03,03:15:00,3,MS,28,7,2,0,0,5.0,0.0,30.4,-88.9,0.0,0.0,1.2,30,1,1,1,47,0,0,0,0
26,1988,03,23,1988-03-23,14:30:00,3,MT,30,1,0,0,0,2.0,0.0,45.33,-108.87,0.0,0.0,0.2,10,1,1,1,9,0,0,0,0
27,1988,03,23,1988-03-23,17:40:00,3,ID,16,1,1,0,0,2.0,0.0,43.73,-112.13,43.67,-111.85,15.0,40,1,1,1,51,0,0,0,0
28,1988,03,24,1988-03-24,14:37:00,3,KS,20,1,0,0,0,3.0,0.0,38.97,-94.98,0.0,0.0,0.1,23,1,1,1,91,0,0,0,0
29,1988,03,24,1988-03-24,14:45:00,3,IA,19,1,1,0,0,5.0,0.0,43.2,-93.38,0.0,0.0,1.0,20,1,1,1,33,0,0,0,0
30,1988,03,24,1988-03-24,15:15:00,3,IA,19,2,1,0,0,5.0,0.0,43.15,-92.98,0.0,0.0,1.0,20,1,1,1,67,0,0,0,0
31,1988,03,24,1988-03-24,15:45:00,3,OK,40,1,1,0,0,4.0,0.0,36.53,-95.68,0.0,0.0,1.0,30,1,1,1,131,0,0,0,0
32,1988,03,24,1988-03-24,16:22:00,3,IA,19,3,0,0,0,3.0,0.0,43.35,-92.57,0.0,0.0,0.1,13,1,1,1,131,0,0,0,0
33,1988,03,24,1988-03-24,16:51:00,3,MO,29,1,0,0,0,0.0,0.0,38.97,-93.42,0.0,0.0,0.5,50,1,1,1,195,0,0,0,0
34,1988,03,24,1988-03-24,17:15:00,3,IA,19,4,2,0,0,6.0,0.0,43.07,-92.03,43.18,-91.93,9.0,100,1,1,1,65,191,0,0,0
35,1988,03,24,1988-03-24,21:00:00,3,MO,29,2,2,5,0,6.0,0.0,37.33,-91.92,37.4,-91.78,12.0,50,1,1,1,215,0,0,0,0
