om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
1,1986,02,02,1986-02-02,21:40:00,3,TX,48,1,2,2,0,5.0,0.0,32.65,-97.93,32.73,-97.87,10.0,100,1,1,1,367,0,0,0,0
2,1986,02,03,1986-02-03,15:00:00,3,CA,6,1,0,0,0,3.0,0.0,36.97,-121.9,0.0,0.0,0.2,50,1,1,1,87,0,0,0,0
3,1986,02,05,1986-02-05,15:15:00,3,TX,48,2,1,0,0,0.0,0.0,33.1,-95.6,0.0,0.0,0.5,30,1,1,1,223,0,0,0,0
4,1986,02,05,1986-02-05,15:40:00,3,TX,48,3,1,0,0,0.0,0.0,33.15,-95.33,0.0,0.0,0.7,30,1,1,1,223,0,0,0,0
5,1986,02,05,1986-02-05,15:45:00,3,TX,48,4,2,5,0,5.0,0.0,29.83,-95.85,29.87,-95.77,8.0,170,1,1,1,473,201,0,0,0
6,1986,02,05,1986-02-05,16:00:00,3,TX,48,5,1,0,0,0.0,0.0,33.13,-95.23,0.0,0.0,0.5,30,1,1,1,159,0,0,0,0
7,1986,02,05,1986-02-05,16:15:00,3,TX,48,6,1,0,0,0.0,0.0,33.27,-95.22,0.0,0.0,0.5,30,1,1,1,159,0,0,0,0
8,1986,02,05,1986-02-05,16:15:00,3,TX,48,7,2,0,0,6.0,0.0,30.02,-95.62,0.0,0.0,2.5,70,1,1,1,201,0,0,0,0
10,1986,02,05,1986-02-05,16:30:00,3,TX,48,9,3,0,2,7.0,0.0,30.03,-95.55,29.98,-95.48,5.0,70,1,1,1,201,0,0,0,0
9,1986,02,05,1986-02-05,16:30:00,3,TX,48,8,1,0,0,6.0,0.0,30.08,-95.58,0.0,0.0,1.0,30,1,1,1,201,0,0,0,0
11,1986,02,05,1986-02-05,16:35:00,3,TX,48,10,0,0,0,0.0,0.0,32.55,-102.1,0.0,0.0,0.1,10,1,1,1,115,0,0,0,0
12,1986,02,05,1986-02-05,16:50:00,3,TX,48,11,1,0,0,0.0,0.0,33.35,-94.98,0.0,0.0,0.5,30,1,1,1,449,0,0,0,0
13,1986,02,05,1986-02-05,17:40:00,3,TX,48,12,0,0,0,0.0,0.0,33.45,-94.45,0.0,0.0,0.5,30,1,1,1,37,0,0,0,0
14,1986,02,05,1986-02-05,18:24:00,3,AR,5,1,0,0,0,0.0,0.0,33.62,-94.4,0.0,0.0,0.2,10,1,1,1,81,0,0,0,0
15,1986,02,06,1986-02-06,15:18:00,3,TN,47,1,3,5,0,6.0,0.0,35.23,-84.82,35.28,-84.6,10.0,270,1,1,1,11,139,107,0,0
16,1986,02,07,1986-02-07,13:35:00,3,FL,12,1,0,0,0,0.0,0.0,25.7,-80.3,0.0,0.0,0.5,10,1,1,1,25,0,0,0,0
17,1986,02,08,1986-02-08,06:35:00,3,FL,12,2,0,0,0,3.0,0.0,28.37,-82.7,0.0,0.0,0.5,10,1,1,1,101,0,0,0,0
18,1986,02,08,1986-02-08,09:00:00,3,FL,12,3,0,1,0,4.0,0.0,29.17,-81.53,29.23,-81.47,5.0,10,1,1,1,127,0,0,0,0
19,1986,02,08,1986-02-08,11:00:00,3,FL,12,4,0,4,0,4.0,0.0,27.48,-82.57,0.0,0.0,0.5,10,1,1,1,81,0,0,0,0
20,1986,02,08,1986-02-08,11:45:00,3,FL,12,5,2,0,0,5.0,0.0,27.88,-81.83,0.0,0.0,2.0,10,1,1,1,105,0,0,0,0
21,1986,02,10,1986-02-10,09:20:00,3,FL,12,6,1,0,0,5.0,0.0,30.7,-85.02,0.0,0.0,1.0,10,1,1,1,63,0,0,0,0
22,1986,02,10,1986-02-10,21:05:00,3,GA,13,1,1,2,0,5.0,0.0,31.23,-82.43,31.27,-82.37,3.8,33,1,1,1,299,0,0,0,0
23,1986,02,10,1986-02-10,21:10:00,3,GA,13,2,1,12,0,6.0,0.0,31.23,-82.4,31.3,-82.32,7.0,33,1,1,1,299,229,0,0,0
24,1986,02,10,1986-02-10,21:30:00,3,GA,13,3,1,7,0,5.0,0.0,31.27,-82.28,31.3,-82.22,4.8,33,1,1,1,229,0,0,0,0
25,1986,02,11,1986-02-11,09:45:00,3,FL,12,7,1,4,0,4.0,0.0,28.18,-81.82,0.0,0.0,0.5,10,1,1,1,105,0,0,0,0
26,1986,02,15,1986-02-15,16:50:00,3,CA,6,2,0,0,0,5.0,0.0,36.53,-119.38,0.0,0.0,0.5,100,1,1,1,107,0,0,0,0
27,1986,02,17,1986-02-17,14:40:00,3,TN,47,2,0,0,0,5.0,0.0,35.98,-87.12,0.0,0.0,0.7,13,1,1,1,187,0,0,0,0
28,1986,02,17,1986-02-17,16:20:00,3,MS,28,1,1,0,0,4.0,0.0,34.62,-90.3,0.0,0.0,1.0,50,1,1,1,143,0,0,0,0
29,1986,02,17,1986-02-17,16:25:00,3,MS,28,2,1,0,0,4.0,0.0,34.57,-90.23,0.0,0.0,1.5,50,1,1,1,143,0,0,0,0
30,1986,02,19,1986-02-19,16:30:00,3,CA,6,3,0,0,0,4.0,0.0,37.23,-120.25,0.0,0.0,0.2,10,1,1,1,47,0,0,0,0
31,1986,03,08,1986-03-08,22:35:00,3,CA,6,4,1,0,0,3.0,0.0,36.55,-119.65,36.58,-119.57,4.0,50,1,1,1,19,0,0,0,0
32,1986,03,10,1986-03-10,12:28:00,3,IN,18,1,3,22,0,6.0,0.0,39.37,-86.52,39.67,-85.83,35.0,440,1,1,1,109,81,97,145,0
34,1986,03,10,1986-03-10,12:55:00,3,IN,18,2,1,0,0,5.0,0.0,39.73,-86.23,0.0,0.0,2.5,220,1,1,1,97,0,0,0,0
35,1986,03,10,1986-03-10,13:10:00,3,IN,18,3,2,0,0,6.0,0.0,39.57,-85.93,39.72,-85.83,10.0,300,1,1,1,145,0,0,0,0
36,1986,03,10,1986-03-10,13:10:00,3,IN,18,4,2,1,1,6.0,0.0,39.57,-85.93,39.78,-85.67,17.8,150,1,1,1,145,59,0,0,0
37,1986,03,10,1986-03-10,13:10:00,3,IN,18,5,2,0,0,5.0,0.0,39.8,-85.78,39.85,-85.68,5.0,220,1,1,1,59,0,0,0,0
38,1986,03,10,1986-03-10,14:10:00,3,IN,18,6,2,25,0,6.0,0.0,38.68,-85.93,38.78,-85.75,12.0,300,1,1,1,175,143,0,0,0
41,1986,03,10,1986-03-10,14:20:00,3,OH,39,1,2,0,0,6.0,0.0,39.35,-84.38,0.0,0.0,1.0,200,1,1,1,17,0,0,0,0
42,1986,03,10,1986-03-10,14:20:00,3,OH,39,2,1,0,0,5.0,0.0,40.42,-84.63,40.62,-84.45,14.0,73,1,1,1,107,0,0,0,0
39,1986,03,10,1986-03-10,14:40:00,3,IN,18,7,2,0,0,5.0,0.0,39.82,-85.43,39.88,-85.37,4.0,300,1,1,1,65,0,0,0,0
