om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
1,1989,01,04,1989-01-04,13:00:00,3,AZ,4,1,0,0,0,4.0,0.0,33.43,-112.15,0.0,0.0,0.5,20,1,1,1,13,0,0,0,0
5,1989,01,07,1989-01-07,16:30:00,3,IN,18,1,4,5,0,5.0,0.0,38.58,-87.7,38.62,-87.43,12.0,100,2,1,2,83,0,0,0,0
2,1989,01,07,1989-01-07,16:32:00,3,IL,17,1,0,0,0,0.0,0.0,38.02,-88.8,0.0,0.0,0.5,20,1,1,1,55,0,0,0,0
3,1989,01,07,1989-01-07,16:55:00,3,IL,17,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,-9,185,0,0,0,0
3,1989,01,07,1989-01-07,16:55:00,3,IL,17,2,2,6,0,6.0,0.0,38.22,-88.4,38.4,-87.95,27.0,100,1,1,1,65,193,191,47,0
6,1989,01,07,1989-01-07,17:00:00,3,IN,18,2,0,0,0,3.0,0.0,38.53,-87.52,0.0,0.0,0.1,30,1,1,1,83,0,0,0,0
4,1989,01,07,1989-01-07,17:10:00,3,IL,17,3,1,0,0,0.0,0.0,38.23,-88.37,0.0,0.0,0.5,50,1,1,1,193,0,0,0,0
5,1989,01,07,1989-01-07,17:24:00,3,IL,17,4,4,55,0,7.0,0.0,38.48,-87.78,38.62,-87.43,19.0,200,2,0,1,0,0,0,0,0
5,1989,01,07,1989-01-07,17:24:00,3,IL,17,4,4,50,0,7.0,0.0,38.48,-87.78,38.58,-87.7,7.0,200,2,1,2,185,0,0,0,0
7,1989,01,07,1989-01-07,19:15:00,3,IN,18,3,1,0,0,4.0,0.0,39.23,-85.62,39.28,-85.57,4.5,50,1,1,1,31,0,0,0,0
8,1989,01,07,1989-01-07,22:00:00,3,MS,28,1,2,0,0,5.0,0.0,33.8,-88.68,33.8,-88.6,4.0,100,1,1,1,95,0,0,0,0
