om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
613495,2016,01,06,2016-01-06,10:50:00,3,CA,06,0,0,0,0,0,75000,36.9381,-121.3815,36.9402,-121.3708,0.6100,20,1,1,1,69,0,0,0,0
613496,2016,01,08,2016-01-08,05:30:00,3,FL,12,0,0,0,0,2000,0,24.7315,-81.0139,24.7324,-81.0128,0.0900,20,1,1,1,87,0,0,0,0
613497,2016,01,09,2016-01-09,17:45:00,3,FL,12,0,2,3,0,2000000,0,26.5700,-82.0370,26.5750,-81.9830,3.3500,182,1,1,1,71,0,0,0,0
613498,2016,01,15,2016-01-15,10:10:00,3,FL,12,0,1,0,0,200000,0,26.5503,-81.9126,26.5520,-81.9102,0.1900,45,1,1,1,71,0,0,0,0
613499,2016,01,17,2016-01-17,02:10:00,3,FL,12,0,2,2,0,12000000,0,27.2530,-82.5396,27.2663,-82.5284,1.1500,350,1,1,1,115,0,0,0,0
613500,2016,01,17,2016-01-17,02:35:00,3,FL,12,0,2,4,2,150000,0,27.5380,-82.2190,27.6420,-82.1260,9.2000,300,1,1,1,81,0,0,0,0
613501,2016,01,17,2016-01-17,06:13:00,3,FL,12,0,1,0,0,100000,0,27.0873,-80.1497,27.0963,-80.1416,0.8000,75,1,1,1,85,0,0,0,0
613502,2016,01,21,2016-01-21,16:14:00,3,MS,28,0,0,0,0,17000,0,31.9388,-90.2981,31.9662,-90.2578,3.0300,50,1,1,1,29,0,0,0,0
613503,2016,01,21,2016-01-21,16:25:00,3,MS,28,0,1,0,0,165000,0,31.6919,-90.5363,31.7334,-90.4597,5.3400,200,1,1,1,85,29,0,0,0
613504,2016,01,21,2016-01-21,17:20:00,3,MS,28,0,1,0,0,17000,0,31.8656,-90.0125,31.8835,-89.9496,3.8900,300,1,1,1,127,0,0,0,0
613505,2016,01,21,2016-01-21,17:46:00,3,MS,28,0,0,0,0,9000,0,32.2624,-89.5387,32.2645,-89.5030,2.0900,75,1,1,1,123,0,0,0,0
613506,2016,01,21,2016-01-21,17:58:00,3,LA,22,0,1,0,0,0,0,30.8872,-90.5192,30.8875,-90.5186,0.2400,50,1,1,1,105,0,0,0,0
613507,2016,01,21,2016-01-21,18:49:00,3,MS,28,0,2,0,0,65000,0,31.3241,-89.6506,31.3425,-89.5432,6.4600,530,1,1,1,73,0,0,0,0
613508,2016,01,22,2016-01-22,01:44:00,3,FL,12,0,0,0,0,0,0,30.8969,-86.1972,30.9335,-86.1691,3.0300,50,1,1,1,131,0,0,0,0
613509,2016,01,22,2016-01-22,03:49:00,3,FL,12,0,0,0,0,0,0,30.3563,-85.3032,30.3698,-85.2913,1.1700,50,1,1,1,13,0,0,0,0
613510,2016,01,27,2016-01-27,08:30:00,3,FL,12,0,1,2,0,850000,0,26.2349,-80.1809,26.2601,-80.1568,2.2900,35,1,1,1,11,0,0,0,0
613511,2016,01,28,2016-01-28,09:32:00,3,FL,12,0,0,0,0,0,0,26.4568,-80.1025,26.5453,-80.0434,7.1200,10,1,1,1,99,0,0,0,0
613512,2016,02,02,2016-02-02,14:48:00,3,MS,28,0,1,0,0,120000,0,32.2441,-89.1570,32.3041,-89.0577,7.1300,150,1,1,1,101,0,0,0,0
613513,2016,02,02,2016-02-02,15:19:00,3,MS,28,0,2,0,0,1485000,0,32.4685,-88.8749,32.7072,-88.6457,21.2300,880,1,1,1,75,69,0,0,0
613514,2016,02,02,2016-02-02,15:53:00,3,MS,28,0,2,0,0,270000,0,32.7303,-88.5776,32.9446,-88.3861,18.5200,300,1,1,1,69,103,0,0,0
613515,2016,02,02,2016-02-02,16:34:00,3,AL,01,0,2,1,0,0,0,33.0273,-88.3177,33.3401,-88.0636,26.2000,1200,1,1,1,107,0,0,0,0
613516,2016,02,02,2016-02-02,16:55:00,3,TN,47,0,1,1,0,150000,0,35.7673,-89.1677,35.8010,-89.1456,2.6400,100,1,1,1,33,0,0,0,0
613517,2016,02,02,2016-02-02,17:27:00,3,MS,28,0,1,0,0,170000,0,32.9800,-88.5700,33.0594,-88.5070,6.5900,150,1,1,1,103,0,0,0,0
613518,2016,02,02,2016-02-02,17:36:00,3,AL,01,0,1,0,0,0,0,33.5399,-87.9153,33.6239,-87.8815,6.1200,500,1,1,1,57,0,0,0,0
613519,2016,02,02,2016-02-02,18:39:00,3,MS,28,0,1,0,0,22000,0,32.6071,-89.1547,32.6168,-89.1524,0.6800,50,1,1,1,99,0,0,0,0
613520,2016,02,02,2016-02-02,20:10:00,3,AL,01,0,1,0,0,0,0,33.8779,-88.0210,33.9300,-87.9856,4.1300,400,1,1,1,75,0,0,0,0
613521,2016,02,02,2016-02-02,23:02:00,3,AL,01,0,0,0,0,0,0,33.3956,-88.1635,33.4336,-88.1070,4.1800,1400,1,1,1,107,0,0,0,0
613522,2016,02,03,2016-02-03,12:02:00,3,NC,37,0,0,0,0,25000,0,35.7989,-80.3185,35.8031,-80.3009,1.0300,50,1,1,1,57,0,0,0,0
613523,2016,02,03,2016-02-03,12:14:00,3,NC,37,0,1,0,0,100000,0,35.8451,-80.1522,35.8583,-80.1273,1.6700,100,1,1,1,57,0,0,0,0
613524,2016,02,03,2016-02-03,13:28:00,3,SC,45,0,0,0,0,50000,0,33.9033,-81.0696,33.9114,-81.0625,0.6900,75,1,1,1,63,0,0,0,0
613525,2016,02,03,2016-02-03,16:00:00,3,GA,13,0,0,0,0,5080000,0,31.8717,-81.6247,31.9248,-81.5630,5.7000,300,1,1,1,179,0,0,0,0
613526,2016,02,15,2016-02-15,10:22:00,3,LA,22,0,0,0,0,10000,0,30.9533,-91.9219,30.9562,-91.9176,0.3200,20,1,1,1,9,0,0,0,0
613527,2016,02,15,2016-02-15,11:00:00,3,MS,28,0,0,0,0,3000,0,32.3762,-90.3166,32.3809,-90.3096,0.5200,50,1,1,1,49,0,0,0,0
613528,2016,02,15,2016-02-15,12:10:00,3,MS,28,0,2,0,0,960000,0,31.6960,-90.4023,31.8844,-89.9357,30.3400,250,1,1,1,29,127,0,0,0
613529,2016,02,15,2016-02-15,12:15:00,3,MS,28,0,1,0,0,800000,0,32.8155,-89.6062,32.8278,-89.5773,1.8800,300,1,1,1,79,0,0,0,0
613530,2016,02,15,2016-02-15,12:45:00,3,MS,28,0,1,0,0,45000,0,33.0346,-89.2791,33.0499,-89.2398,2.5100,200,1,1,1,159,0,0,0,0
613531,2016,02,15,2016-02-15,13:04:00,3,LA,22,0,0,0,0,0,0,30.1606,-92.8538,30.1679,-92.8440,0.7800,10,1,1,1,53,0,0,0,0
613532,2016,02,15,2016-02-15,13:15:00,3,MS,28,0,1,2,0,0,0,31.0721,-90.1828,31.0912,-90.1014,5.0000,250,1,1,1,147,0,0,0,0
613533,2016,02,15,2016-02-15,13:24:00,3,MS,28,0,0,0,0,15000,0,31.9468,-89.6273,31.9621,-89.5964,2.1000,100,1,1,1,129,0,0,0,0
613534,2016,02,15,2016-02-15,13:43:00,3,MS,28,0,1,0,0,250000,0,31.9934,-89.4087,32.0158,-89.3706,2.7200,250,1,1,1,129,0,0,0,0
613535,2016,02,15,2016-02-15,13:52:00,3,MS,28,0,1,0,0,608000,0,32.0506,-89.3413,32.1967,-89.1606,14.6200,350,1,1,1,129,61,0,0,0
613536,2016,02,15,2016-02-15,15:32:00,3,FL,12,0,3,3,0,5750000,0,30.8707,-87.3810,31.0401,-87.1863,16.4500,300,2,0,1,0,0,0,0,0
613536,2016,02,15,2016-02-15,15:32:00,3,FL,12,0,3,3,0,5000000,0,30.8707,-87.3810,30.9968,-87.2281,12.5700,300,2,1,2,33,0,0,0,0
613536,2016,02,15,2016-02-15,15:50:00,3,AL,01,0,2,0,0,750000,0,30.9968,-87.2281,31.0401,-87.1863,3.8800,300,2,1,2,53,0,0,0,0
613537,2016,02,15,2016-02-15,16:00:00,3,AL,01,0,0,0,0,0,0,32.2352,-86.0243,32.2636,-85.9989,2.4600,75,1,1,1,101,0,0,0,0
613538,2016,02,15,2016-02-15,16:33:00,3,AL,01,0,2,0,0,750000,0,31.2724,-86.8483,31.2932,-86.8204,2.1900,250,1,1,1,35,0,0,0,0
613539,2016,02,15,2016-02-15,17:00:00,3,AL,01,0,1,1,0,100000,0,31.4574,-86.6181,31.5136,-86.5786,4.5300,50,1,1,1,39,0,0,0,0
613540,2016,02,15,2016-02-15,18:20:00,3,AL,01,0,1,0,0,0,0,31.6617,-85.8398,31.6855,-85.7599,4.9800,400,1,1,1,109,0,0,0,0
613541,2016,02,15,2016-02-15,18:57:00,3,AL,01,0,1,0,0,0,0,32.4000,-85.3476,32.4493,-85.2538,6.8000,400,1,1,1,113,0,0,0,0
613542,2016,02,15,2016-02-15,19:00:00,3,AL,01,0,0,0,0,0,0,32.3952,-85.2546,32.4778,-85.1836,7.0900,250,1,1,1,113,81,0,0,0
613543,2016,02,16,2016-02-16,03:49:00,3,FL,12,0,1,0,0,0,0,26.8173,-81.1064,26.8276,-81.0802,1.7700,75,1,1,1,43,0,0,0,0
613544,2016,02,16,2016-02-16,04:10:00,3,FL,12,0,0,0,0,0,0,26.2200,-81.1800,26.2400,-81.1200,4.0000,10,1,1,1,21,0,0,0,0
613545,2016,02,16,2016-02-16,06:05:00,3,FL,12,0,0,0,0,0,0,26.0747,-80.3628,26.0905,-80.2560,6.7200,50,1,1,1,11,0,0,0,0
613546,2016,02,16,2016-02-16,06:10:00,3,FL,12,0,1,0,0,160000,0,26.2420,-80.1349,26.2663,-80.0859,3.4700,50,1,1,1,11,0,0,0,0
613547,2016,02,16,2016-02-16,06:34:00,3,FL,12,0,0,0,0,0,0,26.1100,-80.1300,26.0958,-80.1044,1.8700,50,1,1,1,11,0,0,0,0
613548,2016,02,16,2016-02-16,06:51:00,3,FL,12,0,1,0,0,0,0,25.9553,-80.2159,25.9519,-80.1551,3.7800,150,1,1,1,86,0,0,0,0
613549,2016,02,16,2016-02-16,07:51:00,3,NC,37,0,1,0,0,100000,0,34.8206,-76.4499,34.8807,-76.4358,4.2300,167,1,1,1,31,0,0,0,0
613550,2016,02,23,2016-02-23,05:53:00,3,TX,48,0,0,0,0,0,0,29.2382,-95.8865,29.2575,-95.8613,2.0200,30,1,1,1,481,0,0,0,0
613551,2016,02,23,2016-02-23,11:11:00,3,LA,22,0,0,0,0,0,0,29.9757,-90.2727,29.9822,-90.2667,0.5800,50,1,1,1,51,0,0,0,0
613552,2016,02,23,2016-02-23,11:20:00,3,LA,22,0,0,0,0,0,0,30.1324,-91.1811,30.1751,-91.1557,3.3200,50,1,1,1,47,0,0,0,0
613553,2016,02,23,2016-02-23,12:08:00,3,LA,22,0,0,0,0,0,0,30.3176,-90.9804,30.3389,-90.9695,1.6100,200,1,1,1,5,0,0,0,0
613554,2016,02,23,2016-02-23,12:42:00,3,LA,22,0,2,0,0,0,0,30.4960,-90.7592,30.5462,-90.7156,4.3300,625,1,1,1,63,0,0,0,0
