om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
1,1967,01,24,1967-01-24,12:10:00,3,KS,20,1,50.0,0,0,0.0,0.0,39.0,-94.58,0.0,0.0,0,0,0,0,0,0,0,0,0,
2,1967,01,24,1967-01-24,12:20:00,3,MO,29,1,50.0,0,0,0.0,0.0,38.88,-94.58,0.0,0.0,0,0,0,0,0,95,0,0,0,
3,1967,01,24,1967-01-24,13:00:00,3,MO,29,2,55.0,0,0,0.0,0.0,39.08,-94.58,0.0,0.0,0,0,0,0,0,95,0,0,0,
4,1967,01,24,1967-01-24,15:00:00,3,MO,29,3,50.0,0,0,0.0,0.0,39.0,-92.4,0.0,0.0,0,0,0,0,0,19,0,0,0,
5,1967,01,24,1967-01-24,15:00:00,3,MO,29,4,0.0,0,0,0.0,0.0,39.78,-93.28,0.0,0.0,0,0,0,0,0,115,0,0,0,
6,1967,01,24,1967-01-24,18:05:00,3,IL,17,1,68.0,0,0,0.0,0.0,41.78,-89.68,0.0,0.0,0,0,0,0,0,195,0,0,0,
7,1967,01,24,1967-01-24,18:10:00,3,IL,17,2,0.0,0,0,0.0,0.0,39.28,-90.28,0.0,0.0,0,0,0,0,0,61,0,0,0,
8,1967,01,24,1967-01-24,20:00:00,3,WI,55,1,62.0,0,0,0.0,0.0,42.7,-89.0,0.0,0.0,0,0,0,0,0,105,0,0,0,
9,1967,01,24,1967-01-24,20:00:00,3,IL,17,3,50.0,0,0,0.0,0.0,41.88,-87.58,0.0,0.0,0,0,0,0,0,0,0,0,0,
10,1967,01,24,1967-01-24,20:30:00,3,IL,17,4,50.0,0,0,0.0,0.0,39.0,-89.18,0.0,0.0,0,0,0,0,0,51,0,0,0,
11,1967,01,24,1967-01-24,20:50:00,3,WI,55,2,0.0,0,0,0.0,0.0,44.28,-87.9,0.0,0.0,0,0,0,0,0,9,0,0,0,
12,1967,01,24,1967-01-24,21:00:00,3,IL,17,5,0.0,0,0,0.0,0.0,42.08,-89.4,0.0,0.0,0,0,0,0,0,141,0,0,0,
13,1967,01,24,1967-01-24,21:00:00,3,IL,17,6,0.0,0,0,0.0,0.0,42.2,-89.78,0.0,0.0,0,0,0,0,0,15,0,0,0,
14,1967,01,24,1967-01-24,21:12:00,3,MI,26,1,53.0,0,0,0.0,0.0,43.2,-86.28,0.0,0.0,0,0,0,0,0,121,0,0,0,
15,1967,01,24,1967-01-24,22:00:00,3,MI,26,2,63.0,0,0,0.0,0.0,42.88,-85.5,0.0,0.0,0,0,0,0,0,81,0,0,0,
16,1967,01,24,1967-01-24,22:30:00,3,MI,26,3,0.0,0,0,0.0,0.0,42.88,-85.5,0.0,0.0,0,0,0,0,0,81,0,0,0,
17,1967,01,24,1967-01-24,23:15:00,3,MI,26,4,0.0,0,0,0.0,0.0,43.0,-85.18,0.0,0.0,0,0,0,0,0,67,0,0,0,
18,1967,01,25,1967-01-25,20:00:00,3,OK,40,1,0.0,0,0,0.0,0.0,35.5,-98.68,0.0,0.0,0,0,0,0,0,39,0,0,0,
19,1967,01,25,1967-01-25,20:15:00,3,OK,40,2,0.0,0,0,0.0,0.0,35.38,-98.28,0.0,0.0,0,0,0,0,0,17,0,0,0,
20,1967,01,25,1967-01-25,21:00:00,3,OK,40,3,55.0,0,0,0.0,0.0,36.08,-97.08,0.0,0.0,0,0,0,0,0,119,0,0,0,
