om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
1,1988,01,12,1988-01-12,20:30:00,3,NC,37,1,60.0,0,0,3.0,0.0,35.52,-83.08,0.0,0.0,0,0,0,0,0,87,0,0,0,
2,1988,01,12,1988-01-12,20:30:00,3,NC,37,2,0.0,0,0,3.0,0.0,35.23,-82.77,0.0,0.0,0,0,0,0,0,175,0,0,0,
3,1988,01,18,1988-01-18,23:00:00,3,TX,48,1,0.0,0,0,0.0,0.0,32.37,-96.1,0.0,0.0,0,0,0,0,0,257,0,0,0,
4,1988,01,19,1988-01-19,00:20:00,3,TX,48,2,0.0,0,0,0.0,0.0,33.18,-95.23,0.0,0.0,0,0,0,0,0,159,0,0,0,
5,1988,01,19,1988-01-19,01:00:00,3,MS,28,1,0.0,0,0,5.0,0.0,33.65,-90.18,0.0,0.0,0,0,0,0,0,83,0,0,0,
6,1988,01,19,1988-01-19,01:25:00,3,MS,28,2,0.0,0,0,4.0,0.0,33.45,-90.65,0.0,0.0,0,0,0,0,0,133,0,0,0,
7,1988,01,19,1988-01-19,03:55:00,3,LA,22,1,0.0,0,0,0.0,0.0,32.52,-92.37,0.0,0.0,0,0,0,0,0,73,0,0,0,
8,1988,01,19,1988-01-19,04:10:00,3,LA,22,2,0.0,0,0,0.0,0.0,32.68,-92.22,0.0,0.0,0,0,0,0,0,111,0,0,0,
9,1988,01,19,1988-01-19,10:42:00,3,MS,28,3,0.0,0,0,0.0,0.0,32.62,-90.23,0.0,0.0,0,0,0,0,0,89,0,0,0,
10,1988,01,19,1988-01-19,10:50:00,3,MS,28,4,0.0,0,0,0.0,0.0,32.63,-90.17,0.0,0.0,0,0,0,0,0,163,0,0,0,
11,1988,01,19,1988-01-19,11:20:00,3,MS,28,5,0.0,0,0,3.0,0.0,33.97,-90.48,0.0,0.0,0,0,0,0,0,133,0,0,0,
12,1988,01,19,1988-01-19,11:45:00,3,MS,28,6,0.0,0,0,4.0,0.0,33.93,-90.13,0.0,0.0,0,0,0,0,0,135,0,0,0,
13,1988,01,19,1988-01-19,12:05:00,3,MS,28,7,0.0,0,0,0.0,0.0,33.52,-89.03,0.0,0.0,0,0,0,0,0,105,0,0,0,
14,1988,01,19,1988-01-19,12:05:00,3,MS,28,8,0.0,0,0,0.0,0.0,33.67,-89.07,0.0,0.0,0,0,0,0,0,155,0,0,0,
15,1988,01,19,1988-01-19,12:35:00,3,MS,28,9,0.0,0,0,3.0,0.0,33.82,-88.68,0.0,0.0,0,0,0,0,0,95,0,0,0,
16,1988,01,19,1988-01-19,14:00:00,3,MS,28,10,0.0,0,0,0.0,0.0,32.32,-89.23,0.0,0.0,0,0,0,0,0,101,0,0,0,
17,1988,01,19,1988-01-19,14:10:00,3,AL,1,1,0.0,0,0,3.0,0.0,33.68,-87.83,0.0,0.0,0,0,0,0,0,57,0,0,0,
18,1988,01,19,1988-01-19,15:00:00,3,AL,1,2,52.0,0,0,0.0,0.0,34.62,-86.98,0.0,0.0,0,0,0,0,0,103,0,0,0,
19,1988,01,19,1988-01-19,15:10:00,3,MS,28,11,0.0,0,0,0.0,0.0,31.97,-89.3,0.0,0.0,0,0,0,0,0,61,0,0,0,
20,1988,01,19,1988-01-19,16:20:00,3,LA,22,3,0.0,0,0,0.0,0.0,30.37,-90.08,0.0,0.0,0,0,0,0,0,103,0,0,0,
21,1988,01,19,1988-01-19,16:30:00,3,AL,1,3,0.0,0,0,0.0,0.0,34.73,-86.62,0.0,0.0,0,0,0,0,0,89,0,0,0,
22,1988,01,19,1988-01-19,16:50:00,3,AL,1,4,0.0,0,0,0.0,0.0,32.75,-88.03,0.0,0.0,0,0,0,0,0,63,0,0,0,
23,1988,01,19,1988-01-19,16:57:00,3,AL,1,5,0.0,0,0,0.0,0.0,34.73,-86.62,0.0,0.0,0,0,0,0,0,89,0,0,0,
24,1988,01,19,1988-01-19,17:00:00,3,LA,22,4,0.0,0,0,0.0,0.0,30.37,-90.08,0.0,0.0,0,0,0,0,0,103,0,0,0,
25,1988,01,19,1988-01-19,17:20:00,3,AL,1,6,0.0,0,0,4.0,0.0,33.35,-87.8,0.0,0.0,0,0,0,0,0,125,0,0,0,
26,1988,01,19,1988-01-19,17:30:00,3,AL,1,7,0.0,0,0,0.0,0.0,32.77,-87.73,0.0,0.0,0,0,0,0,0,65,0,0,0,
27,1988,01,19,1988-01-19,18:00:00,3,AL,1,8,0.0,0,0,0.0,0.0,32.95,-87.02,0.0,0.0,0,0,0,0,0,7,0,0,0,
28,1988,01,19,1988-01-19,18:00:00,3,AL,1,9,52.0,0,0,0.0,0.0,33.57,-86.75,0.0,0.0,0,0,0,0,0,73,0,0,0,
29,1988,01,19,1988-01-19,18:30:00,3,AL,1,10,0.0,0,0,3.0,0.0,34.27,-86.22,0.0,0.0,0,0,0,0,0,95,0,0,0,
30,1988,01,19,1988-01-19,18:30:00,3,AL,1,11,0.0,0,0,3.0,0.0,33.18,-86.53,0.0,0.0,0,0,0,0,0,117,0,0,0,
31,1988,01,19,1988-01-19,18:30:00,3,AL,1,12,0.0,0,0,3.0,0.0,33.33,-86.45,0.0,0.0,0,0,0,0,0,117,0,0,0,
32,1988,01,19,1988-01-19,18:35:00,3,AL,1,13,0.0,0,0,3.0,0.0,34.32,-86.0,0.0,0.0,0,0,0,0,0,49,0,0,0,
33,1988,01,19,1988-01-19,18:50:00,3,AL,1,14,0.0,0,0,4.0,0.0,34.1,-86.37,0.0,0.0,0,0,0,0,0,9,0,0,0,
34,1988,01,19,1988-01-19,20:20:00,3,AL,1,15,0.0,0,0,4.0,0.0,33.65,-85.83,0.0,0.0,0,0,0,0,0,15,0,0,0,
35,1988,01,19,1988-01-19,20:30:00,3,AL,1,16,0.0,0,0,0.0,0.0,33.72,-85.57,0.0,0.0,0,0,0,0,0,29,0,0,0,
36,1988,01,19,1988-01-19,20:39:00,3,GA,13,1,0.0,0,0,0.0,0.0,34.02,-85.25,0.0,0.0,0,0,0,0,0,233,0,0,0,
37,1988,01,19,1988-01-19,20:41:00,3,GA,13,2,0.0,0,0,0.0,0.0,34.13,-85.33,0.0,0.0,0,0,0,0,0,115,0,0,0,
38,1988,01,19,1988-01-19,21:30:00,3,GA,13,3,0.0,0,0,0.0,0.0,33.75,-84.75,0.0,0.0,0,0,0,0,0,97,0,0,0,
39,1988,01,19,1988-01-19,22:45:00,3,GA,13,4,0.0,0,0,0.0,0.0,33.77,-84.4,0.0,0.0,0,0,0,0,0,121,0,0,0,
40,1988,01,19,1988-01-19,22:50:00,3,GA,13,5,0.0,0,0,0.0,0.0,33.4,-85.18,0.0,0.0,0,0,0,0,0,149,0,0,0,
41,1988,01,19,1988-01-19,23:08:00,3,GA,13,6,0.0,0,0,0.0,0.0,33.37,-84.8,0.0,0.0,0,0,0,0,0,77,0,0,0,
42,1988,01,19,1988-01-19,23:35:00,3,AL,1,17,0.0,0,0,0.0,0.0,32.65,-85.37,0.0,0.0,0,0,0,0,0,81,0,0,0,
43,1988,01,19,1988-01-19,23:40:00,3,GA,13,7,0.0,0,0,5.0,0.0,33.52,-84.35,0.0,0.0,0,0,0,0,0,63,0,0,0,
44,1988,01,21,1988-01-21,09:45:00,3,FL,12,1,60.0,0,0,3.0,0.0,28.8,-81.87,0.0,0.0,0,0,0,0,0,69,0,0,0,
45,1988,01,21,1988-01-21,09:50:00,3,FL,12,2,60.0,5,0,4.0,0.0,28.92,-81.65,0.0,0.0,0,0,0,0,0,69,0,0,0,
46,1988,02,01,1988-02-01,15:05:00,3,LA,22,5,0.0,0,0,0.0,0.0,30.23,-90.92,0.0,0.0,0,0,0,0,0,5,0,0,0,
47,1988,02,01,1988-02-01,15:15:00,3,LA,22,6,0.0,0,0,3.0,0.0,30.5,-90.35,0.0,0.0,0,0,0,0,0,105,0,0,0,
48,1988,02,15,1988-02-15,01:00:00,3,MS,28,12,0.0,0,0,4.0,0.0,30.28,-89.38,0.0,0.0,0,0,0,0,0,45,0,0,0,
49,1988,02,15,1988-02-15,07:00:00,3,FL,12,3,55.0,0,0,3.0,0.0,29.88,-85.22,0.0,0.0,0,0,0,0,0,45,0,0,0,
50,1988,02,18,1988-02-18,22:00:00,3,FL,12,4,65.0,0,0,5.0,0.0,30.05,-83.17,0.0,0.0,0,0,0,0,0,67,0,0,0,
51,1988,02,22,1988-02-22,21:22:00,3,CO,8,1,0.0,0,0,0.0,0.0,40.23,-104.93,0.0,0.0,0,0,0,0,0,123,0,0,0,
52,1988,02,28,1988-02-28,00:30:00,3,CA,6,1,63.0,0,0,4.0,0.0,37.12,-120.25,0.0,0.0,0,0,0,0,0,39,0,0,0,
53,1988,02,28,1988-02-28,02:15:00,3,CA,6,2,64.0,0,0,0.0,0.0,38.32,-121.77,0.0,0.0,0,0,0,0,0,95,0,0,0,
54,1988,02,28,1988-02-28,02:15:00,3,CA,6,3,0.0,0,0,0.0,0.0,39.15,-122.15,0.0,0.0,0,0,0,0,0,11,0,0,0,
55,1988,02,28,1988-02-28,02:18:00,3,CA,6,4,50.0,0,0,0.0,0.0,38.13,-121.27,0.0,0.0,0,0,0,0,0,77,0,0,0,
56,1988,02,28,1988-02-28,02:40:00,3,CA,6,5,55.0,0,0,0.0,0.0,38.63,-121.32,0.0,0.0,0,0,0,0,0,67,0,0,0,
57,1988,02,28,1988-02-28,03:23:00,3,CA,6,6,54.0,0,0,0.0,0.0,39.13,-121.43,0.0,0.0,0,0,0,0,0,115,0,0,0,
58,1988,02,28,1988-02-28,04:00:00,3,CA,6,7,52.0,0,0,5.0,0.0,39.8,-121.85,0.0,0.0,0,0,0,0,0,7,0,0,0,
59,1988,03,01,1988-03-01,20:45:00,3,TX,48,3,54.0,0,0,0.0,0.0,33.75,-99.23,0.0,0.0,0,0,0,0,0,23,0,0,0,
60,1988,03,01,1988-03-01,22:40:00,3,OK,40,1,0.0,0,0,3.0,0.0,36.3,-95.6,0.0,0.0,0,0,0,0,0,131,0,0,0,
61,1988,03,02,1988-03-02,02:30:00,3,OK,40,2,0.0,0,0,3.0,0.0,35.25,-96.7,0.0,0.0,0,0,0,0,0,133,0,0,0,
62,1988,03,02,1988-03-02,15:15:00,3,TX,48,4,0.0,0,0,5.0,0.0,29.5,-94.9,0.0,0.0,0,0,0,0,0,167,0,0,0,
63,1988,03,02,1988-03-02,19:30:00,3,LA,22,7,0.0,0,0,3.0,0.0,30.13,-92.7,0.0,0.0,0,0,0,0,0,53,0,0,0,
64,1988,03,02,1988-03-02,20:10:00,3,LA,22,8,0.0,1,0,3.0,0.0,30.23,-92.18,0.0,0.0,0,0,0,0,0,1,0,0,0,
65,1988,03,02,1988-03-02,20:30:00,3,LA,22,9,0.0,0,0,4.0,0.0,30.53,-92.08,0.0,0.0,0,0,0,0,0,97,0,0,0,
66,1988,03,03,1988-03-03,17:15:00,3,MS,28,13,0.0,0,0,4.0,0.0,32.63,-89.65,0.0,0.0,0,0,0,0,0,79,0,0,0,
67,1988,03,04,1988-03-04,01:30:00,3,MS,28,14,0.0,0,0,3.0,0.0,30.42,-88.82,0.0,0.0,0,0,0,0,0,59,0,0,0,
68,1988,03,10,1988-03-10,13:53:00,3,NC,37,3,51.0,0,0,0.0,0.0,34.23,-77.93,0.0,0.0,0,0,0,0,0,129,0,0,0,
69,1988,03,11,1988-03-11,18:03:00,3,AR,5,1,52.0,0,0,0.0,0.0,36.33,-94.12,0.0,0.0,0,0,0,0,0,7,0,0,0,
70,1988,03,11,1988-03-11,19:50:00,3,AR,5,2,0.0,0,0,0.0,0.0,35.45,-93.83,0.0,0.0,0,0,0,0,0,47,0,0,0,
71,1988,03,11,1988-03-11,22:30:00,3,AR,5,3,0.0,0,0,0.0,0.0,35.25,-92.68,0.0,0.0,0,0,0,0,0,29,0,0,0,
