om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
1,1969,01,04,1969-01-04,11:30:00,3,FL,12,1,0.0,0,0,0.0,0.0,25.78,-80.28,0.0,0.0,0,0,0,0,0,25,0,0,0,
2,1969,01,23,1969-01-23,00:05:00,3,AR,5,1,0.0,0,0,0.0,0.0,34.08,-93.08,0.0,0.0,0,0,0,0,0,19,0,0,0,
3,1969,01,23,1969-01-23,00:30:00,3,AR,5,2,0.0,0,0,0.0,0.0,35.2,-92.9,0.0,0.0,0,0,0,0,0,115,0,0,0,
4,1969,01,23,1969-01-23,00:30:00,3,AR,5,3,0.0,0,0,0.0,0.0,35.2,-93.08,0.0,0.0,0,0,0,0,0,115,0,0,0,
5,1969,01,23,1969-01-23,00:30:00,3,AR,5,4,0.0,0,0,0.0,0.0,35.5,-93.0,0.0,0.0,0,0,0,0,0,115,0,0,0,
6,1969,01,23,1969-01-23,03:00:00,3,AR,5,5,0.0,0,0,0.0,0.0,35.88,-90.4,0.0,0.0,0,0,0,0,0,31,0,0,0,
7,1969,01,23,1969-01-23,16:15:00,3,KY,21,1,0.0,0,0,0.0,0.0,36.78,-87.5,0.0,0.0,0,0,0,0,0,47,0,0,0,
8,1969,01,23,1969-01-23,16:15:00,3,KY,21,2,0.0,0,0,0.0,0.0,37.2,-87.5,0.0,0.0,0,0,0,0,0,107,0,0,0,
9,1969,01,23,1969-01-23,16:30:00,3,KY,21,3,0.0,0,0,0.0,0.0,36.78,-87.18,0.0,0.0,0,0,0,0,0,219,0,0,0,
10,1969,01,23,1969-01-23,16:45:00,3,KY,21,4,0.0,0,0,0.0,0.0,36.88,-86.9,0.0,0.0,0,0,0,0,0,141,0,0,0,
11,1969,01,29,1969-01-29,09:12:00,3,OK,40,1,0.0,0,0,0.0,0.0,35.88,-95.0,0.0,0.0,0,0,0,0,0,21,0,0,0,
12,1969,02,06,1969-02-06,05:00:00,3,CA,6,1,0.0,0,0,0.0,0.0,37.5,-122.18,0.0,0.0,0,0,0,0,0,0,0,0,0,
13,1969,02,13,1969-02-13,21:15:00,3,TX,48,1,70.0,0,0,0.0,0.0,29.48,-95.0,0.0,0.0,0,0,0,0,0,167,0,0,0,
14,1969,02,13,1969-02-13,21:30:00,3,TX,48,2,60.0,0,0,0.0,0.0,29.38,-94.9,0.0,0.0,0,0,0,0,0,167,0,0,0,
15,1969,02,14,1969-02-14,02:00:00,3,TX,48,3,0.0,0,0,0.0,0.0,28.88,-96.9,0.0,0.0,0,0,0,0,0,469,0,0,0,
16,1969,02,14,1969-02-14,02:30:00,3,TX,48,4,87.0,0,0,0.0,0.0,28.7,-96.28,0.0,0.0,0,0,0,0,0,321,0,0,0,
17,1969,02,14,1969-02-14,12:00:00,3,LA,22,1,55.0,0,0,0.0,0.0,29.28,-92.4,0.0,0.0,0,0,0,0,0,0,0,0,0,
18,1969,02,14,1969-02-14,19:30:00,3,MS,28,1,0.0,0,0,0.0,0.0,30.38,-88.9,0.0,0.0,0,0,0,0,0,0,0,0,0,
19,1969,02,15,1969-02-15,04:45:00,3,GA,13,1,0.0,0,0,0.0,0.0,31.2,-83.78,0.0,0.0,0,0,0,0,0,71,0,0,0,
20,1969,02,15,1969-02-15,09:14:00,3,FL,12,2,0.0,0,0,0.0,0.0,29.68,-85.0,0.0,0.0,0,0,0,0,0,0,0,0,0,
21,1969,02,15,1969-02-15,09:25:00,3,GA,13,2,0.0,0,0,0.0,0.0,30.7,-84.5,0.0,0.0,0,0,0,0,0,87,0,0,0,
22,1969,02,15,1969-02-15,09:30:00,3,FL,12,3,0.0,0,0,0.0,0.0,27.78,-82.68,0.0,0.0,0,0,0,0,0,103,0,0,0,
23,1969,02,15,1969-02-15,09:30:00,3,GA,13,3,0.0,0,0,0.0,0.0,31.6,-84.18,0.0,0.0,0,0,0,0,0,95,0,0,0,
24,1969,02,15,1969-02-15,09:30:00,3,FL,12,4,65.0,0,0,0.0,0.0,28.0,-82.5,0.0,0.0,0,0,0,0,0,57,0,0,0,
25,1969,02,15,1969-02-15,09:35:00,3,GA,13,4,0.0,0,0,0.0,0.0,31.28,-83.9,0.0,0.0,0,0,0,0,0,71,0,0,0,
26,1969,02,15,1969-02-15,10:15:00,3,FL,12,5,0.0,0,0,0.0,0.0,28.0,-81.9,0.0,0.0,0,0,0,0,0,105,0,0,0,
27,1969,02,15,1969-02-15,10:40:00,3,FL,12,6,0.0,0,0,0.0,0.0,27.88,-81.78,0.0,0.0,0,0,0,0,0,105,0,0,0,
