om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
1,1956,01,22,1956-01-22,05:45:00,3,LA,22,1,70.0,0,0,0.0,0.0,29.2,-90.0,0.0,0.0,0,0,0,0,0,51,0,0,0,
2,1956,01,29,1956-01-29,09:50:00,3,TN,47,1,0.0,0,0,0.0,0.0,35.08,-89.9,0.0,0.0,0,0,0,0,0,157,0,0,0,
3,1956,02,16,1956-02-16,20:30:00,3,AR,5,1,0.0,0,0,0.0,0.0,33.2,-91.9,0.0,0.0,0,0,0,0,0,3,0,0,0,
4,1956,02,17,1956-02-17,01:30:00,3,AR,5,2,0.0,0,0,0.0,0.0,35.28,-91.4,0.0,0.0,0,0,0,0,0,145,0,0,0,
5,1956,02,17,1956-02-17,15:30:00,3,AR,5,3,56.0,0,0,0.0,0.0,33.7,-93.4,0.0,0.0,0,0,0,0,0,99,0,0,0,
6,1956,02,17,1956-02-17,15:33:00,3,TX,48,1,60.0,0,0,0.0,0.0,32.78,-96.78,0.0,0.0,0,0,0,0,0,113,0,0,0,
7,1956,02,17,1956-02-17,20:30:00,3,AL,1,1,67.0,0,0,0.0,0.0,34.7,-87.5,0.0,0.0,0,0,0,0,0,33,0,0,0,
8,1956,02,17,1956-02-17,22:00:00,3,AL,1,2,0.0,0,0,0.0,0.0,34.5,-86.68,0.0,0.0,0,0,0,0,0,103,0,0,0,
9,1956,02,17,1956-02-17,22:00:00,3,AL,1,3,0.0,0,0,0.0,0.0,34.58,-86.68,0.0,0.0,0,0,0,0,0,89,0,0,0,
10,1956,02,17,1956-02-17,22:00:00,3,AL,1,4,0.0,0,0,0.0,0.0,34.7,-87.78,0.0,0.0,0,0,0,0,0,33,0,0,0,
11,1956,02,17,1956-02-17,22:45:00,3,MS,28,1,70.0,0,0,0.0,0.0,33.5,-90.18,0.0,0.0,0,0,0,0,0,83,0,0,0,
12,1956,02,18,1956-02-18,00:15:00,3,AL,1,5,0.0,0,0,0.0,0.0,34.88,-85.68,0.0,0.0,0,0,0,0,0,71,0,0,0,
13,1956,02,20,1956-02-20,06:50:00,3,SC,45,1,0.0,0,0,0.0,0.0,33.28,-80.68,0.0,0.0,0,0,0,0,0,75,0,0,0,
14,1956,02,25,1956-02-25,01:00:00,3,MO,29,1,0.0,0,0,0.0,0.0,36.58,-93.4,0.0,0.0,0,0,0,0,0,209,0,0,0,
15,1956,02,25,1956-02-25,01:30:00,3,MO,29,2,53.0,0,0,0.0,0.0,37.2,-92.78,0.0,0.0,0,0,0,0,0,225,0,0,0,
16,1956,02,25,1956-02-25,02:43:00,3,AR,5,4,70.0,0,0,0.0,0.0,34.88,-92.18,0.0,0.0,0,0,0,0,0,119,0,0,0,
17,1956,02,25,1956-02-25,03:35:00,3,AR,5,5,0.0,0,0,0.0,0.0,34.08,-91.9,0.0,0.0,0,0,0,0,0,69,0,0,0,
18,1956,02,25,1956-02-25,04:15:00,3,TN,47,2,78.0,0,0,0.0,0.0,35.0,-89.9,0.0,0.0,0,0,0,0,0,157,0,0,0,
19,1956,02,25,1956-02-25,04:48:00,3,AR,5,6,0.0,0,0,0.0,0.0,36.08,-90.9,0.0,0.0,0,0,0,0,0,75,0,0,0,
20,1956,02,25,1956-02-25,05:00:00,3,IN,18,1,0.0,0,0,0.0,0.0,39.58,-85.18,0.0,0.0,0,0,0,0,0,41,0,0,0,
21,1956,02,25,1956-02-25,08:43:00,3,OH,39,1,68.0,0,0,0.0,0.0,39.88,-84.18,0.0,0.0,0,0,0,0,0,113,0,0,0,
22,1956,02,25,1956-02-25,09:30:00,3,OH,39,2,100.0,0,0,0.0,0.0,39.38,-83.78,0.0,0.0,0,0,0,0,0,27,0,0,0,
23,1956,02,25,1956-02-25,11:30:00,3,WV,54,1,54.0,0,0,0.0,0.0,39.28,-81.4,0.0,0.0,0,0,0,0,0,107,0,0,0,
24,1956,02,25,1956-02-25,15:00:00,3,SC,45,2,0.0,0,0,0.0,0.0,33.38,-81.4,0.0,0.0,0,0,0,0,0,11,0,0,0,
25,1956,02,27,1956-02-27,16:00:00,3,GA,13,1,0.0,0,0,0.0,0.0,32.7,-83.68,0.0,0.0,0,0,0,0,0,0,0,0,0,
26,1956,02,28,1956-02-28,00:40:00,3,NC,37,1,50.0,0,0,0.0,0.0,34.28,-77.9,0.0,0.0,0,0,0,0,0,129,0,0,0,
27,1956,03,03,1956-03-03,01:00:00,3,WA,53,1,80.0,0,0,0.0,0.0,47.5,-122.3,0.0,0.0,0,0,0,0,0,33,0,0,0,
28,1956,03,05,1956-03-05,23:45:00,3,MO,29,3,0.0,0,0,0.0,0.0,39.5,-91.28,0.0,0.0,0,0,0,0,0,163,0,0,0,
29,1956,03,06,1956-03-06,16:52:00,3,MI,26,1,65.0,0,0,0.0,0.0,42.88,-85.68,0.0,0.0,0,0,0,0,0,81,0,0,0,
30,1956,03,06,1956-03-06,17:01:00,3,MI,26,2,78.0,0,0,0.0,0.0,42.88,-85.68,0.0,0.0,0,0,0,0,0,81,0,0,0,
31,1956,03,06,1956-03-06,21:50:00,3,MI,26,3,60.0,0,0,0.0,0.0,42.38,-83.0,0.0,0.0,0,0,0,0,0,163,0,0,0,
32,1956,03,16,1956-03-16,09:30:00,3,GA,13,2,53.0,0,0,0.0,0.0,31.0,-84.0,0.0,0.0,0,0,0,0,0,275,0,0,0,
33,1956,03,16,1956-03-16,10:20:00,3,SC,45,3,0.0,0,0,0.0,0.0,32.88,-81.18,0.0,0.0,0,0,0,0,0,49,0,0,0,
34,1956,03,16,1956-03-16,11:21:00,3,SC,45,4,70.0,0,0,0.0,0.0,32.88,-80.0,0.0,0.0,0,0,0,0,0,19,0,0,0,
35,1956,03,27,1956-03-27,21:25:00,3,AR,5,7,0.0,0,0,0.0,0.0,35.08,-92.5,0.0,0.0,0,0,0,0,0,45,0,0,0,
36,1956,04,02,1956-04-02,00:10:00,3,OK,40,1,0.0,0,0,0.0,0.0,36.7,-95.08,0.0,0.0,0,0,0,0,0,35,0,0,0,
37,1956,04,02,1956-04-02,05:15:00,3,OK,40,2,0.0,0,0,0.0,0.0,35.08,-98.0,0.0,0.0,0,0,0,0,0,51,0,0,0,
38,1956,04,02,1956-04-02,12:30:00,3,MO,29,4,0.0,0,0,0.0,0.0,37.38,-93.68,0.0,0.0,0,0,0,0,0,57,0,0,0,
39,1956,04,02,1956-04-02,18:00:00,3,KS,20,1,0.0,0,0,0.0,0.0,39.28,-95.4,0.0,0.0,0,0,0,0,0,87,0,0,0,
40,1956,04,02,1956-04-02,19:30:00,3,KS,20,2,0.0,0,0,0.0,0.0,37.58,-98.68,0.0,0.0,0,0,0,0,0,151,0,0,0,
41,1956,04,02,1956-04-02,19:30:00,3,KS,20,3,0.0,0,0,0.0,0.0,37.88,-98.78,0.0,0.0,0,0,0,0,0,185,0,0,0,
42,1956,04,02,1956-04-02,19:30:00,3,KS,20,4,0.0,0,0,0.0,0.0,39.78,-97.58,0.0,0.0,0,0,0,0,0,157,0,0,0,
43,1956,04,02,1956-04-02,20:00:00,3,OK,40,3,0.0,0,0,0.0,0.0,36.7,-98.4,0.0,0.0,0,0,0,0,0,3,0,0,0,
44,1956,04,02,1956-04-02,20:00:00,3,KS,20,5,70.0,0,0,0.0,0.0,37.88,-98.0,0.0,0.0,0,0,0,0,0,155,0,0,0,
45,1956,04,02,1956-04-02,20:30:00,3,NE,31,1,0.0,0,0,0.0,0.0,40.08,-97.18,0.0,0.0,0,0,0,0,0,95,0,0,0,
46,1956,04,02,1956-04-02,21:30:00,3,KS,20,6,0.0,0,0,0.0,0.0,39.38,-95.18,0.0,0.0,0,0,0,0,0,87,0,0,0,
47,1956,04,02,1956-04-02,23:00:00,3,OK,40,4,0.0,0,0,0.0,0.0,35.78,-95.68,0.0,0.0,0,0,0,0,0,101,0,0,0,
48,1956,04,02,1956-04-02,23:00:00,3,KS,20,7,63.0,0,0,0.0,0.0,37.7,-97.4,0.0,0.0,0,0,0,0,0,173,0,0,0,
49,1956,04,02,1956-04-02,23:30:00,3,KS,20,8,0.0,0,0,0.0,0.0,39.08,-95.58,0.0,0.0,0,0,0,0,0,177,0,0,0,
50,1956,04,03,1956-04-03,04:00:00,3,AR,5,8,0.0,0,0,0.0,0.0,36.38,-91.78,0.0,0.0,0,0,0,0,0,49,0,0,0,
51,1956,04,03,1956-04-03,13:40:00,3,AR,5,9,0.0,0,0,0.0,0.0,35.7,-90.0,0.0,0.0,0,0,0,0,0,93,0,0,0,
52,1956,04,03,1956-04-03,14:00:00,3,TN,47,3,0.0,0,0,0.0,0.0,36.0,-89.5,0.0,0.0,0,0,0,0,0,45,0,0,0,
53,1956,04,03,1956-04-03,15:15:00,3,IL,17,1,95.0,0,0,0.0,0.0,41.5,-88.08,0.0,0.0,0,0,0,0,0,197,0,0,0,
54,1956,04,03,1956-04-03,19:45:00,3,OH,39,3,75.0,0,0,0.0,0.0,41.58,-83.78,0.0,0.0,0,0,0,0,0,95,0,0,0,
55,1956,04,03,1956-04-03,20:15:00,3,AL,1,6,0.0,0,0,0.0,0.0,34.78,-88.0,0.0,0.0,0,0,0,0,0,33,0,0,0,
56,1956,04,04,1956-04-04,19:00:00,3,LA,22,2,0.0,0,0,0.0,0.0,30.78,-91.68,0.0,0.0,0,0,0,0,0,77,0,0,0,
57,1956,04,05,1956-04-05,05:30:00,3,MS,28,2,87.0,0,0,0.0,0.0,32.08,-90.9,0.0,0.0,0,0,0,0,0,21,0,0,0,
58,1956,04,05,1956-04-05,12:30:00,3,TX,48,2,0.0,0,0,0.0,0.0,30.38,-99.0,0.0,0.0,0,0,0,0,0,171,0,0,0,
59,1956,04,05,1956-04-05,15:10:00,3,TX,48,3,0.0,0,0,0.0,0.0,30.58,-96.28,0.0,0.0,0,0,0,0,0,41,0,0,0,
60,1956,04,05,1956-04-05,16:00:00,3,TX,48,4,0.0,0,0,0.0,0.0,30.58,-97.4,0.0,0.0,0,0,0,0,0,491,0,0,0,
61,1956,04,05,1956-04-05,16:30:00,3,TX,48,5,0.0,0,0,0.0,0.0,30.7,-95.58,0.0,0.0,0,0,0,0,0,471,0,0,0,
62,1956,04,05,1956-04-05,17:00:00,3,MS,28,3,0.0,0,0,0.0,0.0,32.38,-88.58,0.0,0.0,0,0,0,0,0,75,0,0,0,
63,1956,04,06,1956-04-06,11:00:00,3,GA,13,3,0.0,0,0,0.0,0.0,33.7,-84.4,0.0,0.0,0,0,0,0,0,121,0,0,0,
64,1956,04,06,1956-04-06,12:25:00,3,SC,45,5,0.0,0,0,0.0,0.0,35.0,-81.9,0.0,0.0,0,0,0,0,0,83,0,0,0,
65,1956,04,06,1956-04-06,12:36:00,3,SC,45,6,0.0,0,0,0.0,0.0,34.58,-81.4,0.0,0.0,0,0,0,0,0,23,0,0,0,
66,1956,04,08,1956-04-08,21:45:00,3,OK,40,5,0.0,0,0,0.0,0.0,36.58,-98.9,0.0,0.0,0,0,0,0,0,151,0,0,0,
67,1956,04,08,1956-04-08,22:00:00,3,OK,40,6,70.0,0,0,0.0,0.0,36.7,-101.5,0.0,0.0,0,0,0,0,0,139,0,0,0,
68,1956,04,08,1956-04-08,22:15:00,3,OK,40,7,80.0,0,0,0.0,0.0,36.38,-97.9,0.0,0.0,0,0,0,0,0,47,0,0,0,
