om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
1,1973,01,18,1973-01-18,16:45:00,3,MO,29,1,0.0,0,0,0.0,0.0,37.78,-90.4,0.0,0.0,0,0,0,0,0,187,0,0,0,
2,1973,01,20,1973-01-20,20:15:00,3,TX,48,1,0.0,0,0,0.0,0.0,30.3,-97.6,0.0,0.0,0,0,0,0,0,453,0,0,0,
3,1973,01,20,1973-01-20,20:20:00,3,TX,48,2,0.0,0,0,0.0,0.0,30.35,-97.37,0.0,0.0,0,0,0,0,0,21,0,0,0,
4,1973,01,20,1973-01-20,23:30:00,3,TX,48,3,0.0,0,0,0.0,0.0,30.5,-95.7,0.0,0.0,0,0,0,0,0,339,0,0,0,
5,1973,01,21,1973-01-21,01:04:00,3,OK,40,1,50.0,0,0,0.0,0.0,34.65,-99.27,0.0,0.0,0,0,0,0,0,65,0,0,0,
6,1973,01,21,1973-01-21,02:15:00,3,LA,22,1,0.0,0,0,0.0,0.0,32.6,-93.3,0.0,0.0,0,0,0,0,0,119,0,0,0,
7,1973,01,21,1973-01-21,03:15:00,3,MS,28,1,0.0,0,0,0.0,0.0,33.73,-90.73,0.0,0.0,0,0,0,0,0,11,0,0,0,
8,1973,01,21,1973-01-21,07:25:00,3,MS,28,2,0.0,0,0,0.0,0.0,32.1,-90.0,0.0,0.0,0,0,0,0,0,121,0,0,0,
9,1973,01,21,1973-01-21,08:45:00,3,MS,28,3,0.0,0,0,0.0,0.0,31.85,-89.73,0.0,0.0,0,0,0,0,0,127,0,0,0,
10,1973,01,21,1973-01-21,08:53:00,3,MS,28,4,0.0,0,0,0.0,0.0,31.3,-89.63,0.0,0.0,0,0,0,0,0,73,0,0,0,
11,1973,01,21,1973-01-21,10:15:00,3,MS,28,5,0.0,0,0,0.0,0.0,31.32,-89.33,0.0,0.0,0,0,0,0,0,35,0,0,0,
12,1973,01,21,1973-01-21,10:35:00,3,MS,28,6,0.0,0,0,0.0,0.0,30.3,-89.33,0.0,0.0,0,0,0,0,0,0,0,0,0,
