om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
1,2010,01,18,2010-01-18,12:23:00,3,CA,6,0,51.0,0,0,0.0,0.0,37.62,-122.38,37.62,-122.38,0,0,0,0,0,81,0,0,0,MG
2,2010,01,18,2010-01-18,13:03:00,3,CA,6,0,70.0,0,0,0.0,0.0,37.4411,-121.941,37.4411,-121.941,0,0,0,0,0,85,0,0,0,EG
3,2010,01,19,2010-01-19,15:00:00,3,CA,6,0,81.0,0,0,0.35,0.0,33.6533,-117.918,33.6141,-117.968,0,0,0,0,0,59,0,0,0,MG
4,2010,01,19,2010-01-19,15:35:00,3,CA,6,0,70.0,0,0,0.025,0.0,33.5263,-117.781,33.5663,-117.662,0,0,0,0,0,59,0,0,0,EG
5,2010,01,19,2010-01-19,15:58:00,3,CA,6,0,52.0,0,0,0.0,0.0,33.4104,-117.645,33.4226,-117.601,0,0,0,0,0,59,0,0,0,MG
6,2010,01,19,2010-01-19,16:50:00,3,CA,6,0,52.0,0,1,0.1,0.0,32.834,-116.974,32.8542,-116.841,0,0,0,0,0,73,0,0,0,EG
7,2010,01,20,2010-01-20,08:05:00,3,CA,6,0,50.0,0,0,0.0,0.0,35.4453,-120.897,35.4485,-120.888,0,0,0,0,0,79,0,0,0,EG
8,2010,01,20,2010-01-20,11:19:00,3,CA,6,0,56.0,0,0,0.0,0.0,37.56,-122.44,37.56,-122.44,0,0,0,0,0,81,0,0,0,MG
9,2010,01,20,2010-01-20,14:57:00,3,LA,22,0,52.0,0,0,0.001,0.0,30.6729,-92.2791,30.6729,-92.2791,0,0,0,0,0,39,0,0,0,EG
10,2010,01,20,2010-01-20,15:02:00,3,LA,22,0,52.0,0,0,0.002,0.0,30.7321,-92.237,30.7383,-92.2195,0,0,0,0,0,39,0,0,0,EG
11,2010,01,20,2010-01-20,15:05:00,3,LA,22,0,52.0,0,0,0.001,0.0,30.7788,-92.1912,30.7788,-92.1912,0,0,0,0,0,39,0,0,0,EG
12,2010,01,20,2010-01-20,15:40:00,3,LA,22,0,52.0,0,0,0.005,0.0,30.64,-90.52,30.64,-90.52,0,0,0,0,0,105,0,0,0,EG
13,2010,01,20,2010-01-20,17:40:00,3,TX,48,0,50.0,0,0,0.001,0.0,32.9566,-95.93,32.9566,-95.93,0,0,0,0,0,231,0,0,0,EG
14,2010,01,20,2010-01-20,18:05:00,3,TX,48,0,55.0,0,0,0.03,0.0,32.0023,-95.7575,32.0023,-95.7575,0,0,0,0,0,1,0,0,0,EG
