om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
1,1961,02,05,1961-02-05,11:20:00,3,TX,48,1,0.0,0,0,0.0,0.0,28.7,-98.0,0.0,0.0,0,0,0,0,0,25,0,0,0,
2,1961,02,07,1961-02-07,13:00:00,3,FL,12,1,0.0,0,0,0.0,0.0,28.5,-82.18,0.0,0.0,0,0,0,0,0,53,0,0,0,
3,1961,02,16,1961-02-16,17:00:00,3,TX,48,2,0.0,0,0,0.0,0.0,29.68,-95.28,0.0,0.0,0,0,0,0,0,201,0,0,0,
4,1961,02,17,1961-02-17,20:00:00,3,OK,40,1,53.0,0,0,0.0,0.0,34.08,-96.78,0.0,0.0,0,0,0,0,0,95,0,0,0,
5,1961,02,17,1961-02-17,21:20:00,3,KS,20,1,0.0,0,0,0.0,0.0,37.7,-95.5,0.0,0.0,0,0,0,0,0,133,0,0,0,
6,1961,02,24,1961-02-24,16:30:00,3,GA,13,1,0.0,0,0,0.0,0.0,32.38,-85.0,0.0,0.0,0,0,0,0,0,53,0,0,0,
7,1961,02,25,1961-02-25,08:30:00,3,FL,12,2,0.0,0,0,0.0,0.0,28.0,-82.5,0.0,0.0,0,0,0,0,0,57,0,0,0,
8,1961,02,25,1961-02-25,12:00:00,3,WV,54,1,0.0,0,0,0.0,0.0,38.0,-81.18,0.0,0.0,0,0,0,0,0,19,0,0,0,
9,1961,02,25,1961-02-25,12:36:00,3,NC,37,1,84.0,0,0,0.0,0.0,36.08,-80.28,0.0,0.0,0,0,0,0,0,67,0,0,0,
10,1961,02,25,1961-02-25,13:22:00,3,VA,51,1,74.0,0,0,0.0,0.0,37.28,-80.0,0.0,0.0,0,0,0,0,0,161,0,0,0,
11,1961,03,04,1961-03-04,04:00:00,3,IN,18,1,0.0,0,0,0.0,0.0,38.5,-87.28,0.0,0.0,0,0,0,0,0,125,0,0,0,
12,1961,03,04,1961-03-04,13:40:00,3,MO,29,1,0.0,0,0,0.0,0.0,39.7,-91.4,0.0,0.0,0,0,0,0,0,127,0,0,0,
13,1961,03,04,1961-03-04,14:30:00,3,MO,29,2,0.0,0,0,0.0,0.0,38.0,-91.78,0.0,0.0,0,0,0,0,0,161,0,0,0,
14,1961,03,04,1961-03-04,16:35:00,3,IL,17,1,0.0,0,0,0.0,0.0,40.2,-89.58,0.0,0.0,0,0,0,0,0,107,0,0,0,
15,1961,03,04,1961-03-04,16:55:00,3,IL,17,2,0.0,0,0,0.0,0.0,40.0,-88.5,0.0,0.0,0,0,0,0,0,147,0,0,0,
16,1961,03,04,1961-03-04,17:30:00,3,IL,17,3,0.0,0,0,0.0,0.0,40.5,-88.0,0.0,0.0,0,0,0,0,0,53,0,0,0,
17,1961,03,05,1961-03-05,15:00:00,3,MS,28,1,50.0,0,0,0.0,0.0,31.5,-91.4,0.0,0.0,0,0,0,0,0,1,0,0,0,
18,1961,03,05,1961-03-05,17:40:00,3,OK,40,2,0.0,0,0,0.0,0.0,36.08,-97.0,0.0,0.0,0,0,0,0,0,119,0,0,0,
19,1961,03,05,1961-03-05,20:00:00,3,KS,20,2,0.0,0,0,0.0,0.0,37.78,-95.68,0.0,0.0,0,0,0,0,0,207,0,0,0,
20,1961,03,05,1961-03-05,21:15:00,3,OK,40,3,0.0,0,0,0.0,0.0,36.88,-94.78,0.0,0.0,0,0,0,0,0,115,0,0,0,
21,1961,03,05,1961-03-05,23:15:00,3,MO,29,3,0.0,0,0,0.0,0.0,37.0,-93.18,0.0,0.0,0,0,0,0,0,43,0,0,0,
