om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
1,1984,01,18,1984-01-18,20:00:00,3,GA,13,1,0.0,0,0,0.0,0.0,32.08,-81.15,0.0,0.0,0,0,0,0,0,51,0,0,0,
2,1984,01,19,1984-01-19,15:05:00,3,FL,12,1,0.0,0,0,0.0,0.0,26.6,-80.48,0.0,0.0,0,0,0,0,0,99,0,0,0,
3,1984,02,06,1984-02-06,00:20:00,3,FL,12,2,0.0,0,0,0.0,0.0,30.45,-84.28,0.0,0.0,0,0,0,0,0,73,0,0,0,
4,1984,02,10,1984-02-10,11:50:00,3,TN,47,1,0.0,0,0,0.0,0.0,36.12,-89.27,0.0,0.0,0,0,0,0,0,45,0,0,0,
5,1984,02,11,1984-02-11,15:00:00,3,OK,40,1,0.0,0,0,0.0,0.0,35.25,-95.13,0.0,0.0,0,0,0,0,0,61,0,0,0,
6,1984,02,11,1984-02-11,17:15:00,3,TX,48,1,0.0,0,0,0.0,0.0,32.23,-95.65,0.0,0.0,0,0,0,0,0,213,0,0,0,
7,1984,02,11,1984-02-11,20:15:00,3,AR,5,1,0.0,3,0,0.0,0.0,35.63,-92.68,0.0,0.0,0,0,0,0,0,141,0,0,0,
8,1984,02,11,1984-02-11,20:50:00,3,MO,29,1,0.0,0,0,0.0,0.0,37.17,-92.27,0.0,0.0,0,0,0,0,0,229,0,0,0,
9,1984,02,11,1984-02-11,21:15:00,3,AR,5,2,0.0,0,0,0.0,0.0,36.33,-92.38,0.0,0.0,0,0,0,0,0,5,0,0,0,
10,1984,02,11,1984-02-11,22:20:00,3,AR,5,3,0.0,0,0,0.0,0.0,34.77,-92.25,0.0,0.0,0,0,0,0,0,119,0,0,0,
11,1984,02,12,1984-02-12,02:15:00,3,TX,48,2,0.0,0,0,0.0,0.0,29.8,-99.25,0.0,0.0,0,0,0,0,0,19,0,0,0,
12,1984,02,12,1984-02-12,03:06:00,3,TX,48,3,50.0,0,0,0.0,0.0,29.4,-98.63,0.0,0.0,0,0,0,0,0,29,0,0,0,
13,1984,02,12,1984-02-12,06:35:00,3,TX,48,4,53.0,0,0,0.0,0.0,29.98,-95.35,0.0,0.0,0,0,0,0,0,201,0,0,0,
14,1984,02,12,1984-02-12,06:45:00,3,TX,48,5,0.0,0,0,0.0,0.0,29.3,-96.23,0.0,0.0,0,0,0,0,0,481,0,0,0,
15,1984,02,12,1984-02-12,06:53:00,3,TX,48,6,53.0,0,0,0.0,0.0,29.98,-95.35,0.0,0.0,0,0,0,0,0,201,0,0,0,
16,1984,02,12,1984-02-12,07:00:00,3,TX,48,7,61.0,0,0,0.0,0.0,29.73,-95.37,0.0,0.0,0,0,0,0,0,201,0,0,0,
17,1984,02,12,1984-02-12,07:25:00,3,TX,48,8,83.0,0,0,0.0,0.0,29.67,-95.02,0.0,0.0,0,0,0,0,0,201,0,0,0,
18,1984,02,12,1984-02-12,08:10:00,3,TX,48,9,0.0,0,0,0.0,0.0,30.0,-93.93,0.0,0.0,0,0,0,0,0,245,0,0,0,
19,1984,02,12,1984-02-12,08:30:00,3,TX,48,10,0.0,0,0,0.0,0.0,30.1,-93.9,0.0,0.0,0,0,0,0,0,361,0,0,0,
20,1984,02,12,1984-02-12,08:35:00,3,LA,22,1,54.0,0,0,0.0,0.0,30.18,-93.58,0.0,0.0,0,0,0,0,0,19,0,0,0,
21,1984,02,12,1984-02-12,08:50:00,3,LA,22,2,0.0,0,0,0.0,0.0,30.23,-93.2,0.0,0.0,0,0,0,0,0,19,0,0,0,
22,1984,02,12,1984-02-12,09:00:00,3,LA,22,3,0.0,0,0,0.0,0.0,30.85,-93.28,0.0,0.0,0,0,0,0,0,11,0,0,0,
23,1984,02,12,1984-02-12,09:11:00,3,LA,22,4,54.0,0,0,0.0,0.0,30.12,-93.22,0.0,0.0,0,0,0,0,0,19,0,0,0,
24,1984,02,12,1984-02-12,09:12:00,3,LA,22,5,52.0,0,0,0.0,0.0,29.8,-93.33,0.0,0.0,0,0,0,0,0,23,0,0,0,
25,1984,02,12,1984-02-12,10:10:00,3,LA,22,6,0.0,0,0,0.0,0.0,30.22,-92.67,0.0,0.0,0,0,0,0,0,53,0,0,0,
26,1984,02,12,1984-02-12,10:10:00,3,LA,22,7,0.0,0,0,0.0,0.0,30.22,-92.37,0.0,0.0,0,0,0,0,0,1,0,0,0,
27,1984,02,12,1984-02-12,10:10:00,3,LA,22,8,0.0,0,0,0.0,0.0,30.48,-92.42,0.0,0.0,0,0,0,0,0,97,0,0,0,
28,1984,02,12,1984-02-12,10:10:00,3,LA,22,9,0.0,0,0,0.0,0.0,30.63,-92.42,0.0,0.0,0,0,0,0,0,39,0,0,0,
29,1984,02,12,1984-02-12,10:30:00,3,LA,22,10,0.0,0,0,0.0,0.0,30.6,-92.03,0.0,0.0,0,0,0,0,0,97,0,0,0,
30,1984,02,12,1984-02-12,11:00:00,3,LA,22,11,0.0,1,0,0.0,0.0,30.17,-91.15,0.0,0.0,0,0,0,0,0,47,0,0,0,
31,1984,02,12,1984-02-12,11:00:00,3,LA,22,12,0.0,0,0,0.0,0.0,30.48,-91.52,0.0,0.0,0,0,0,0,0,47,0,0,0,
32,1984,02,12,1984-02-12,11:00:00,3,LA,22,13,0.0,0,0,0.0,0.0,30.27,-91.32,0.0,0.0,0,0,0,0,0,47,0,0,0,
33,1984,02,12,1984-02-12,11:00:00,3,LA,22,14,0.0,0,0,0.0,0.0,30.63,-91.53,0.0,0.0,0,0,0,0,0,77,0,0,0,
34,1984,02,12,1984-02-12,11:00:00,3,LA,22,15,0.0,0,0,0.0,0.0,30.22,-92.02,0.0,0.0,0,0,0,0,0,55,0,0,0,
35,1984,02,12,1984-02-12,11:00:00,3,LA,22,16,0.0,0,0,0.0,0.0,30.4,-91.93,0.0,0.0,0,0,0,0,0,97,0,0,0,
36,1984,02,12,1984-02-12,11:15:00,3,LA,22,17,0.0,0,0,0.0,0.0,30.45,-91.25,0.0,0.0,0,0,0,0,0,121,0,0,0,
37,1984,02,12,1984-02-12,11:30:00,3,LA,22,18,0.0,0,0,0.0,0.0,29.83,-92.32,0.0,0.0,0,0,0,0,0,113,0,0,0,
38,1984,02,12,1984-02-12,11:30:00,3,LA,22,19,0.0,0,0,0.0,0.0,30.53,-91.07,0.0,0.0,0,0,0,0,0,33,0,0,0,
39,1984,02,12,1984-02-12,11:45:00,3,LA,22,20,0.0,0,0,0.0,0.0,30.47,-91.17,0.0,0.0,0,0,0,0,0,33,0,0,0,
40,1984,02,12,1984-02-12,12:00:00,3,LA,22,21,0.0,0,0,0.0,0.0,30.1,-91.0,0.0,0.0,0,0,0,0,0,5,0,0,0,
41,1984,02,12,1984-02-12,12:15:00,3,LA,22,22,0.0,0,0,0.0,0.0,30.48,-90.95,0.0,0.0,0,0,0,0,0,63,0,0,0,
42,1984,02,12,1984-02-12,12:30:00,3,LA,22,23,0.0,0,0,0.0,0.0,30.45,-90.72,0.0,0.0,0,0,0,0,0,63,0,0,0,
43,1984,02,12,1984-02-12,12:30:00,3,LA,22,24,0.0,0,0,0.0,0.0,30.7,-90.75,0.0,0.0,0,0,0,0,0,91,0,0,0,
44,1984,02,12,1984-02-12,12:40:00,3,LA,22,25,0.0,0,0,0.0,0.0,29.38,-90.72,0.0,0.0,0,0,0,0,0,109,0,0,0,
