om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
1,1972,01,03,1972-01-03,17:30:00,3,LA,22,1,0.0,0,0,0.0,0.0,32.58,-91.78,0.0,0.0,0,0,0,0,0,67,0,0,0,
2,1972,01,11,1972-01-11,06:30:00,3,GA,13,1,0.0,0,0,0.0,0.0,32.7,-83.4,0.0,0.0,0,0,0,0,0,289,0,0,0,
3,1972,01,13,1972-01-13,04:00:00,3,GA,13,2,0.0,0,0,0.0,0.0,32.2,-83.78,0.0,0.0,0,0,0,0,0,93,0,0,0,
4,1972,01,13,1972-01-13,12:30:00,3,AL,1,1,0.0,0,0,0.0,0.0,31.78,-85.58,0.0,0.0,0,0,0,0,0,5,0,0,0,
5,1972,01,13,1972-01-13,16:30:00,3,NC,37,1,0.0,0,0,0.0,0.0,36.08,-80.68,0.0,0.0,0,0,0,0,0,197,0,0,0,
6,1972,01,15,1972-01-15,18:00:00,3,FL,12,1,62.0,0,0,0.0,0.0,24.6,-83.0,0.0,0.0,0,0,0,0,0,0,0,0,0,
7,1972,01,23,1972-01-23,09:36:00,3,CA,6,1,58.0,0,0,0.0,0.0,41.78,-124.3,0.0,0.0,0,0,0,0,0,0,0,0,0,
8,1972,01,24,1972-01-24,20:45:00,3,KY,21,1,0.0,0,0,0.0,0.0,36.7,-85.68,0.0,0.0,0,0,0,0,0,171,0,0,0,
9,1972,01,24,1972-01-24,21:45:00,3,KY,21,2,0.0,0,0,0.0,0.0,37.08,-84.58,0.0,0.0,0,0,0,0,0,199,0,0,0,
10,1972,01,24,1972-01-24,21:45:00,3,KY,21,3,0.0,0,0,0.0,0.0,38.08,-83.9,0.0,0.0,0,0,0,0,0,173,0,0,0,
11,1972,02,03,1972-02-03,12:21:00,3,FL,12,2,50.0,0,0,0.0,0.0,28.5,-81.28,0.0,0.0,0,0,0,0,0,95,0,0,0,
12,1972,02,07,1972-02-07,09:14:00,3,FL,12,3,0.0,0,0,0.0,0.0,27.78,-82.58,0.0,0.0,0,0,0,0,0,57,0,0,0,
