om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
1,1964,01,19,1964-01-19,18:50:00,3,MO,29,1,0.0,0,0,0.0,0.0,38.7,-90.4,0.0,0.0,0,0,0,0,0,189,0,0,0,
2,1964,01,19,1964-01-19,20:08:00,3,IL,17,1,50.0,0,0,0.0,0.0,39.0,-89.08,0.0,0.0,0,0,0,0,0,51,0,0,0,
3,1964,01,19,1964-01-19,20:45:00,3,MS,28,1,0.0,0,0,0.0,0.0,33.7,-90.18,0.0,0.0,0,0,0,0,0,83,0,0,0,
4,1964,01,19,1964-01-19,22:15:00,3,TN,47,1,0.0,0,0,0.0,0.0,36.5,-87.28,0.0,0.0,0,0,0,0,0,125,0,0,0,
5,1964,01,20,1964-01-20,13:13:00,3,NC,37,1,57.0,0,0,0.0,0.0,35.88,-77.78,0.0,0.0,0,0,0,0,0,65,0,0,0,
6,1964,01,24,1964-01-24,16:00:00,3,MS,28,2,0.0,0,0,0.0,0.0,32.38,-89.9,0.0,0.0,0,0,0,0,0,121,0,0,0,
7,1964,01,24,1964-01-24,17:00:00,3,GA,13,1,0.0,0,0,0.0,0.0,34.38,-84.9,0.0,0.0,0,0,0,0,0,15,0,0,0,
8,1964,02,04,1964-02-04,05:30:00,3,TX,48,1,65.0,0,0,0.0,0.0,29.58,-95.9,0.0,0.0,0,0,0,0,0,157,0,0,0,
9,1964,02,04,1964-02-04,06:00:00,3,TX,48,2,51.0,0,0,0.0,0.0,29.58,-95.78,0.0,0.0,0,0,0,0,0,157,0,0,0,
10,1964,02,05,1964-02-05,13:00:00,3,AL,1,1,0.0,0,0,0.0,0.0,34.38,-86.58,0.0,0.0,0,0,0,0,0,103,0,0,0,
11,1964,02,07,1964-02-07,23:00:00,3,FL,12,1,51.0,0,0,0.0,0.0,28.0,-82.4,0.0,0.0,0,0,0,0,0,57,0,0,0,
12,1964,02,08,1964-02-08,03:15:00,3,FL,12,2,55.0,0,0,0.0,0.0,26.1,-80.18,0.0,0.0,0,0,0,0,0,11,0,0,0,
13,1964,02,18,1964-02-18,12:00:00,3,FL,12,3,0.0,0,0,0.0,0.0,29.0,-81.28,0.0,0.0,0,0,0,0,0,127,0,0,0,
14,1964,02,24,1964-02-24,23:45:00,3,LA,22,1,0.0,0,0,0.0,0.0,29.2,-90.18,0.0,0.0,0,0,0,0,0,0,0,0,0,
15,1964,02,25,1964-02-25,00:00:00,3,LA,22,2,50.0,0,0,0.0,0.0,29.98,-90.0,0.0,0.0,0,0,0,0,0,71,0,0,0,
16,1964,03,03,1964-03-03,17:50:00,3,TX,48,3,55.0,0,0,0.0,0.0,29.38,-100.9,0.0,0.0,0,0,0,0,0,465,0,0,0,
17,1964,03,04,1964-03-04,01:00:00,3,TX,48,4,50.0,0,0,0.0,0.0,30.18,-97.78,0.0,0.0,0,0,0,0,0,453,0,0,0,
18,1964,03,04,1964-03-04,07:00:00,3,OH,39,1,87.0,0,0,0.0,0.0,40.58,-84.5,0.0,0.0,0,0,0,0,0,107,0,0,0,
19,1964,03,04,1964-03-04,08:00:00,3,KY,21,1,51.0,0,0,0.0,0.0,37.0,-86.4,0.0,0.0,0,0,0,0,0,227,0,0,0,
20,1964,03,04,1964-03-04,09:15:00,3,KY,21,2,0.0,0,0,0.0,0.0,37.28,-85.4,0.0,0.0,0,0,0,0,0,217,0,0,0,
21,1964,03,04,1964-03-04,10:10:00,3,KY,21,3,55.0,0,0,0.0,0.0,37.08,-88.78,0.0,0.0,0,0,0,0,0,145,0,0,0,
22,1964,03,04,1964-03-04,16:10:00,3,TN,47,2,50.0,0,0,0.0,0.0,36.2,-86.68,0.0,0.0,0,0,0,0,0,37,0,0,0,
23,1964,03,04,1964-03-04,23:10:00,3,IL,17,2,0.0,0,0,0.0,0.0,41.5,-90.58,0.0,0.0,0,0,0,0,0,161,0,0,0,
24,1964,03,06,1964-03-06,10:00:00,3,MO,29,2,50.0,0,0,0.0,0.0,37.2,-94.5,0.0,0.0,0,0,0,0,0,97,0,0,0,
25,1964,03,08,1964-03-08,21:30:00,3,TX,48,5,0.0,0,0,0.0,0.0,31.9,-100.18,0.0,0.0,0,0,0,0,0,399,0,0,0,
