om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
1,1978,01,07,1978-01-07,17:50:00,3,LA,22,1,0.0,0,0,0.0,0.0,32.72,-93.42,0.0,0.0,0,0,0,0,0,119,0,0,0,
2,1978,01,13,1978-01-13,12:10:00,3,FL,12,1,0.0,0,0,0.0,0.0,28.07,-80.63,0.0,0.0,0,0,0,0,0,9,0,0,0,
3,1978,01,13,1978-01-13,13:00:00,3,FL,12,2,65.0,0,0,0.0,0.0,26.13,-80.13,0.0,0.0,0,0,0,0,0,11,0,0,0,
4,1978,01,13,1978-01-13,13:00:00,3,FL,12,3,0.0,0,0,0.0,0.0,28.02,-80.58,0.0,0.0,0,0,0,0,0,9,0,0,0,
5,1978,01,13,1978-01-13,13:05:00,3,FL,12,4,65.0,0,0,0.0,0.0,26.07,-80.15,0.0,0.0,0,0,0,0,0,11,0,0,0,
6,1978,01,16,1978-01-16,08:21:00,3,CA,6,1,51.0,0,0,0.0,0.0,38.57,-121.3,0.0,0.0,0,0,0,0,0,67,0,0,0,
7,1978,01,16,1978-01-16,15:00:00,3,LA,22,2,0.0,0,0,0.0,0.0,30.22,-93.38,0.0,0.0,0,0,0,0,0,19,0,0,0,
8,1978,01,16,1978-01-16,15:10:00,3,LA,22,3,0.0,0,0,0.0,0.0,30.23,-92.95,0.0,0.0,0,0,0,0,0,19,0,0,0,
9,1978,01,19,1978-01-19,08:35:00,3,FL,12,5,0.0,0,0,0.0,0.0,30.07,-81.87,0.0,0.0,0,0,0,0,0,19,0,0,0,
10,1978,01,19,1978-01-19,09:00:00,3,FL,12,6,56.0,0,0,0.0,0.0,29.48,-81.58,0.0,0.0,0,0,0,0,0,107,0,0,0,
11,1978,01,19,1978-01-19,10:50:00,3,FL,12,7,0.0,0,0,0.0,0.0,29.65,-81.6,0.0,0.0,0,0,0,0,0,107,0,0,0,
12,1978,01,19,1978-01-19,12:35:00,3,FL,12,8,0.0,0,0,0.0,0.0,28.15,-82.67,0.0,0.0,0,0,0,0,0,103,0,0,0,
13,1978,01,19,1978-01-19,12:53:00,3,FL,12,9,0.0,0,0,0.0,0.0,28.15,-82.58,0.0,0.0,0,0,0,0,0,57,0,0,0,
14,1978,01,19,1978-01-19,13:25:00,3,FL,12,10,0.0,0,0,0.0,0.0,28.03,-82.3,0.0,0.0,0,0,0,0,0,57,0,0,0,
15,1978,01,19,1978-01-19,13:30:00,3,FL,12,11,0.0,0,0,0.0,0.0,28.07,-82.3,0.0,0.0,0,0,0,0,0,57,0,0,0,
16,1978,01,19,1978-01-19,13:30:00,3,FL,12,12,0.0,0,0,0.0,0.0,27.9,-82.27,0.0,0.0,0,0,0,0,0,57,0,0,0,
17,1978,01,19,1978-01-19,14:30:00,3,FL,12,13,0.0,0,0,0.0,0.0,29.02,-80.93,0.0,0.0,0,0,0,0,0,127,0,0,0,
18,1978,01,19,1978-01-19,14:55:00,3,FL,12,14,0.0,0,0,0.0,0.0,29.02,-80.93,0.0,0.0,0,0,0,0,0,127,0,0,0,
19,1978,01,19,1978-01-19,15:26:00,3,FL,12,15,0.0,0,0,0.0,0.0,26.62,-80.05,0.0,0.0,0,0,0,0,0,99,0,0,0,
20,1978,01,19,1978-01-19,15:51:00,3,FL,12,16,0.0,0,0,0.0,0.0,28.68,-81.33,0.0,0.0,0,0,0,0,0,117,0,0,0,
21,1978,01,19,1978-01-19,18:17:00,3,FL,12,17,0.0,0,0,0.0,0.0,27.9,-80.42,0.0,0.0,0,0,0,0,0,61,0,0,0,
22,1978,01,19,1978-01-19,18:20:00,3,FL,12,18,0.0,0,0,0.0,0.0,27.25,-80.83,0.0,0.0,0,0,0,0,0,93,0,0,0,
23,1978,01,19,1978-01-19,19:08:00,3,FL,12,19,62.0,0,0,0.0,0.0,25.48,-80.38,0.0,0.0,0,0,0,0,0,25,0,0,0,
24,1978,01,19,1978-01-19,20:20:00,3,FL,12,20,60.0,0,0,0.0,0.0,26.78,-80.7,0.0,0.0,0,0,0,0,0,99,0,0,0,
